날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1994-01-01,108,-2.2,-6.8,2.5
1994-01-02,108,2.9,-0.3,6.3
1994-01-03,108,4.3,-0.3,8.1
1994-01-04,108,-1.2,-4.6,2.2
1994-01-05,108,1.1,-1.9,5.2
1994-01-06,108,1.9,-4.1,5.1
1994-01-07,108,-2.4,-6.8,2
1994-01-08,108,2.2,-2.5,7.3
1994-01-09,108,6.6,4,10
1994-01-10,108,5.5,2.6,8.9
1994-01-11,108,3.7,0.6,4.9
1994-01-12,108,1.8,0.5,3.6
1994-01-13,108,0.7,-3.1,3.6
1994-01-14,108,-2.4,-6,2.4
1994-01-15,108,0.5,-4.3,7.6
1994-01-16,108,2.7,-1.1,6.3
1994-01-17,108,2.2,-4.4,4.9
1994-01-18,108,-7.9,-11.4,-4
1994-01-19,108,-8.5,-12.3,-3.5
1994-01-20,108,-7,-10.4,-3.2
1994-01-21,108,-5.6,-9.8,-1.6
1994-01-22,108,-4,-6.6,-0.1
1994-01-23,108,-7,-9.5,-4.2
1994-01-24,108,-5.8,-11.4,-1.3
1994-01-25,108,0.6,-2.9,4.8
1994-01-26,108,0.4,-5.6,4.1
1994-01-27,108,-4.5,-8.7,0.8
1994-01-28,108,-1.9,-5.1,2.8
1994-01-29,108,-2.7,-5.4,1.3
1994-01-30,108,-2.9,-7.5,1.6
1994-01-31,108,2.1,-1.3,7.1
1994-02-01,108,0.6,-4.4,3.7
1994-02-02,108,-3.7,-7.6,0.4
1994-02-03,108,-1.2,-4.7,3.2
1994-02-04,108,-1.3,-3.9,2.7
1994-02-05,108,2.4,-1.6,7.3
1994-02-06,108,4,2,6.5
1994-02-07,108,2.8,-0.7,8.2
1994-02-08,108,2.3,0.4,4.2
1994-02-09,108,-5.7,-8.9,2.7
1994-02-10,108,-7.1,-10.8,-2.4
1994-02-11,108,-2.7,-6.6,1.5
1994-02-12,108,-0.1,-3.3,4.1
1994-02-13,108,-1.9,-6.2,3.4
1994-02-14,108,-0.3,-5.5,6
1994-02-15,108,2.6,-0.3,7.1
1994-02-16,108,2.3,-0.9,7.1
1994-02-17,108,2.6,-2.8,9.6
1994-02-18,108,3.9,-0.6,11.3
1994-02-19,108,4.6,-0.8,11.4
1994-02-20,108,4.1,0.2,10.4
1994-02-21,108,1.1,-2.6,4.3
1994-02-22,108,-1.1,-3.6,1.8
1994-02-23,108,-0.9,-4.2,3.5
1994-02-24,108,1.3,-4.8,8.5
1994-02-25,108,3.1,-0.3,8.1
1994-02-26,108,3.2,-2.2,9.3
1994-02-27,108,4.9,-0.1,11
1994-02-28,108,2,-3.8,6.9
1994-03-01,108,-1.4,-5.5,4.4
1994-03-02,108,2.5,-2.7,7.9
1994-03-03,108,2.2,-1.2,6.3
1994-03-04,108,3.6,-0.2,7.1
1994-03-05,108,4.6,0.5,10.3
1994-03-06,108,6.9,1.2,13.4
1994-03-07,108,9.6,6.1,13.6
1994-03-08,108,8.2,0.8,13
1994-03-09,108,-0.5,-3.5,2.8
1994-03-10,108,-1.4,-5.4,3.2
1994-03-11,108,1.9,-1.5,5.1
1994-03-12,108,3.3,-0.6,6.9
1994-03-13,108,0,-2.6,3.7
1994-03-14,108,0.7,-3.2,5.4
1994-03-15,108,2.3,-1.2,6.9
1994-03-16,108,3.5,0,8.6
1994-03-17,108,3.7,-0.8,9.7
1994-03-18,108,4.4,-0.4,10.9
1994-03-19,108,6,0.3,13.3
1994-03-20,108,7.7,3.3,13.2
1994-03-21,108,7.6,2.8,12.1
1994-03-22,108,5,3.3,8.6
1994-03-23,108,3.9,0.4,8.6
1994-03-24,108,1.3,-0.5,4.1
1994-03-25,108,1.1,-1.6,4.8
1994-03-26,108,2.4,-1.5,6.8
1994-03-27,108,5.1,-0.1,11
1994-03-28,108,6.4,4.4,9.5
1994-03-29,108,7.4,2.8,13.1
1994-03-30,108,6.8,1.3,13.3
1994-03-31,108,10.1,3.1,18.6
1994-04-01,108,10.7,7.1,17.4
1994-04-02,108,10.1,6.7,14.6
1994-04-03,108,13.1,7.4,21.4
1994-04-04,108,15.3,10,21.3
1994-04-05,108,18.1,8.8,27.4
1994-04-06,108,19.8,13.1,28.9
1994-04-07,108,19.3,10.8,26.4
1994-04-08,108,10.2,8.5,13.4
1994-04-09,108,10.1,5.9,15.4
1994-04-10,108,11.1,5.7,17.5
1994-04-11,108,14.9,7.8,21.5
1994-04-12,108,11.8,8.7,17.4
1994-04-13,108,9.8,5.8,14.6
1994-04-14,108,10.2,5.7,15.4
1994-04-15,108,13.1,6.4,19.8
1994-04-16,108,14.2,9,19.8
1994-04-17,108,15.6,8.8,21.8
1994-04-18,108,17,13.9,21.8
1994-04-19,108,18.7,11.2,26.6
1994-04-20,108,20.1,16.4,24.3
1994-04-21,108,20.8,13.8,28.7
1994-04-22,108,18.9,15.8,23.1
1994-04-23,108,17.6,13.2,23.1
1994-04-24,108,15.4,9.3,22
1994-04-25,108,16.1,10.4,24.7
1994-04-26,108,17.6,10,26
1994-04-27,108,15.9,11.9,19.9
1994-04-28,108,14.5,10.2,21.4
1994-04-29,108,17.8,12.4,23.8
1994-04-30,108,18.5,13.9,24
1994-05-01,108,20.2,17.9,23.8
1994-05-02,108,22.5,18.9,27.2
1994-05-03,108,17.3,9.9,23.8
1994-05-04,108,10.9,9.5,14.2
1994-05-05,108,10.8,8.3,14
1994-05-06,108,14.9,9.5,21.5
1994-05-07,108,17.6,12.8,24.1
1994-05-08,108,17.1,11.3,24.5
1994-05-09,108,19.6,10.6,27.2
1994-05-10,108,19.7,16.9,23.8
1994-05-11,108,20.2,15.6,26.8
1994-05-12,108,20.3,13.3,27.3
1994-05-13,108,20.2,16.1,25.4
1994-05-14,108,16.5,14.5,18.3
1994-05-15,108,14.5,13,16.2
1994-05-16,108,14.8,12,19.6
1994-05-17,108,15.6,10.2,21.3
1994-05-18,108,15.5,11.5,20.6
1994-05-19,108,15.1,8.6,22.3
1994-05-20,108,18.1,10,26.8
1994-05-21,108,17.5,15.6,21.3
1994-05-22,108,19.4,15.5,25
1994-05-23,108,20.9,13.7,28
1994-05-24,108,20,17.1,25.2
1994-05-25,108,19.7,17.5,22.7
1994-05-26,108,21.5,15.9,25.8
1994-05-27,108,17.2,13.3,21.8
1994-05-28,108,18.8,11.3,24.3
1994-05-29,108,19,15.6,23.3
1994-05-30,108,18.6,13.4,24.6
1994-05-31,108,19.7,14.8,25.2
1994-06-01,108,20.4,14.2,27.6
1994-06-02,108,21,15.1,27.6
1994-06-03,108,21.1,16.2,26.7
1994-06-04,108,21.7,17.3,25.8
1994-06-05,108,22.3,15,30
1994-06-06,108,22.7,17.4,28.4
1994-06-07,108,22.8,17.5,27.9
1994-06-08,108,21.3,17.6,27
1994-06-09,108,21.1,17.2,26.8
1994-06-10,108,20.9,16.5,28.1
1994-06-11,108,22.1,16.6,29.7
1994-06-12,108,23.1,17.8,29.5
1994-06-13,108,25.3,20,31.2
1994-06-14,108,25.7,19.7,32.7
1994-06-15,108,25.5,19.9,31.6
1994-06-16,108,26.4,20.5,33.3
1994-06-17,108,27.4,20.2,34.7
1994-06-18,108,23.2,19.5,26.9
1994-06-19,108,20.3,15.3,26.3
1994-06-20,108,20.5,13.4,29.3
1994-06-21,108,21.8,16.7,27.9
1994-06-22,108,21.7,17.4,26.5
1994-06-23,108,19.7,17,22
1994-06-24,108,22.3,18.3,26.9
1994-06-25,108,22.6,20.8,25.1
1994-06-26,108,23.4,20.8,26.4
1994-06-27,108,24.6,20.8,29.4
1994-06-28,108,25,20.7,30
1994-06-29,108,23.9,21.4,27.2
1994-06-30,108,22.7,22.2,23.4
1994-07-01,108,22.3,21.4,23.6
1994-07-02,108,25.1,21.3,29.8
1994-07-03,108,25.8,23.2,28.4
1994-07-04,108,26.1,23.1,28.1
1994-07-05,108,23.8,22.2,26.2
1994-07-06,108,24.9,22.6,29
1994-07-07,108,24.7,23.9,25.6
1994-07-08,108,26.5,23.5,31.6
1994-07-09,108,28.3,25.5,32.4
1994-07-10,108,26,25,27
1994-07-11,108,27.1,24.5,31.7
1994-07-12,108,28.5,23,34.6
1994-07-13,108,30.6,26.8,34.6
1994-07-14,108,27.9,26.2,30.1
1994-07-15,108,28.4,25.4,32.7
1994-07-16,108,28.7,25.4,33.3
1994-07-17,108,28.7,24.8,33.4
1994-07-18,108,30.9,26.3,36
1994-07-19,108,29.6,26.2,34.2
1994-07-20,108,28.9,25.3,34.3
1994-07-21,108,29.5,26,35.5
1994-07-22,108,31.1,27.1,35.5
