,use_dt,line_num,sub_sta_nm,ride_pasgr_num,alight_pasgr_num
0,20210711,1호선,서울역,18432,15850
1,20210711,1호선,동묘앞,7941,7994
2,20210711,1호선,시청,5024,4787
3,20210711,1호선,종각,8286,7681
4,20210711,1호선,종로3가,9748,8909
5,20210711,1호선,종로5가,5782,5967
6,20210711,1호선,동대문,6591,7164
7,20210711,1호선,신설동,5228,5175
8,20210711,1호선,제기동,7336,7685
9,20210711,1호선,청량리(서울시립대입구),9881,9982
10,20210711,2호선,시청,3963,3319
11,20210711,2호선,을지로입구,11167,10658
12,20210711,2호선,을지로3가,5359,5010
13,20210711,2호선,을지로4가,2376,2103
14,20210711,2호선,동대문역사문화공원(DDP),5180,6182
15,20210711,2호선,신당,5859,6216
16,20210711,2호선,상왕십리,5332,5231
17,20210711,2호선,왕십리(성동구청),7006,6030
18,20210711,2호선,한양대,1802,1880
19,20210711,2호선,뚝섬,6709,6929
20,20210711,2호선,성수,8669,9670
21,20210711,2호선,건대입구,17579,18872
22,20210711,2호선,구의(광진구청),8739,8940
23,20210711,2호선,강변(동서울터미널),15644,14589
24,20210711,2호선,잠실나루,4018,4076
25,20210711,2호선,잠실(송파구청),30082,28364
26,20210711,2호선,잠실새내,8096,8538
27,20210711,2호선,종합운동장,2724,2893
28,20210711,2호선,삼성(무역센터),10771,10708
29,20210711,2호선,선릉,9741,8410
30,20210711,2호선,역삼,8158,9216
31,20210711,2호선,강남,24776,23822
32,20210711,2호선,교대(법원.검찰청),8237,8966
33,20210711,2호선,서초,8127,7649
34,20210711,2호선,방배,5078,5417
35,20210711,2호선,사당,14354,16067
36,20210711,2호선,낙성대(강감찬),12045,12520
37,20210711,2호선,서울대입구(관악구청),20979,21671
38,20210711,2호선,봉천,9584,9420
39,20210711,2호선,신림,28441,28777
40,20210711,2호선,신대방,11895,11691
41,20210711,2호선,구로디지털단지,17776,17502
42,20210711,2호선,대림(구로구청),11324,11453
43,20210711,2호선,신도림,20640,20851
44,20210711,2호선,문래,5442,5803
45,20210711,2호선,영등포구청,5895,6050
46,20210711,2호선,당산,6201,6736
47,20210711,2호선,합정,13201,13699
48,20210711,2호선,홍대입구,26005,25978
49,20210711,2호선,신촌,15452,15281
50,20210711,2호선,이대,5182,5595
51,20210711,2호선,아현,3947,3973
52,20210711,2호선,충정로(경기대입구),2679,2782
53,20210711,2호선,용답,1316,1292
54,20210711,2호선,신답,548,618
55,20210711,2호선,신설동,1798,1908
56,20210711,2호선,도림천,404,426
57,20210711,2호선,양천구청,2549,2690
58,20210711,2호선,신정네거리,3853,3899
59,20210711,2호선,용두(동대문구청),803,879
60,20210711,3호선,지축,1502,1432
61,20210711,3호선,구파발,8563,8811
62,20210711,3호선,연신내,16532,15870
63,20210711,3호선,불광,7251,8433
64,20210711,3호선,녹번,5498,4930
65,20210711,3호선,홍제,6734,6528
66,20210711,3호선,무악재,1460,1442
67,20210711,3호선,독립문,2941,2937
68,20210711,3호선,경복궁(정부서울청사),6998,7428
69,20210711,3호선,안국,5794,6118
70,20210711,3호선,종로3가,2678,3369
71,20210711,3호선,을지로3가,2220,2055
72,20210711,3호선,동대입구,4120,4427
73,20210711,3호선,약수,4970,4760
74,20210711,3호선,금호,3248,3113
75,20210711,3호선,옥수,3747,4032
76,20210711,3호선,압구정,10376,10787
77,20210711,3호선,신사,9087,9271
78,20210711,3호선,잠원,1481,1585
79,20210711,3호선,고속터미널,26981,24466
80,20210711,3호선,교대(법원.검찰청),3297,2088
81,20210711,3호선,남부터미널(예술의전당),10611,10878
82,20210711,3호선,양재(서초구청),9541,11080
83,20210711,3호선,매봉,3478,3487
84,20210711,3호선,도곡,1563,1550
85,20210711,3호선,대치,4548,4004
86,20210711,3호선,학여울,568,595
87,20210711,3호선,대청,3007,3027
88,20210711,3호선,일원,2373,2555
89,20210711,3호선,수서,7856,7520
90,20210711,3호선,가락시장,2657,2947
91,20210711,3호선,경찰병원,2046,2098
92,20210711,3호선,오금,2014,1994
93,20210711,4호선,수유(강북구청),15235,14899
94,20210711,4호선,미아(서울사이버대학),6170,5891
95,20210711,4호선,미아사거리,11922,11550
96,20210711,4호선,길음,7321,7199
97,20210711,4호선,성신여대입구(돈암),9434,9023
98,20210711,4호선,한성대입구(삼선교),5819,5869
99,20210711,4호선,혜화,14085,14786
100,20210711,4호선,동대문,4375,5073
101,20210711,4호선,동대문역사문화공원(DDP),6115,5977
102,20210711,4호선,충무로,5442,5665
103,20210711,4호선,명동,6575,6685
104,20210711,4호선,회현(남대문시장),5834,5869
105,20210711,4호선,서울역,2851,5825
106,20210711,4호선,숙대입구(갈월),4830,4685
107,20210711,4호선,삼각지,1602,2156
108,20210711,4호선,신용산,5813,5896
109,20210711,4호선,이촌(국립중앙박물관),3287,3603
110,20210711,4호선,동작(현충원),1102,1105
111,20210711,4호선,총신대입구(이수),7711,8365
112,20210711,4호선,사당,10060,9443
113,20210711,4호선,남태령,444,423
114,20210711,4호선,당고개,6240,6156
115,20210711,4호선,상계,7856,7356
116,20210711,4호선,노원,9028,9755
117,20210711,4호선,창동,10623,11281
118,20210711,4호선,쌍문,12287,11094
119,20210711,5호선,방화,2645,2724
120,20210711,5호선,개화산,2043,2139
121,20210711,5호선,김포공항,5639,5366
122,20210711,5호선,송정,2908,2986
123,20210711,5호선,마곡,2740,2852
124,20210711,5호선,발산,6561,6823
125,20210711,5호선,우장산,4884,5128
126,20210711,5호선,화곡,10843,10137
127,20210711,5호선,까치산,12429,12473
128,20210711,5호선,신정(은행정),5010,4592
129,20210711,5호선,목동,5867,6000
130,20210711,5호선,오목교(목동운동장앞),8855,9279
131,20210711,5호선,양평,1980,2014
132,20210711,5호선,영등포구청,992,960
133,20210711,5호선,영등포시장,3291,3534
134,20210711,5호선,신길,1459,1576
135,20210711,5호선,여의도,4543,4991
136,20210711,5호선,여의나루,4313,4545
137,20210711,5호선,마포,3368,3374
138,20210711,5호선,공덕,3317,3297
139,20210711,5호선,애오개,1919,1948
140,20210711,5호선,충정로(경기대입구),1156,1145
141,20210711,5호선,서대문,3752,3685
142,20210711,5호선,광화문(세종문화회관),7687,8116
143,20210711,5호선,종로3가,5172,4906
144,20210711,5호선,을지로4가,982,1070
145,20210711,5호선,동대문역사문화공원(DDP),562,580
146,20210711,5호선,청구,1333,1206
147,20210711,5호선,신금호,2163,2376
148,20210711,5호선,행당,2858,2664
149,20210711,5호선,왕십리(성동구청),1854,2013
150,20210711,5호선,마장,2126,2040
151,20210711,5호선,답십리,5557,5163
152,20210711,5호선,장한평,5585,5810
153,20210711,5호선,군자(능동),4529,5020
154,20210711,5호선,아차산(어린이대공원후문),6958,6882
155,20210711,5호선,광나루(장신대),5358,5128
156,20210711,5호선,천호(풍납토성),8874,8480
157,20210711,5호선,강동,6493,6565
158,20210711,5호선,길동,3329,3422
159,20210711,5호선,굽은다리(강동구민회관앞),4158,3932
160,20210711,5호선,명일,3278,3432
161,20210711,5호선,고덕,3115,3067
162,20210711,5호선,상일동,5258,5009
163,20210711,5호선,둔촌동,3446,3527
164,20210711,5호선,올림픽공원(한국체대),1552,1305
165,20210711,5호선,방이,3021,2934
166,20210711,5호선,오금,1215,1132
167,20210711,5호선,개롱,2295,2478
168,20210711,5호선,거여,2910,2863
169,20210711,5호선,마천,2648,2788
170,20210711,5호선,강일,1237,1211
171,20210711,5호선,미사,6157,6261
172,20210711,5호선,하남풍산,1593,1639
173,20210711,5호선,하남시청(덕풍·신장),2489,2433
174,20210711,5호선,하남검단산,2738,2799
175,20210711,6호선,응암,7075,7052
176,20210711,6호선,역촌,1561,1844
177,20210711,6호선,불광,2399,2113
178,20210711,6호선,독바위,1209,1448
179,20210711,6호선,구산,3053,2303
180,20210711,6호선,새절(신사),5169,5028
181,20210711,6호선,증산(명지대앞),4290,4324
182,20210711,6호선,디지털미디어시티,3710,4025
183,20210711,6호선,월드컵경기장(성산),2434,2516
184,20210711,6호선,마포구청,5649,5324
185,20210711,6호선,망원,6347,7012
186,20210711,6호선,합정,6249,5675
187,20210711,6호선,상수,3702,4243
188,20210711,6호선,광흥창(서강),3103,3006
189,20210711,6호선,대흥(서강대앞),2979,3035
190,20210711,6호선,공덕,4910,4563
191,20210711,6호선,효창공원앞,2487,2243
192,20210711,6호선,삼각지,2469,1960
193,20210711,6호선,녹사평(용산구청),2293,2290
194,20210711,6호선,이태원,5485,5441
195,20210711,6호선,한강진,4730,5252
196,20210711,6호선,버티고개,730,882
197,20210711,6호선,약수,1422,1372
198,20210711,6호선,청구,1269,1229
199,20210711,6호선,신당,2743,3416
200,20210711,6호선,동묘앞,4196,4164
201,20210711,6호선,창신,1284,1144
202,20210711,6호선,보문,3104,2788
203,20210711,6호선,안암(고대병원앞),3497,3720
204,20210711,6호선,고려대(종암),3112,2924
205,20210711,6호선,월곡(동덕여대),4041,4117
206,20210711,6호선,상월곡(한국과학기술연구원),2474,2189
207,20210711,6호선,돌곶이,3798,3731
208,20210711,6호선,석계,5034,5071
209,20210711,6호선,태릉입구,2290,2416
210,20210711,6호선,화랑대(서울여대입구),3766,3309
211,20210711,6호선,봉화산(서울의료원),2948,2944
212,20210711,6호선,신내,1,0
213,20210711,7호선,장암,1065,813
214,20210711,7호선,도봉산,3870,5385
215,20210711,7호선,수락산,6097,6147
216,20210711,7호선,마들,4494,4251
217,20210711,7호선,노원,8397,8540
218,20210711,7호선,중계,5134,4742
219,20210711,7호선,하계,6566,6328
220,20210711,7호선,공릉(서울과학기술대),4818,4948
221,20210711,7호선,태릉입구,3725,3382
222,20210711,7호선,먹골,4195,4182
223,20210711,7호선,중화,4655,4513
224,20210711,7호선,상봉(시외버스터미널),7036,6549
225,20210711,7호선,면목,6261,6258
226,20210711,7호선,사가정,7083,7011
227,20210711,7호선,용마산(용마폭포공원),2663,2772
228,20210711,7호선,중곡,3792,3797
229,20210711,7호선,군자(능동),5958,4819
230,20210711,7호선,어린이대공원(세종대),5280,5305
231,20210711,7호선,건대입구,5289,5182
232,20210711,7호선,뚝섬유원지,4193,3964
233,20210711,7호선,청담,5265,5398
234,20210711,7호선,강남구청,4238,4633
235,20210711,7호선,학동,4453,4829
236,20210711,7호선,논현,4951,5297
237,20210711,7호선,반포,2108,2148
238,20210711,7호선,고속터미널,8712,5454
239,20210711,7호선,내방,3975,4076
240,20210711,7호선,이수,6200,6076
241,20210711,7호선,남성,4146,4245
242,20210711,7호선,숭실대입구(살피재),4517,4751
243,20210711,7호선,상도,3913,3980
244,20210711,7호선,장승배기,3809,3859
245,20210711,7호선,신대방삼거리,6293,6229
246,20210711,7호선,보라매,3364,3417
247,20210711,7호선,신풍,4762,4603
248,20210711,7호선,대림(구로구청),5151,4833
249,20210711,7호선,남구로,5518,5492
250,20210711,7호선,가산디지털단지,8102,7555
251,20210711,7호선,철산,8035,8130
252,20210711,7호선,광명사거리,9670,9506
253,20210711,7호선,천왕,3878,3689
254,20210711,7호선,온수(성공회대입구),3059,3078
255,20210711,7호선,까치울,3242,3227
256,20210711,7호선,부천종합운동장,1948,1759
257,20210711,7호선,춘의,2749,2641
258,20210711,7호선,신중동,5157,5058
259,20210711,7호선,부천시청,5515,5337
260,20210711,7호선,상동,5436,5343
261,20210711,7호선,삼산체육관,1974,1791
262,20210711,7호선,굴포천,3678,3747
263,20210711,7호선,부평구청,2832,2585
264,20210711,8호선,암사,6913,6483
265,20210711,8호선,천호(풍납토성),6630,7720
266,20210711,8호선,강동구청,3343,3570
267,20210711,8호선,몽촌토성(평화의문),2364,2365
268,20210711,8호선,잠실(송파구청),6574,7209
269,20210711,8호선,석촌,3258,3937
270,20210711,8호선,송파,2658,2769
271,20210711,8호선,가락시장,2321,3079
272,20210711,8호선,문정,3947,4180
273,20210711,8호선,장지,6973,7289
274,20210711,8호선,복정,3706,3413
275,20210711,8호선,산성,2519,2637
276,20210711,8호선,남한산성입구(성남법원.검찰청),5087,4779
277,20210711,8호선,단대오거리,4219,4219
278,20210711,8호선,신흥,2225,2314
279,20210711,8호선,수진,2330,2059
280,20210711,8호선,모란,2015,1774
281,20210711,9호선,개화,813,789
282,20210711,9호선,김포공항,6141,9418
283,20210711,9호선,공항시장,1340,1548
284,20210711,9호선,신방화,2533,2623
285,20210711,9호선,마곡나루(서울식물원),4032,4153
286,20210711,9호선,양천향교,3120,3354
287,20210711,9호선,가양,7674,7735
288,20210711,9호선,증미,1942,1988
289,20210711,9호선,등촌,4070,4152
290,20210711,9호선,염창,6227,6150
291,20210711,9호선,신목동,1284,1179
292,20210711,9호선,선유도,2082,2108
293,20210711,9호선,당산,6292,6306
294,20210711,9호선,국회의사당,3268,3073
295,20210711,9호선,여의도,4916,4596
296,20210711,9호선,샛강,1206,1250
297,20210711,9호선,노량진,11051,11760
298,20210711,9호선,노들,1937,1651
299,20210711,9호선,흑석(중앙대입구),2883,3040
300,20210711,9호선,동작(현충원),859,677
301,20210711,9호선,구반포,806,875
302,20210711,9호선,신반포,1153,1194
303,20210711,9호선,고속터미널,7002,8439
304,20210711,9호선,사평,999,1072
305,20210711,9호선,신논현,10914,10609
306,20210711,9호선2~3단계,언주,2677,2750
307,20210711,9호선2~3단계,선정릉,2242,2571
308,20210711,9호선2~3단계,삼성중앙,1417,1444
309,20210711,9호선2~3단계,봉은사,4635,4541
310,20210711,9호선2~3단계,종합운동장,1697,1563
311,20210711,9호선2~3단계,삼전,2718,2788
312,20210711,9호선2~3단계,석촌고분,2349,2397
313,20210711,9호선2~3단계,석촌,3413,2937
314,20210711,9호선2~3단계,송파나루,2150,2328
315,20210711,9호선2~3단계,한성백제,998,907
316,20210711,9호선2~3단계,올림픽공원(한국체대),2149,2208
317,20210711,9호선2~3단계,둔촌오륜,338,384
318,20210711,9호선2~3단계,중앙보훈병원,2426,2370
319,20210711,경강선,판교,1896,1668
320,20210711,경강선,이매,521,374
321,20210711,경강선,삼동,803,771
322,20210711,경강선,경기광주,2711,2707
323,20210711,경강선,초월,1250,1208
324,20210711,경강선,곤지암,1184,1358
325,20210711,경강선,신둔도예촌,631,581
