,use_dt,line_num,sub_sta_nm,ride_pasgr_num,alight_pasgr_num,work_dt
0,20220201,1호선,서울역,16407,14010,20220204
1,20220201,1호선,동묘앞,3082,3500,20220204
2,20220201,1호선,시청,3743,3740,20220204
3,20220201,1호선,종각,7295,6513,20220204
4,20220201,1호선,종로3가,6012,5363,20220204
5,20220201,1호선,종로5가,3389,3142,20220204
6,20220201,1호선,동대문,5813,5304,20220204
7,20220201,1호선,신설동,3126,3237,20220204
8,20220201,1호선,제기동,3458,3693,20220204
9,20220201,1호선,청량리(서울시립대입구),6194,6306,20220204
10,20220201,2호선,시청,2516,2385,20220204
11,20220201,2호선,을지로입구,4659,4006,20220204
12,20220201,2호선,을지로3가,2577,2514,20220204
13,20220201,2호선,을지로4가,1147,1187,20220204
14,20220201,2호선,동대문역사문화공원(DDP),3129,3528,20220204
15,20220201,2호선,신당,3709,4257,20220204
16,20220201,2호선,상왕십리,3777,4062,20220204
17,20220201,2호선,왕십리(성동구청),4167,3874,20220204
18,20220201,2호선,한양대,998,1091,20220204
19,20220201,2호선,뚝섬,3411,3561,20220204
20,20220201,2호선,성수,5137,6014,20220204
21,20220201,2호선,건대입구,12468,14328,20220204
22,20220201,2호선,구의(광진구청),5832,6553,20220204
23,20220201,2호선,강변(동서울터미널),17862,9916,20220204
24,20220201,2호선,잠실나루,2782,2763,20220204
25,20220201,2호선,잠실(송파구청),22539,20628,20220204
26,20220201,2호선,잠실새내,4928,5520,20220204
27,20220201,2호선,종합운동장,1749,1959,20220204
28,20220201,2호선,삼성(무역센터),8602,8132,20220204
29,20220201,2호선,선릉,4339,4146,20220204
30,20220201,2호선,역삼,3970,4714,20220204
31,20220201,2호선,강남,12192,12225,20220204
32,20220201,2호선,교대(법원.검찰청),3830,4233,20220204
33,20220201,2호선,서초,2456,2135,20220204
34,20220201,2호선,방배,2720,2933,20220204
35,20220201,2호선,사당,9376,10026,20220204
36,20220201,2호선,낙성대(강감찬),6698,8270,20220204
37,20220201,2호선,서울대입구(관악구청),11387,13735,20220204
38,20220201,2호선,봉천,5972,6781,20220204
39,20220201,2호선,신림,19446,23401,20220204
40,20220201,2호선,신대방,8420,9382,20220204
41,20220201,2호선,구로디지털단지,11935,13310,20220204
42,20220201,2호선,대림(구로구청),7685,8678,20220204
43,20220201,2호선,신도림,12259,12931,20220204
44,20220201,2호선,문래,3305,3451,20220204
45,20220201,2호선,영등포구청,3845,4217,20220204
46,20220201,2호선,당산,4112,4561,20220204
47,20220201,2호선,합정,7427,8312,20220204
48,20220201,2호선,홍대입구,18355,19663,20220204
49,20220201,2호선,신촌,7624,8400,20220204
50,20220201,2호선,이대,2850,3186,20220204
51,20220201,2호선,아현,2755,3005,20220204
52,20220201,2호선,충정로(경기대입구),1974,2156,20220204
53,20220201,2호선,용답,982,1097,20220204
54,20220201,2호선,신답,331,399,20220204
55,20220201,2호선,신설동,862,912,20220204
56,20220201,2호선,도림천,280,295,20220204
57,20220201,2호선,양천구청,2013,2121,20220204
58,20220201,2호선,신정네거리,2944,3260,20220204
59,20220201,2호선,용두(동대문구청),563,627,20220204
60,20220201,3호선,지축,1183,1134,20220204
61,20220201,3호선,구파발,6629,6843,20220204
62,20220201,3호선,연신내,12409,12922,20220204
63,20220201,3호선,불광,4874,5889,20220204
64,20220201,3호선,녹번,4431,4398,20220204
65,20220201,3호선,홍제,5555,5563,20220204
66,20220201,3호선,무악재,1195,1332,20220204
67,20220201,3호선,독립문,2325,2420,20220204
68,20220201,3호선,경복궁(정부서울청사),5914,7253,20220204
69,20220201,3호선,안국,5840,6316,20220204
70,20220201,3호선,종로3가,1573,2478,20220204
71,20220201,3호선,을지로3가,1135,1083,20220204
72,20220201,3호선,동대입구,3085,3628,20220204
73,20220201,3호선,약수,3631,3714,20220204
74,20220201,3호선,금호,2599,2512,20220204
75,20220201,3호선,옥수,2654,2951,20220204
76,20220201,3호선,압구정,3522,3930,20220204
77,20220201,3호선,신사,3735,4126,20220204
78,20220201,3호선,잠원,1016,1031,20220204
79,20220201,3호선,고속터미널,30168,13336,20220204
80,20220201,3호선,교대(법원.검찰청),1449,997,20220204
81,20220201,3호선,남부터미널(예술의전당),9858,6343,20220204
82,20220201,3호선,양재(서초구청),5351,6618,20220204
83,20220201,3호선,매봉,1760,1774,20220204
84,20220201,3호선,도곡,889,930,20220204
85,20220201,3호선,대치,2095,2068,20220204
86,20220201,3호선,학여울,339,382,20220204
87,20220201,3호선,대청,2174,2241,20220204
88,20220201,3호선,일원,1784,1869,20220204
89,20220201,3호선,수서,5691,4990,20220204
90,20220201,3호선,가락시장,1760,1739,20220204
91,20220201,3호선,경찰병원,1417,1604,20220204
92,20220201,3호선,오금,1288,1379,20220204
93,20220201,4호선,수유(강북구청),12578,13008,20220204
94,20220201,4호선,미아(서울사이버대학),5144,4986,20220204
95,20220201,4호선,미아사거리,9241,8902,20220204
96,20220201,4호선,길음,5870,6068,20220204
97,20220201,4호선,성신여대입구(돈암),6233,6399,20220204
98,20220201,4호선,한성대입구(삼선교),4395,4574,20220204
99,20220201,4호선,혜화,8076,8586,20220204
100,20220201,4호선,동대문,1830,1705,20220204
101,20220201,4호선,동대문역사문화공원(DDP),3784,3337,20220204
102,20220201,4호선,충무로,3916,4117,20220204
103,20220201,4호선,명동,4780,4531,20220204
104,20220201,4호선,회현(남대문시장),2040,2063,20220204
105,20220201,4호선,서울역,2332,4904,20220204
106,20220201,4호선,숙대입구(갈월),2928,2906,20220204
107,20220201,4호선,삼각지,1014,1403,20220204
108,20220201,4호선,신용산,3979,3676,20220204
109,20220201,4호선,이촌(국립중앙박물관),1580,1812,20220204
110,20220201,4호선,동작(현충원),543,592,20220204
111,20220201,4호선,총신대입구(이수),4717,5295,20220204
112,20220201,4호선,사당,7021,6430,20220204
113,20220201,4호선,남태령,345,308,20220204
114,20220201,4호선,당고개,5055,4687,20220204
115,20220201,4호선,상계,6686,6444,20220204
116,20220201,4호선,노원,6767,7299,20220204
117,20220201,4호선,창동,9137,9310,20220204
118,20220201,4호선,쌍문,9894,9347,20220204
119,20220201,5호선,방화,2417,2316,20220204
120,20220201,5호선,개화산,1906,1944,20220204
121,20220201,5호선,김포공항,6351,5457,20220204
122,20220201,5호선,송정,2405,2443,20220204
123,20220201,5호선,마곡,1770,1939,20220204
124,20220201,5호선,발산,4058,4182,20220204
125,20220201,5호선,우장산,3528,3899,20220204
126,20220201,5호선,화곡,8399,8782,20220204
127,20220201,5호선,까치산,9383,10525,20220204
