,title,link,description
0,<b>무자격자 중개</b>로 이루어진 부동산 쌍방계약의 계약금... ,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60212&docId=417148067&qb=66y07J6Q6rKp7J6QIOykkeqwnA==&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0,"... 위와 같은 이유로 <b>무자격자</b>, <b>중개</b>보조인, 매도인에게 내용증명을 보내 계약금 반환과 계약해지를 지속적으로 요구하였습니다. 따라서 피해자는 이 계약의 체결여부와 진행에 관해서 매도인의 연락을 기다리고 있었습니다.... "
1,부동산 <b>중개</b> <b>무자격자</b>가 <b>중개</b>할경우,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=120474605&qb=66y07J6Q6rKp7J6QIOykkeqwnA==&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0,부인이나 제 3자가 부동산 <b>중개</b>업 (공인<b>중개</b>사?)자격을 갖고 <b>중개</b>업을 하면서 자격없는 남편이 <b>중개</b>소 사무실을 아내와 교대하며 <b>중개</b>업을 할경우 고발 /신고할수있는지? 그리고 <b>무자격자</b>의 처벌이 가능하지요?? 이부분에대해서 지식이... 
2,<b>무자격자</b>의 <b>중개</b>행위,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=82407400&qb=66y07J6Q6rKp7J6QIOykkeqwnA==&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0,... 근데 알고보니 그 <b>중개</b>사가 컨설팅회사라는 회사를 열어놓고 무자격이고 무등록으로 <b>중개</b>행위를 한것입니다. 계약서는 <b>무자격자</b>가 작성을 하고 도장을 찍었습니다. 완전 배째라 식으로 여기는 공인<b>중개</b>사도 아니고 나는 <b>중개</b>업자도... 
3,사기및 <b>무자격자</b> 부동산 <b>중개</b>법 위반 고소 취하를 하면...,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=383653091&qb=66y07J6Q6rKp7J6QIOykkeqwnA==&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0,"... 부동산 <b>중개</b>법위반으로 고소를 해서 취하를 하면 형사처벌은 안받어도 행정처벌은 별개로 받는건지, 보조<b>중개</b>원의 행위로 공인<b>중개</b>사도 같이 처벌을 받는 걸로 아는데 취하를 하면 둘 다 처벌을 안받게 되는지... 제가 보조<b>중개</b>원의... "
4,명의대여 공인<b>중개</b>업자와 <b>무자격자</b>의 <b>중개</b>행위에 대한... ,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=402&docId=34612610&qb=66y07J6Q6rKp7J6QIOykkeqwnA==&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0,<b>무자격자</b>가 공인<b>중개</b>업자의 명의를 빌려 개업한 후 부동산을 거래하고 수수료를 받았다면 어떠한 법률적인 잘못이 있나요.. <b>무자격자</b>의 이름으로 영수증이 발행되었습니다. 수수료도 받구요. 지식인의 답변을 원합니다. 1. 명의를... 
5,<b>무자격자</b>가 <b>중개</b>수수료를 받아갔는데요,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=402&docId=165639753&qb=66y07J6Q6rKp7J6QIOykkeqwnA==&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0,... 지금이라도 군청에 고발하면 될까요? 수수료 영수증 받았나요? 그리고 그분이 <b>무자격자</b>가 <b>중개</b>했으니 계약서 들고 가셔서 구청에 민원제기하세요 그리고 수수료 2천만원 받은것도 같이 민원제기 하시면 됩니다 
6,<b>무자격자</b>의 <b>중개</b>에 따른 매매계약서는 무효인가요?,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40201&docId=260170661&qb=66y07J6Q6rKp7J6QIOykkeqwnA==&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0,... 그런데 매도자가 확인해보니 그 부동산이 아무래도 불법인거 같다며 <b>중개</b>사가 <b>무자격자</b>이니 이 계약도 무효라고 주장합니다. 본인 아는 부동산에 가서 계약서를 다시 작성하자고 하시는데 계약할때 보니 본인의견만 주장하셔서... 
7,부동산 계약 무자격(<b>중개</b>보조인) 공동<b>중개</b>시 행정처분... ,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60212&docId=407884326&qb=66y07J6Q6rKp7J6QIOykkeqwnA==&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0,부동산 계약시 상대방이 부동산이 <b>무자격자</b>(<b>중개</b>보조인)인 상황에 대해서 선의든 악의든 중개사없이 공동 중개했을때 공동중개한 부동산이 행정처분을 같이 받는지 여부를 알고 싶습니다.  안녕하세요. 서울지방변호사회-네이버 지식iN... 
8,<b>무자격자</b>가<b>중개</b>하여전세로들러갔는데경매로보증금을다... ,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=34041715&qb=66y07J6Q6rKp7J6QIOykkeqwnA==&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0,<b>무자격자</b>가<b>중개</b>하여 전세로들러갔는데 경매로인하여 배당락에서 2순위로 밀려 보증금을다 돌려받지 못하고 일부만 받았는데 받을수있는 방법과처벌에 대해 궁금합니다.  해당구청 지적과에 신고하세요...
9,<b>무자격자</b>가 공인<b>중개</b>사를 고용하여 <b>중개</b>하는경우의... ,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=224596152&qb=66y07J6Q6rKp7J6QIOykkeqwnA==&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0,... 공인<b>중개</b>사에게 월급을주면서 <b>중개</b>활동 2.<b>무자격자</b>가 명함에 대표자로 사용함 3.구청단속은 공인<b>중개</b>사가 실지대표자인양 하고 본인은 <b>중개</b>보조원으로 활동 4.무려 15~16년을 그런식으로 공인<b>중개</b>사자격자를 바꿔가면서 영업활동 5.... 
