,title,link,description
0,<b>집주인</b> 파산시 전세금 문제,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=430292926&qb=67CU7KeA7KeR7KO87J24&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0,지금 전세 들어와 있는 건물이 경매에 넘어갔구요 <b>집주인</b>은 <b>바지</b>사장이고 실질적으로 관리하던 사람이 따로 있었나봅니다 세입자가 많아서 고소하였고 관리하던 사람은 구속됐구요 <b>집주인</b>은 <b>바지</b>사장이였던거 같습니다 무죄로 뜬 거... 
1,깡통전세당한거같은데 <b>집주인</b>연락두절,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60212&docId=385992056&qb=67CU7KeA7KeR7KO87J24&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0,... 그런데 막상 <b>집주인</b>을 찾아보면 자신은 <b>바지</b>사장이라며 아무것도 모른다고 하고... 그 시간 동안 집은 경매에 나오면서 피해자들은 지옥에 떨어진 것 같다고 호소합니다. 도움이 되실지는 모르겠지만 저도 최근 다큐멘터리를... 
2,전세 중복계약 질문드립니다,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=427323030&qb=67CU7KeA7KeR7KO87J24&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0,인천에서 거주중입니다 요새 하두 전세 사기에 대한 글들이 많아서 질문드려요 제가지금 1억5천짜리 전세를 살고있는데 부동산 등기부등본을보면 몇일전 집주인이 바뀌었어요 알아보니 바지로 집주인이 바뀌고 현재 <b>바지집주인</b>이... 
3,전세 살던 도중 새로 바뀐 <b>집주인</b>이 소유권을 다른 세금... ,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60215&docId=430734111&qb=67CU7KeA7KeR7KO87J24&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0,"... <b>집주인</b> A도 <b>바지</b> 명의자라서 임대인 승계 거부하는 게 의미가 없어서 할 수가 없는 상태입니다. 신축빌라 깡통전세 <b>바지</b> 명의자 사기입니다. 관련태그: 건축/부동산 일반, 매매/소유권 등, 임대차  # 법률사무소 인도 | 안병찬... "
4,부동산 전세사기 질문,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=373872998&qb=67CU7KeA7KeR7KO87J24&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0,... 원래 집주인이 <b>바지집주인</b>한테 명의만 빌려주는게 합법인가요? 원래 집주인은 처벌받지 않나요? 1. 확정일자에 근저당이 없는걸 확인하고 거래를 했는데 집주인이 바끼고 근저당이 설정됬다고 왜 문제가 되는거죠? 어차피 1순위는... 
5,갭투자사기ㅡ<b>집주인</b>이세입자계약금을받고연락이... ,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=416194578&qb=67CU7KeA7KeR7KO87J24&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0,"... 신축빌라 <b>집주인</b>이 바뀌었던 사건입니다. 최근에는 세 모녀는 대가를 받고 명의를 내준 이른바 &apos;<b>바지</b> 사장&apos;이었고, 건축주와 분양대행사가 &apos;전세 사기&apos;를 주도한 정황이 포착되었다는 뉴스 소식이 전해지기도 했습니다. 상담자분의... "
6,전세에서 <b>집주인</b>이 명의만 빌리는 경우는 무슨말,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=402&docId=398990509&qb=67CU7KeA7KeR7KO87J24&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0,... &quot;<b>집주인</b>이 명의만 받은 <b>바지</b>사장이면 파산해서 못받는다.&quot; 대충 무슨말일까요 질문에 답변드리겠습니다. &quot;&quot;<b>집주인</b>이 명의만 받은 <b>바지</b>사장이면 파산해서 못받는다.&quot;라는 의미는 투자자 또는 투기자가 무주택 소유자 명의로 주택을... 
7,신축 빌라 전세,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=402&docId=409337506&qb=67CU7KeA7KeR7KO87J24&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0,... 지급했을텐데 <b>바지 집주인</b>을 두는 것 같아 걱정이 됩니다 부동산에서는 중개수수료도 받지 않겠다고 하고 대출금 이자 지원도 해준다고 하는데 신축 빌라 전세 사기 레파토리랑 일치하더라고요 제가 호구짓 당하는거겠죠? 10평 약간... 
8,역전세 오피스텔 <b>집주인</b>변동시 질문드립니다,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40202&docId=417190188&qb=67CU7KeA7KeR7KO87J24&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0,... 그런데 아무리 <b>바지</b>사장이라도 역전세 오피스텔을 받으려고 하나요? 2.<b>집주인</b>이 바뀌면 등기부등본에 표시가 되죠? 3. <b>집주인</b>이 바뀔때 계약서 승계시 <b>집주인</b>의 미납세금이 있을시 계약을 파기한다 조항을 넣을 수 있나요... 
9,전세보증보험,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=379399745&qb=67CU7KeA7KeR7KO87J24&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0,... 매매가와 전세가가 차이가 얼마안나서 집주인이 그냥 <b>바지 집주인</b>인 경우에 집을 여러채 보유하여 집주인행세만 하는겁니가. 신축 빌라의 경우 매매가와 전세가가 차이가 없습니다. 이런곳은 무조건 피하시는게 상책입니다. 유튜브에... 
