,title,link,description
0,<b>빌라왕</b> 최씨 전세사기 행방,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=430389294&qb=67mM65287JmV&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=1,수백명 전세보증금 떼어먹은 <b>빌라왕</b> 최씨 근황 궁금하네요. <b>빌라왕</b> 최씨 전세사기 행방 수백명 전세보증금 떼어먹은 <b>빌라왕</b> 최씨 근황 궁금하네요. <b>빌라왕</b> 최씨는 가명이고 암튼 오늘 서울 한복판 호텔에서 <b>빌라왕</b>으로 조사 받던 40대... 
1,<b>빌라왕</b>의 사기,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=402&docId=426309983&qb=67mM65287JmV&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=1,... 그리고 높은 전세가로 전세임차인 맞추고... 무갭이나 마이너스 갭으로 ...분양받으면서 도로 돈을 받아요. <b>빌라왕</b>은 빌라를 전세낀 걸 사면서 도로 돈을 받죠... 나중에 세입자들 나갈땐 돈 없으니 배째라.. ㅡㅜ 
2,<b>빌라왕</b>의 사기수법이 뭔가요?,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=427210369&qb=67mM65287JmV&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=1,... <b>빌라왕</b>의 경우 구옥빌라의 경우 매매가보다 전세가를 높게 하여 차익을 챙기는 방식으로 진행하였습니다.... <b>빌라왕</b>같은 바지명의자(명의대여자)는 대부분 행위무능력자와 같은 경우가 많기에 향후 전세금 반환이 굉장히 어려워지는... 
3,강북구신축빌라 찾는데 <b>빌라왕</b>김빌라 일잘하나요?,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=402&docId=240854927&qb=67mM65287JmV&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=1,... 둘러보다가 <b>빌라왕</b>김빌라가 보이던데 선뜻 전화하기가... 강북구신축빌라를 찾는중이라시면 <b>빌라왕</b>김빌라를... 개업공인중개사인 <b>빌라왕</b>김빌라와 함께하시면... 그리고 <b>빌라왕</b>김빌라가 일을 잘하느냐고 질문주셨는데... 
4,빌라투자로 100억 부자된 <b>빌라왕</b> 채익종이란 분 조심,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=602060402&docId=315239280&qb=67mM65287JmV&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=1,"자신 처럼 하면 100억 대 부자가 될수 있다면서, 투자를 유도 한후, 서먼들 돈 등 처먹고 사람 입니다 그사람이름으로, 된 건물이나, 통장이 없기 때문에 투자 햇다간 사기시 나중에 차압도 못걸고 돈을날리는것임 .조심 하시길... "
5,은평구신축빌라 <b>빌라왕</b>김빌라에서 알아본다면?,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=402&docId=244770561&qb=67mM65287JmV&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=1,... 사람들이 <b>빌라왕</b>김빌라 얘기를 많이 하더라구요 그래서... <b>빌라왕</b>김빌라에서 구매하려고 하는데 잘 알아봐주려나요? 저도 은평구신축빌라는 아니지만 <b>빌라왕</b>김빌라에서... 이미 <b>빌라왕</b>김빌라에는 모든 은평구신축빌라가... 
6,신축빌라 구매할때 <b>빌라왕</b>김빌라가 왜 유명한가요?,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=402&docId=245426962&qb=67mM65287JmV&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=1,... 주변사람들이 <b>빌라왕</b>김빌라 얘기를 많이해서요... 주변사람들 얘기하기로는 신축빌라 <b>빌라왕</b>김빌라에서 사도... 말씀드리자면 <b>빌라왕</b>김빌라에서 그냥 진행하세요ㅋㅋㅋ... 생각으로는 <b>빌라왕</b>김빌라VS본인이 직접 찾는거라고 상상하고... 
7,은평구 신축빌라찾고있는데 <b>빌라왕</b>김빌라 어떤가요,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=402&docId=244770167&qb=67mM65287JmV&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=1,... 막막하던중에 <b>빌라왕</b>김빌라 라는 곳을 알게되었는데... <b>빌라왕</b>김빌라 믿고 진행해도 될까요? 은평구 신축빌라가... 말씀하신 <b>빌라왕</b>김빌라에서 구매했어요 신축빌라... 물어본만큼 <b>빌라왕</b>김빌라에서 보여준 은평구 신축빌라 5개는... 
8,신축빌라구할땐 <b>빌라왕</b>김빌라 라는말이 왜나온거죠?,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=402&docId=244773436&qb=67mM65287JmV&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=1,... 하나같이 <b>빌라왕</b>김빌라라고 하네요 무슨... 저도 신축빌라를 <b>빌라왕</b>김빌라에서 구해본사람으로써... 저는 <b>빌라왕</b>김빌라가 엄청나게 특출나다고는 생각안해요 그냥... 분위기라면 <b>빌라왕</b>김빌라는 내조건에 맞는 신축빌라중에... 
9,전세보증보험문의,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=401030203&docId=430028421&qb=67mM65287JmV&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=1,안녕하세요 현재 전세사기를 당해서 집주인이 유명한 <b>빌라왕</b> ㄱㅇㅁ인데 집이 허그로부터 가압류가 당해져 있습니다. 확정일자는 계약서 쓴날 받았으며 전입신고는 집 이삿날에 계약금 지급하면서 그날 당일날 받았습니다. (많이... 
10,안심전세보증보험집주인변경,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60103&docId=430756058&qb=67mM65287JmV&enc=utf8&section=kin.qna&rank=11&search_sort=0&spq=1,... 말하는 ‘<b>빌라왕</b>’ 사망 사건의 진실 | 일요신문 (ilyo.co.kr) 이는 보증기관인 허그에서도 위 유형을 전세사기로 보고 있고 단속을 실시하고있습니다 전세보증금 보증보험을 이용하는 신종 사기수법입니다 나중에 바뀐 임대인이... 
11,전세계약금을 날리게 생겼네요. 이게 전세사기인가요?,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=429969065&qb=67mM65287JmV&enc=utf8&section=kin.qna&rank=12&search_sort=0&spq=1,"... 부동산 임대차계약 전 매물에 대한 정보와 함께 임대인 정보도 함께 알아보시는걸 추천드리는데요, 고액체납자라던가, <b>빌라왕</b>?, 보증금 돌려주지 않는 악성임대인 등 전세사기가 많아지고 있어서 더 조심해야하는 시기입니다.... "
12,불법확장빌라 (공매),https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40204&docId=427180441&qb=67mM65287JmV&enc=utf8&section=kin.qna&rank=13&search_sort=0&spq=1,안녕하세요 2017년도에 불법확장된 빌라를오게되었습니다 집주인이 뉴스에나온 <b>빌라왕</b>인데요 지금 공매진행중에있습니다 저희가 최소피해를줄일라면 이집을 공매를봐서 이집을 가져오게되면 확장한 벌금이랑 전세 매매를 내놓게 되면... 
13,내용증명 보낼 시 도장/ 싸인 필요성,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80801&docId=424435025&qb=67mM65287JmV&enc=utf8&section=kin.qna&rank=14&search_sort=0&spq=1,... 현재 전세로 집 살고 있다가 집주인이 뉴스에서 떠들던 <b>빌라왕</b> 사기꾼 이라는 사실을 알게되었습니다 12월 4일자로 집 계약 만료인데 계약 연장을 하지 않겠다는 의사 표현으로 내용증명을 보냈습니다 그런데 제가 인터넷우편으로... 
