,title,link,description
0,<b>세모녀전세사기사건</b> 재판 결과 나왔나요??,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60206&docId=426574664&qb=7IS466qo64WA7KCE7IS47IKs6riw7IKs6rG0&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0,<b>세모녀전세사기사건</b> 재판 결과 나왔나요?? 세모녀가 사기 친건가요? 세모녀가 사기 당한건가요?  안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 정종욱 변호사입니다. 세모녀 사기 사건은 현재 기소가 되어... 
1,화곡동 <b>세모녀 전세사기</b>와 유사한 상황인 것 같아요.,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=389965676&qb=7IS466qo64WA7KCE7IS47IKs6riw7IKs6rG0&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0,"현재 전세로 거주하고 있는데, 화곡동 <b>세모녀 전세사기 사건</b>과 유사한 상황이라 도움요청 드립니다. 2019년 12월 22일 전세계약을 체결하였고, 2019년 12월 24일 확정일자를 받아놨습니다. 그리고 2020년 01월 18일 입주예정이라... "
2,<b>세모녀 전세사기</b>(깡통<b>전세</b>) 피해자입니다.,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60212&docId=389382051&qb=7IS466qo64WA7KCE7IS47IKs6riw7IKs6rG0&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0,"... 저희 <b>전세</b> 보증금 반환 및 보호를 받을 수 있는 방법이 있을까요? 관련태그: 임대차 관련키워드: 매매, 보증금반환, <b>사기</b>  # 로톡 | 김기범 변호사 [변호사 프로필보기] # 사무실 문의 전화: 050-7725-0389 1. 먼저 <b>사기</b>죄로 고소가 필요해... "
3,빌라나 주택 <b>사기</b> 예방(<b>세모녀</b> <b>사기사건</b>),https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40201&docId=389683385&qb=7IS466qo64WA7KCE7IS47IKs6riw7IKs6rG0&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0,어제 티비에서 <b>세모녀</b> <b>사기사건</b> 보고 경악을 금치 못했는데요. 이게 무슨 갭투자 <b>사기</b>? 로 나오는데 처벌 받을수도... 여기서 궁금한게 제가 만약 빌라나 주택으로 <b>전세</b>이사를 가게 되면 나중에 안전하게 <b>전세</b>금도 받을수 있는 방법과... 
4,<b>세모녀 전세사기</b> 피해자입니다. 이런경우 돈을 돌려받을... ,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=423001525&qb=7IS466qo64WA7KCE7IS47IKs6riw7IKs6rG0&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0,"... 오늘 검사한테 전화가 왔는데 제 집이 <b>세모녀 전세</b><b>사건</b> 피의자 집이라서 집이 가압류 되었고, 엄마는 구속, 두 딸은 수사중이라는데요.. 1) <b>전세</b>보증보험 가입돼있으면 1억8천9백만원을 온전히 돌려받을 수 있는건가요? 2) 제가... "
5,&quot;<b>세 모녀</b>&quot;바지사장,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6020602&docId=391498893&qb=7IS466qo64WA7KCE7IS47IKs6riw7IKs6rG0&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0,... <b>세 모녀</b> 걸고서 살해당한 <b>세 모녀</b>가 <b>전세사기</b> 쳤다는건지... 안타까웠던 송파구 <b>세 모녀</b>가 <b>전세사기</b> 쳤다는건지... 서초구랑 대전도 <b>세모녀</b> <b>사건</b> 있고~~ 밥 먹고 타이틀 쓴다는 놈들이 한다는 짓이 클릭수 조장 질이네..... 
6,<b>전세사기</b> 당했습니다.,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60206&docId=419041653&qb=7IS466qo64WA7KCE7IS47IKs6riw7IKs6rG0&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0,"... <b>세 모녀 전세사기 사건</b> 비슷하게 임대인이 여러 채의 오피스텔을 소유하면서 상습적인 사기행각을 벌였을 가능성도 있어 보입니다. 1억3700만원의 전세 보증금 중 5%의 계약금을 입금하고, 중소기업청년대출로 1억원을 대출 받아 총... "
7,<b>전세사기</b>인 것 같습니다.,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60212&docId=404048829&qb=7IS466qo64WA7KCE7IS47IKs6riw7IKs6rG0&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0,"... <b>세 모녀 전세사기 사건</b>은 신축빌라 건축주와 전세계약을 체결하면서 전입신고 및 확정일자까지 받으면서 안전하게 전세계약을 체결하였지만, 전세계약 체결 이후 얼마 지나지도 않아 세 모녀 명의로 신축빌라 집주인이... "
8,<b>전세사기</b>에 대한 조언..,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=427649486&qb=7IS466qo64WA7KCE7IS47IKs6riw7IKs6rG0&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0,"... <b>전세사기 사건</b>에 휘말린 경우 신속한 법적 대응으로 피해회복을 도모하셔야 합니다. <b>전세사기</b> 피해에 대응하는 방법으로는 형사고소, <b>전세</b>보증금반환소송 등이 있습니다. 자세한 대응방법은 관련자료를 지참해 전문 변호사와... "
9,곧 <b>전세</b> 만기 인데 집주인은 다른 <b>세</b>,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=430180777&qb=7IS466qo64WA7KCE7IS47IKs6riw7IKs6rG0&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0,"... 국토부) http://naver.me/5thT8qm3 <b>전세</b>보증보험 <b>사기</b> 주범 국토부 -&gt; 대검찰청에 고발 (고발) http://naver.me/5XUu2h5V (<b>사건</b>배당) http://naver.me/Fp15Xkq7 - 5대그룹 대기업 근무 - 5대은행 시중은행 근무 - 국토해양부, 국토연구원... "
