,title,link,description
0,<b>신탁사</b> 소유 부동산 전세<b>사기</b> 어떻게 대처해야될까요??,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=428964768&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0,"... 채권압류 및 추심명령으로 인해 신탁말소가 되지않음(B씨로 부터 <b>사기</b>당한 피해자들이 압류함) -&gt; 이로 인해... <b>신탁사</b> 소유 <b>건물</b>에 확정일자 등을 받았기 때문에 대항력이 존재하지 않고, 대출금을 갚긴 했지만 아직 위탁자... "
1,서류떼보니 <b>신탁사</b>에 소유권 이전 되었네요 문제... ,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40201&docId=430811771&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0,지금 사는 1종근린시설 요즘 전세<b>사기</b> 난리길래 전세금 들어있는 <b>건물</b> 5월에 <b>신탁사</b>에 소유권이전되어있는데요 근저당잡혀있는것 없구요 <b>건물</b> 통으로 매물로 올라와있던데 혹시 계약전이아닌 후에 이렇게 <b>신탁사</b>로 넘어간건... 
2,부동산 <b>신탁 사</b>기 질문입니다.,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=402138225&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0,... <b>신탁사 건물</b>이라고 계약서에 명시 돼 있었고 그 당시에는 크게 문제 될 것 없어보였지만 문제가 될 <b>건물</b>인지 안 될 <b>건물</b>인지 판단이 서지 않았습니다. 멋 머르고 사인한 댓가가 크긴 하네요! 부동산 중개인은 이 사실을 몰랐을까? 하는... 
3,전세대출 <b>신탁사</b> 문의,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=380760284&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0,... <b>건물</b>주인 법인과 법인의 업종인 부동산중개업?(부동산관련업이었음)은 그대로인데 대표자만 바뀌었고 제가 사는 해당 층이 <b>신탁사</b>로 소유권이... 결론은 혹시 저 전세 <b>사기</b> 맞을 가능성 있는건가요? 은행업무시간이 종료돼서... 
4,신탁<b>건물</b> 대항력 인정 관련 소송,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60212&docId=346593268&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0,... 현재 <b>신탁사</b>에서 <b>건물</b>을 처분하려는데 처분수익금 우선순위가 대항력있는임차인&gt;우선수익자(은행)&gt;위탁자... 서류들만 펼쳐놓고 봐도 <b>신탁사</b> 등이 <b>사기</b>방조같은데 그 피해를 임차인들이 떠안아야 하는게 화가납니다. 자세히 들어가면... 
5,오피스텔 분양 <b>사기</b> 꼭 보세요.,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=348664098&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0,"... ● 오피스텔 <b>사기</b> -오피스텔 및 상가 <b>사기</b>도 참 여러가지인데 대표 적으로 *허위 광고 , 팔아주겠다 , 확정 수익... 돈거래도 분양대행사,<b>신탁사</b>,시행사 이 회사들끼리 <b>건물</b> 분양했으면 돈거래도 오고 가고 했을탠데. 이해가 안갑니다... "
6,신탁 부동산 계약,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40202&docId=419664116&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0,"... 3년된 <b>건물</b>에 <b>건물</b>가 13억이라 들었고 신탁 5억 7천 선순위 보증금 1억 3천 정도라고 합니다 <b>신탁사</b> 동의하에... 더하면 11억이고, 1억 역전세 <b>사기</b>가 된다. <b>건물</b>주는 <b>건물</b>을 10억 짜리를 공짜로 사고 1억을 번다. 10채 사고... "
7,오피스분양건에 대한 <b>사기</b>시.,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40203&docId=404321292&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0,근처에 이년후 준공하는 오피스<b>건물</b>이 있습니다. 초기투자금액이 2천이고 준공하고잔금(2억)을 치르는... 분양대행사로 받아야죠 도는 <b>신탁사</b>로 받던지요. 개인으로 받으면 <b>사기</b>죠 http://pf.kakao.com/_dyfGs/chat 무료상담 https... 
8,신축빌라 <b>사기</b>가 많다던데 계약할려는 집이 궁금해여,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=424765155&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0,"... 그리고 만약 이 <b>건물</b>이 통째로 경매로 넘어가도 전세보증금을 다 받을 수... 신축빌라의 경우 소유권을 둘러싸고 시공사, <b>신탁사</b>, 투자자 등 여러... 전세집이 경매에 넘어가는 경우 대처방법, 신축빌라 갭투자 전세<b>사기</b> 대응방법에... "
9,개인명의 땅 <b>건물</b> 시행 문의,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=402&docId=387027021&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0,"... 저희 땅에 기존 법인 명의로 주상복합 <b>건물</b>을 올리려 합니다. 땅은... 부동산 쪽에 워낙 <b>사기</b>가 많다보니 지금 말씀드린 계획대로 하는게 맞는건지... pf관련하여 여러 주체들 <b>신탁사</b>, 증권사, 대주단 등의 관계사를 조율하고... "
