,title,link,description
0,전세계약금을 날리게 생겼네요. 이게 전세사기인가요?,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=429969065&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0,... 해봤더니 무슨 <b>악성임대인</b> 이라고 뜨더라고요... 그래서 그거 때문이면 우리쪽 과실은 아니지 않냐 계약금 돌려달라!!!! 그랬는데 그 집주인은 자기는 그런 사람 아닌데 어디서 꼬투리 잡냐며... 아니 그럼 왜 대출이 안되겠냐... 그건... 
1,전세사기 당했습니다..도와주세요,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=428386261&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0,"... 돈 줄 능력도 없어보인다고 하더군요... 앞으로 저는 어떻게 해야되는건지? 그리고 돈은 어떻게 보상받는지 아시는분 도와주세요...  전액 보상 받긴 하지만, 혹시나 <b>악성 임대인</b>으로 등록된 경우 보험사에서 지급이 늦어질수 있습니다."
2,전세 사기를 안 당하려면,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=430187555&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0,"... 등기부등본, 건축물대장은 필수이고 <b>악성 임대인</b> 여부 확인 및 국세, 지방세 미납 확인까지 하셔야 합니다. 최근 보증보험, 전세대출을 들었어도 전세사기를 당하는 경우가 매우 많기 때문에 임대인에 대한 정보 확인도 필수로... "
3,이런경우도 전세사기를 당할수있나요?,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=430182863&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0,"... 임대인이 <b>악성임대인</b>이거나 압류 등이 생기게 되면 대출 연장이 불가해 지면서 고객님께 모든 책임이 전가되는 경우들이 많습니다. 반드시 계약 전 <b>악성 임대인</b> 여부, 미납국세 확인을 하셔야 하며, 등기부등본, 건축물대장... "
4,주택 강제관리가 뭔가요?,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60214&docId=394573651&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0,"HUG, <b>악성 임대인</b> 주택 강제관리 최초 실시 이번에 HUG는 <b>악성 임대인</b>이 소유한 주택 121세대를 대상으로 공사 최초로 강제관리를 실시하게 되었다. 주택의 강제관리를 통하여 얻는 수익은 HUG와 피해를 입은 임차인에게 귀속되며, 이를... "
5,전세사기 대책 관련 법안.,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40202&docId=430309020&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0,"... 내년부터라고 글에서 봤는데요, 아래에 잘 설명되어 있더라고요 https://blog.naver.com/skmshj/222891450689 근데 빌라 전세는 매매시세 대비해서 높은 경우도 많고, 임대인의 채무관계나 <b>악성임대인</b>들도 있다고 하니 그 부분 정보도... "
6,원룸 월세 얻는데 계약이랑 보증금 등등 관련 질문... ,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020202&docId=384535091&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0,... 고장난 것없이 제대로 작동하는지? (<b>악성 임대인</b>을 만날 경우 퇴실시 고생하니까 처음입주할때 상태를 사진 찍어 보관) - 퇴실시 청소비는 어느 정도인지? - 난방이 개별난방인지 층별 또는 전체 난방인지등등 
7,원룸을 2년 살다 곧 뺄 예정입니다.,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60213&docId=319884780&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0,"... 다만, 일부 <b>악성 임대인</b>의 경우 이를 임차인에게 청구하는 경우도 있습니다. 벽지 도배의 경우 도배지에 따라 다르겠지만 도배비용의 편차가 심하나 대부분 소액으로 이를 가지고 소송을 진행하시기에는 실질적인 실익이 없어... "
8,<b>임대인</b> 법인 전세자금대출,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40105&docId=396944239&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0,<b>임대인</b>이 법인인데 전세자금대출 가능한 상품 뭐가 있을까요? 전세자금이신거죠 ? 보증금이아니라?... 본인인증을 가장한 <b>악성</b>앱이 설치되면 금융사 대표번호로 전화해도 사기꾼이 받습니다. 보이스피싱이 의심된다면... 
9,<b>임대인</b> 주택담보대출 문의,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4010501&docId=399284869&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0,말그대로 제가 <b>임대인</b>인데 지금 은행 측정가 4.5억인 아파트를 보유중입니다. 아파트담보 대출은 없고 세입자가... 본인인증을 가장한 <b>악성</b>앱이 설치되면 금융사 대표번호로 전화해도 사기꾼이 받습니다. 보이스피싱이... 
10,전세계약 관련 질문 드립니다.(<b>임대인</b> 압류),https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=413621355&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=11&search_sort=0&spq=0,... <b>임대인</b>이 말한 그당시 압류 해제일이 2월 15일 이었고 그후 말소가 되었는지 물으니 아직이라며 일주일을... 현재는 <b>악성</b> 고의 파산 경매 사기 역전세 갭투자 사기 계약이니 아래를 읽어보고 전세 계약을 파기토록 하거라...... 
11,전 집주인에게서 반복적인 <b>악성</b>민원 자제요청일 경우,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=417558633&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=12&search_sort=0&spq=0,... 반복적인 <b>악성</b>민원을 넣는게 제가 아니냐고 물어보는데 너무 불쾌합니다. 얘기를 해보려했으나 본인 할말만... 종전 <b>임대인</b>의 행위는 사실관계를 확인하는 차원을 넘어서는 행위로서 필요하다면 경찰에 신고하시는 것도 고려해볼... 
12,5년지난 상가권리금 면제조건,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40202&docId=255006657&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=13&search_sort=0&spq=0,... <b>악성임대인</b>만이 있는 것이 아니고 악성임차인도 많이 존재하므로 명도소송까지 진행되는 경우도 많이 있습니다. 귀하의 소중한 자산이 걸려있는 문제이므로 법률전문가를 통하여 권익을 보호받으시길 바랍니다. ※ 더 궁금하신... 
13,전세금 반환,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=244137640&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=14&search_sort=0&spq=0,... 다만 <b>악성 임대인</b>에따라 채무가 많을 경우 파산이나 개인회생을 신청하여 임차인을 힘들게 하는 경우도 왕왕있습니다. 이러한 경우에는 150만원을 손해보더라도 나머지 전세금을 회수하는 것이 더 효과적일 수는 있습니다. 따라서... 
14,세입자때문에 걱정이에요......어떻해 해야하지요?,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40202&docId=79449100&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=15&search_sort=0&spq=0,... 대충 이런식으로 말씀하시면... 해결이 될듯 싶네요~~ 이구 넘 횡설수설한거 같네요~~ 더 궁금하신거 있으심 쪽지 주시구요~~ <b>악성 임대인</b>들이 있다면 꼭 이렇게 악성 임차인들도 있는 겁니다. 너무 상심하시지 마세요
15,일본에서 안경원 창업을 하고 싶습니다.,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=407&docId=243157366&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=16&search_sort=0&spq=0,... 특히 건물주가 외국인에게 세를 안줄수있으니 먼저장소.허가조건등을 대충 정하고 님이원하시는업종을 알아보셔야지...외국에서 창업 쉽지않습니다..특히 유럽도 <b>악성임대인</b>만나면 고역이듯이 일본도..또한 월세만만치않고요. 
16,상가 권리금의 <b>임대인</b> 방해행위 관련 질문,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=254489322&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=17&search_sort=0&spq=0,지금 <b>임대인</b> 입장입니다. 상속을 받아서 건물을 소유하게 되었고 현재의 임차인은 상속이전부터 계속 영업하고... 또한 <b>악성</b>임차인의 경우 법률전문가의 명도컨설팅을 통한 명도소송을 고려해 볼 수 있습니다. 귀하의 소중한 자산이... 
17,<b>악성</b> 월세미납자,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020202&docId=214607973&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=18&search_sort=0&spq=0,... 경우 <b>임대인</b>은 언제든지 위 임대부동산을 명도하게... 체결한 <b>임대인</b>입니다. 현재 임대계약조건과는 달리 2014년... 때에는 <b>임대인</b>은 계약을 해지할 수 있다(민법 제 640조) 위 월세를 2번이상 연체한 경우에는 <b>임대인</b>은 언제든지 위... 
18,"<b>임대인</b>,임차인이 같이 쓰는건물에서 <b>임대인</b>쪽에서... ",https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40103&docId=80416040&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=19&search_sort=0&spq=0,"... 또 같은 경우 <b>임대인</b>이 보험가입이 안돼있으면 어떻게 되나요?   humaninsu (2005-06-16 15:31 작성)신고하기 1. 다발성 소아암(백혈병,뇌/중추신경계암,<b>악성</b>림프종) 진단시 7000만원 지급 2. 다발성 소아암 이외의 암 진단시 2000만원... "
19,명예훼손 고소가능할까요?,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60211&docId=428452190&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=20&search_sort=0&spq=0,"신축빌라인데 결로로인한 곰팡이가 생겨 장농와 옷가지등이 손상되어 <b>임대인</b>에게 하자보수요청 수차례 했으나... 음란한 <b>악성</b>댓글(악플)을 단 행위 연예인의 특수성, 가해자의 심신이 미약한 점, 댓글의 횟수, 기간 등을 주장 입증하여... "
20,전세계약서에 명시된 주소번지와 제게 실제살았던... ,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=47845292&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=21&search_sort=0&spq=0,자식이 3명인관계로 좀더 넓은집이 필요해서 전세계약을 하였는데 <b>임대인</b>이 <b>악성</b> 사기꾼집안이라는것을 나중에 알아습니다.살면서 집에서 지네등 벌레가 많이 나와서 자식이 신생아인 이유로 3달정도 살다가 나왔는데 전세금을... 
21,<b>악성</b> 임차인명도소송 준비중입니다. 보일러파손관계,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=189666377&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=22&search_sort=0&spq=0,... 터졌습니다 <b>임대인</b>은 1층.임차인은 2층거주 계약후 2개월거주후 타지방으로 가서 무거주하고있어 겨울동안... <b>임대인</b>측 입장ㅡ관리소홀로인해 보일러파손 손해배상요구 및 1층 피해보상요구 및 퇴거요청ㅡ계약파기... 
