,No,내용,날짜,조회수,태그,내용1(응답)
0,2001,"전세로 들어온지 약 1년된 신축빌라입니다 알아보니 모든 층수의 모든 호수가 매매가 = 전세가 입니다.계약하고 나서 한달 뒤 집주인이 바뀌었습니다.집주인 바뀌기 전에 최초 집주인과 계약 당일 확정일자/전입신고 다 했구요바뀐 집주인과 계약서 쓸 때 보증보험 가입된 상태였고바뀐 집주인 계약서 상 선순위 담보권 없고 국세/지방세 체납사실 없습니다.참고로 얼마전 (약 1주일 전)에 집주인 등기부 등본 조회하니 주소지가 변경되어 있긴 했습니다.그 외에 특이사항은 없었습니다.저는 별 생각 없었는데같이 사는 사람이 어디서 뭘 보고 왔는지 신축빌라 전세사기 아니냐고 엄청 불안해 하네요.전세사기 가능성이랑그럴 경우, 보증보험 잘 받을 수 있을지 고견 부탁드립니다.",2022.05.16,110.0,전세,         보증보험 가입된 상태라면 사기 가능성은 없습니다.주소가 바뀌었다고 사기 가능성은 없습니다.매매되면서 대출(근저당) 안 받는다고 해놓고 대출 받아서 문제가 되면 사기 입니다.     
1,2002,이번에 중기청100 계약하려는제 전세사기로부터 안전한거 맞나요??지금 계약하려는 방은 얼마전 융자말소됐고 등기부등본확인했습니다. 근데 오늘 부동산이랑 통화해보니 지금 집주인이랑 계약이후에 소유권이전이 된다고 하더락고요. 부동산말로는 이미 중기청100으로 계약된 집을 계약양도(?)받는거라 집주인이 바뀌어도 융자가 있을수가 없다고 하더라고요.계약이후 소유권이전이 되어도 안전한건가요? 계약 끝난후에 전세금 못받을상황은 없는건가요?,2022.09.05,321.0,부동산,         중기청 100% 상품은 질권대출이므로만기시...임대인이 은행에 상환하는 상품입니다. 안전할거에요...     
2,2003,안녕하세요 전세집 계약을 했는데 사기위험이 있는지 알고싶습니다. 현재 이미 계약을 다진행해서 전입 날짜 까지 받았는데요 걱정되는점은 처음에 근저당이 잡혀있었습니다 다만 그건 계약 진행하며 전세금 입금후에 바로 풀어줬습니다.그리고 매매가가 2억 3천 정도 인데 전세금으로 2억 5천을 줬어요 전세금이 매매가보다 많아요 이점이 특히 걱정입니다.참고로 계약시 주인 본인이 나와서 계약 하였습니다.지금 제일 걱정인 부분이 후에 계약이 끝날때 주인이 돈이 없다하고 집이 경매로 넘어가 전세금을 재대로 못받을게 걱정입니다. 근저당 풀어주고 주인이 직접 계약하러 나온점등을 생각해서 그럴걱정은 크지 않다고 봐도 될까요? 그리고 혹시 정말 경매로 넘어가서 전세금을 재대로 돌려받지 못한다면 어떻게 하는게 좋을까요?이 걱정으로 너무 스트레스 받고있어서 꼭좀 답변 부탁 드립니다!,2022.08.07,252.0,전세,"         질문자의 말씀을 전제로 판단할 때, 지금 상당히 안 좋은 상황입니다. 전세기간이 만료할 당시 부동산 경기에 따라 원만한 전세금반환 여부가 결정될 것으로 보입니다.​지금 상황에서는 질문자께서 우선 임대차계약서에 확정일자를 받으시고, 별도로 전세권등기도 설정받으시기를 권유 드립니다. 즉, 이중의 안전장치를 마련하시는 것입니다.​등기사항증명서에 시세보다 많은 전세권이 설정되었다면, 소유자(임대인)의 채권자들이 좀처럼 경매신청하지 않고, 경매절차에서 낙찰되기도 쉽지 않습니다. 왜냐하면 최선순위 전세권자가 배당요구를 하지 않으면, 경락인이 전세권을 인수하도록 되어 있기 때문입니다.​​     "
3,2004,"전세사기가 너무많다고 해서 걱정이네요. 부모님도 안좋은꿈 꿧다면서 걱정이신데,아래처럼해도 사기당할수있는지 문의드립니다.1/22(일) 전세 2억 가계약 완료( 200만원 입금완료)1/26(수) 계약서 쓸 예정, 5프로(1000만원 입금예정)  -안심전세대출으로 진행  -특약으로 안심전세대출이 실행안될시 계약 무효  -잔금 치른 다음날까지 소유권 이전 및 담보 대출 시 본 계약은 무효로 한다  - 확정일자 받기2/21(월) 잔금치루고 이사예정  - 전입신고이 정도 했을때도 전세 사기당할 수 있을까요?",2022.01.23,441.0,전세,         안녕하세요​안심전세 대출까지 받는 경우라면 물건에 문제는 크게 없을 걸로 예상됩니다​이때는 집주인 본인과 직접 계약을 진행하는것이 좋습니다그게 아니라면 대리인 서류를 확실하게 확인하고 하면 됩니다​이것만 잘 확인한다면 크게 걱정하지 않으셔도 됩니다     
4,2005,"안녕하세요, 전세사기 관련해서 질문 드립니다.돈이 없어서, 변호사 자문을 구하기에는 질문도 많고 해서 여기에 질문 올립니다.정확하게 알아 본 후 여유가 된다면 진행하고 싶습니다.객관적 상황건물은 4층으로 되어 있고 층당 5개 호수로 총 20개 호수입니다.(다세대 주택)빌라소유자 명의로 19개 등기다른 사람 명의로 1개 등기 (임대인이 모델하우스로 사용했다고 먼저 들어온 사람이 말함)질문자 전세금 : 3500(임대차O, 전세권X) 확정일자, 전입신고 일시 : 계약당일(19. 02. 03) - 게약연장의사(20. 11.) 소유권 변동 1회, 20년 12월 중순(임대차 기간에 발생)소유권에 관한 특이점. 1. 소유권 변동은 실시하고 저당권 인수 안함(경매절차 진행시 인지)                       . 2. 소유권이 변동 되었음에도 대리라고 전소유자가 관리함(공과금, 정비 등)현재 건물 권리상태 : 빌라 전부에 저당실행, 개별 호수에 대한 교부권자 및 채권자의 가압류 설정계약판단의 근거처음 계약시, 다세대 주택의 경매를 실시한다 해도 권리설정 순서에 의해서 배당 받는 줄 알았습니다.왜냐하면, 개업공인중개사 세부 확인사항에 임대인에게 선순위 임대차 보증금을 요청하니 1억 4천만원이라고 진술 했다는 내용이 기재되어 있었기 때문입니다. 얼추 근저당 1.7억 선순위 임차보증금을 1.4억 생각하면 저당권 실행해도 당연히 3천 5000은 순서에 의해서 받을 수 있겠거니 생각을 했는데요,막상 경매 절차가 진행되고 나서야 다세대는 개별호수에 대한 권리만 행사할 수 있다는 걸 알았습니다.전집주인, 현집주인 모두 전화, 카톡(읽씹), 문자 등에 응답하고 있지 않습니다.빌라거주자(가호수) 내용 및 특이사항1. 103호(본인) 201호(동생)   1년에서 2년 전부터 보증금을 요구 그러나 집주인은 방을 내놓으라는 말 뿐 돌려줄 전세금은 없다함   왜 안 내놓았냐라는 질문에 거주하는 호수에 하자가 있어, 양심상 계약종료 후 전세금반환을 생각했다함 2. 301호    본인도 전세금을 돌려받기 위해서 여러곳으로 찾아다녔고 전화 통화중 현 집주인은 바지 사장이기    때문에 전화 말라말함(녹취)   주소지가 빌라, 제주도로 변경 실 거주지는 남부 어딘가로 확인3. 401호(제주도로 주소지 변경 전까지 현 집주인의 주소지 / 다른사람이 거주했음 )    빌라내 전 집주인의 주소지에 거주하던 사람, 경매절차가 진행되고 나서 전화해보니    이제 거주하지 않는다고 함 (거주기간에 관리인 비슷한 행세)4. 203호(3천/0원), 102호(2천/5만), 405호(2.5천/5만) - (전세금/관리비)   최근 10개월내 입주자들 5. 203호 전집주인과 현집주인이 먼 친척관계라고 들었다함현 집주인신용보증재단, 건강보험공단, 세무소 등에 많은 채무를 가지고 있음전 집주인(전북일보 기사에도 나옴)저당실행 하고 본인은 호텔 및 카페를 구입해서 운영중본격적인 질문1. 형사고발이 가능한 가?(사기 / 실명법 위반을 명목)  현재, 실질적이 피해가 발생하지 않았으나, 앞으로 경매를 통해서 예상됨2. 현 소유자에 대한 이전등기무효 가능한가?(무효원인 : 명의신탁)   가능하다면    무효소송에서 승소 후 무효 판결 받아 전세금 반환청구권을 전집주인에게 청구할 수 있는가?   가능하다면   전집주인 명의의 호텔, 카페 가압류 신청도 가능한가?3. 배당 후 나머지 전세금에 대해서 받을 수 있는지 여부,    연락두절인 상태에서 소멸시효 중단이 가능한가?   재산조회 가능한가?4. 위장전세자 존재 가능성(낙찰금 받기 위해서 집주인의 지인과의 허위 계약)요건과 이유를 구체적으로 설명해주시면 감사하겠습니다.제가 쓰고도 너무 염치가 없네요. 돈이 정말 너무 없어가지고 하.. 방법이 이것밖에 떠오르지 않습니다.보통 소송이나 상담등의 비용은 얼마나 하나요? / 민사에서 승소하는 경우 소송비용도 받을 수 있나요?민사/형사 단체소송이 효과가 있나요? 개별소송이 효과가 있나요? 또 질문을 해버렸네요. 죄송합니다.",2021.08.17,550.0,"부동산, 건축","         안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 정종욱 입니다.​부동산 전세사기 대처방안에 관해서는 아래 블로그 글 참고하시면 도움이 되실 것입니다. ​              부동산 전세사기, 효과적인 대처방안 부동산 전세사기 안녕하세요. 케이엔파트너스 법률연구소입니다. 저희 케이엔파트너스 법률연구소는 대한변... blog.naver.com            ​     "
5,2006,"계약서상 이상한점이 있어서 질문드립니다.  중개업자가 준 계약당시(8월 9일) 중개대상물 확인설명서에는 근저당이 없다고 나옵니다. 하지만 계약하고 몇 일 뒤 등기부등본을 때보니 8월9일 날짜로 3억 정도의 근저당이 잡힌다고 나옵니다. 근데 좀 특이한것이 채무자가 새로운 집주인이고, 근저당자는 전 집주인 입니다. 참고로 소유권이전, 근저당날짜, 계약날짜 모두 동일합니다.  제가 추측하기로는 계약당시 근저당이 없는척을 하기 위해, 1. 아침에 소유권만 이전하고 2. 점심시간에 전세계약(근저당이 없으니 제가 안심하고 전세계약)3. 오후에 근저당 설정 (채무자-> 새 집주인 ,  근저당자-> 전 집주인)  이렇게 한것은 아닐지 생각이 되는데요,,근데 제가 알기로 이런경우는 소유권이전과 근저당설정을 동시에 해야하는것으로 알고 있는데, 어떻게 된 것일까요?.,,,",2022.09.06,29.0,전세,"         계약서상 이상한점이 있어서 질문드립니다. 중개업자가 준 계약당시(8월 9일) 중개대상물 확인설명서에는 근저당이 없다고 나옵니다. 하지만 계약하고 몇 일 뒤 등기부등본을 때보니 8월9일 날짜로 3억 정도의 근저당이 잡힌다고 나옵니다. ---> 그런 경우라면 잔금일에 님의 잔금으로 매매대금의 잔금을 치렀을 것인데 그 날 돈이 부족하여 저당권설정을 하여 님보다는 우선순위의 담보대출을 받았을 가능성이 있으므로 대출을 받았다면 님의 임차권이후순위가 될 것이므로 문제가 있겠지요, 저당권 설정이 되었는지 확인 해 보시기 바랍니다.​     "
6,2007,전세들어갔는데 중간에 집주인이 노숙자난 신불자로 바껴서 보증금을 못준다고하면 어떻게 되는건가요? 1.예방책이 있을까요?2.부동산에서 집주인이 바뀐걸 알려줄 의무는 없는건가요?3.빌라가 이런방법으로 사기를 많이 치는데 아파트도 같은 방법으로 사기치지않나요?,2022.04.16,356.0,전세,         질문에 답변드리겠습니다.​1.예방책이 있을까요?==> 예방책 중 하나가 보증보험에 가입을 하시는 것이 적절합니다.2.부동산에서 집주인이 바뀐걸 알려줄 의무는 없는건가요?==> 부동산에서 알려줄 의무는 없지만 임대인은 알려줄 필요가 있습니다. 또한 임차인도 이를 이유로 임대차계약해지 가능합니다.3.빌라가 이런방법으로 사기를 많이 치는데 아파트도 같은 방법으로 사기치지않나요?==> 1번 항목에 따라 보증 보험에 가입을 한다면 법률적으로 문제가 되지 않습니다.     
7,2008,안녕하세요올해 2월에전세사기대출로 경찰서에서 연락와서 조사를 받았습니다소위 작업대출로 제가 명의를 빌려줘서 임대차계약서를 작성해서 은행에 제명의로 전세대출을 해 저는 전세계약한 집에는 안살고 있는 그런건데요..2년전에 9월에 계약를해서 이제 2년만기가되었는데 형사건와 부동산건으로 질문이있습니다1.그집에대해서 집주인이 은행에게 돌려줄까요??여기저기 검색해봣는데 은행에서 그집에대해 등기부를 출력해서그집에 가당?? 그집에대한 대출이있는지 확인을하고 준다고하는데 만약 집주인이 배째라하고 은행에 전세금 안주면 그집이 압류당하는건가요?? 경매로 넘어간다는 걸 검색해서알아봤는데 제가 혹시나 지금 검색을 해봣는데 지금 그집 가격이 6천에 매매가 이고제가 전세계약할때 은행에서 7천을 받앗는데그러면 집주인이 배째라고하고 그집을 경매에부치면 그 시간과 전세계약할때 이자도 순전히 제가 내야하는거고복잡할꺼같은데어떻게되나요?2저번두에 대전검찰청에서 형사건으로 접수가되었는데여기서 경찰에서 조사할때 사실대로 말하면 판사가 집행유예쥴수도있다고 했는데이게 저도 아닌거같아서 변호사 상담을 받고싶은데 이경우 다른 판례나 저랑 비슷한 처지로 일이 일어나신분잇으신가요??,2021.07.12,1654.0,금융상품담보대출,"                    징역 그냥 살아 수고해                                                                                                            너같은 애들이지금 헬조선에 한둘인 줄 아니?그 집에 다른 새끼가 전세대출로 입주를 못해요~선량한 피해자 만들기 -> 무조건 징역형 ㅅㄱ                                                                                                                                             ㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋ​잘 모르시면 HUG 에 전화해서 상황파악부터 하시기 바랍니다.​051-955-5723 이동섭051-955-5792 권혁​HUG 담당자 실제 내선번호 입니다.​공시가 2억 (150% HUG 3억)​그런데?- 매매가 2.5억- 전세가 2.9억-> 4000만원 역전세 사기 치고 + 세입자는 보증보험 들어짐​HUG 갭투기 사기 피해자 모임, 실제 피해 사례글http://naver.me/GsTB9TKc​HUG 보증보험 = 국가가 만든 역전세 카르텔http://naver.me/xyU4UmBv​허그안심 = X허그병신 = O     "
8,2009,깡통전세 사기에 대한 질문드립니다.전세계약을 처음 했었는데 아무래도 사기를 당한 것 같아요. 가격이 시세보다 비싸도 요즘에 워낙 전세가 귀하다보니대출을 좀 무리하게 받으면서까지 계약을 했습니다.그런데 집주인이 연락이 안 되고 잠수를 탔어요.부동산도 계속 차일 피일 미루고 집은 경매처리가되었다고 합니다. 전세보증금 돌려받을 수 있을까요?,2022.03.24,263.0,부동산,"         깡통전세 사기 당하셨군요...보증금 돌려받으실 마음 있으시면 일단변호사 선임부터 하셔야할 것 같습니다. 전 2년 전에 부동산 사기를 당한 적이 있습니다.부동산소송은 되게 까다롭고 자료 챙길 것도 많아서시간이랑 에너지 소요 많아서 도저히 혼자선 못하겠더라고요.그래서 법무법인 휘명에 계신 고영남 변호사님 소개 받아서이 분 도움 받아 소송했습니다. 민사, 형사 전문 변호사셔서일 하나는 확실하게 해주셨네요.010-2035-5157 이게 변호사님 휴대폰 번호에요. 문자나 전화하셔서 상담신청해 보세요. 깡통전세 사기나 부동산사기 등 사기죄 소송 경험이 많으신 변호사님이니 도움 많이 주실거에요.     "
9,2010,"전세로 들어온지 약 1년된 신축빌라입니다 알아보니 모든 층수의 모든 호수가 매매가 = 전세가 입니다.계약하고 나서 한달 뒤 집주인이 바뀌었습니다.집주인 바뀌기 전에 최초 집주인과 계약 당일 확정일자/전입신고 다 했구요바뀐 집주인과 계약서 쓸 때 보증보험 가입된 상태였고바뀐 집주인 계약서 상 선순위 담보권 없고 국세/지방세 체납사실 없습니다.참고로 얼마전 (약 1주일 전)에 집주인 등기부 등본 조회하니 주소지가 변경되어 있긴 했습니다.그 외에 특이사항은 없었습니다.저는 별 생각 없었는데같이 사는 사람이 어디서 뭘 보고 왔는지 신축빌라 전세사기 아니냐고 엄청 불안해 하네요.전세사기 가능성이랑그럴 경우, 보증보험 잘 받을 수 있을지 고견 부탁드립니다.",2022.05.16,110.0,전세,         보증보험 가입된 상태라면 사기 가능성은 없습니다.주소가 바뀌었다고 사기 가능성은 없습니다.매매되면서 대출(근저당) 안 받는다고 해놓고 대출 받아서 문제가 되면 사기 입니다.     
