,Unnamed: 0,title,내용,내용1(응답),description,태그,날짜,조회수,link
53,53,전세 갭투자 사기 일까요?,,"         어느 정도의 돈이 있지 않으면 경매나 매매로는 매수하기 어렵습니다.지금처럼 심할 정도로 대출 규제를 하고 있는 상황에서는 2천으로는 도전 자체가 어렵습니다.경매로 취득할 경우에는 낙찰자가 전세금을 모두 인수하는 조건으로 낙찰 받아야 하는데 그러기는 좀 어려울 것입니다.매매 물건으로 매수하는 경우에도 1억도 안 되는 싼 빌라 등이면 어느 정도 가능하지만,그래도 전세금은 8천 이상은 되어 있어야 갭투자 가능한데 그러기도 좀 어렵습니다.최소 5천 ~ 1억 정도는 있을 때에 도전해볼만한 물건이 나옵니다.경매보다는 매매가 더 가능성이 큽니다.     ",... <b>갭투자</b> 가능성 있을까요? 없겠죠..???????????.......매매계약 잘 성사된다면 제가 피해볼일 없겠죠..?  안녕하세요... <b>갭투자</b>라는 것은 전세금 이외의 금액을 투자하는 것을 이야기 하는데 지금은 천만원 차이가 난다면 <b>갭투자</b>라고 볼 수... ,,,0.0,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40201&docId=412903313&qb=6rCt7Yis7J6Q&enc=utf8&section=kin.qna&rank=54&search_sort=0&spq=0
61,61,갭투자 전세사기,말그대로 입니다.빌라한동 8채중 5채가 같은집주인이고최근에서야 세무서 압류 당한사실을 알았어요.얼마전 매스컴에 나온 1200채 갭투자 한사람이 집주입니다.궁굼한건 경매나 공매진행 될때입니다.전세금 2억이라 했을경우1.전입신고후 확정일자 받았을때2.1+전세금반환보험가입 했을때 입니다.우선순위와 받을수 있는 전세금이 궁굼합니다.,         법무사입니다.만약 근정당에 비해서 보증금약이 후순위라면 보증금액을 반환받기 힘들수 있습니다.     ,... 얼마전 매스컴에 나온 1200채 <b>갭투자</b> 한사람이 집주입니다. 궁굼한건 경매나 공매진행 될때입니다. 전세금... 1200채 <b>갭투자</b> 주범이 국토부 라고 그래서 사기 당한 거라고 전세보증보험을 들면 -&gt; 전세사기를 무조건... ,경매,2022.05.09,409.0,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40204&docId=419064075&qb=6rCt7Yis7J6Q&enc=utf8&section=kin.qna&rank=62&search_sort=0&spq=0
1018,1018,부동산투자에 대해 질문합니다,안녕하세요 30대 남성입니다 처음으로 부동산투자를 생각하고 있습니다 재산은 한 2천정도 되는 빈털터리로 어렵게 지내고 있습니다보호자와 대화하며 설득을 해봤는데 도저히 말이 안 통했는데부동산투자 잘못 계약해 사기 당하거나 수익창출 실패하는 경우 있을까요?사기 연루 같은 거 막기 위해선 뭐가 필요하고5천~1억 정도 수익창출을 위해선 뭐가 좋을 지 성심껏 답변해주세요...단 광고글 신고하겠습니다,         *인생은 살아가는데 방향과 시기가 중요 한데 *갭투자나 경매로 하는 방향은 잘잡으신것으로 보는데 /시기는 가격이 네리고 있어 *입술깨물고 지긋이 참고/ 기회를 기다리셔야 합니다      ,"... 현재 투자를 하신다고하면 &apos;수익형부동산&apos;을 생각하시는거 같은데, 옛날에는 부동산 투자 <b>사기</b>가 많았으나, 현재는 투자금또한 &apos;<b>신탁사</b>&apos;라는 나라에서 지정해준 몇 안되는 은행에서 고객에게 <b>건물</b> 소유권 이전이 되기이전까지... ",매매,2022.09.16,125.0,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40201&docId=428444871&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=90&search_sort=0&spq=0
2,2,갭투자에 관한 질문이에요.,,         질문에 답변드리겠습니다. 갭투자를 한 후 현 임차인이 퇴거를 하는 경우에도 새로운 임차인을 찾아 보증금을 되돌려주는 방법을 사용하는 것이 일반적입니다. 그러나 갭투자의 위험성은 지금처럼 부동산 가격이 하락하는 경우 사회적인 문제가 될 수도 있습니다.     ,<b>갭투자</b>에 관한 질문이에요. 집값이 떨어질 때 제가 집을 매매하려고 하잖아요.... <b>갭투자</b>를 한 후 현 임차인이 퇴거를 하는 경우에도 새로운 임차인을 찾아... 그러나 <b>갭투자</b>의 위험성은 지금처럼 부동산 가격이 하락하는 경우 사회적인... ,매매,2022.09.13,90.0,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40201&docId=428188803&qb=6rCt7Yis7J6Q&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0
7,7,갭투자 궁금합니다.,23살 미혼남성입니다.빌라 매매가액 1억5천만원 전세 1억2천5백만원에서 1억3천5백만원으로 갭투자 하려고 합니다.해병대부사관 1년 올해 전역하고 바로 취업해서 모은돈이 3천만원 정도 되는데 제가 이 빌라를 매매 했을때 부모님이 보유하신 집과 별개가 되는건가요?아님 부모님 가구에 포함되어 1가구 2주택이 되는건가요?온전히 제 집이 되는지 궁금합니다.저는 집에서 나와 생활하고 있습니다.도움주시는 말씀 부탁드립니다.~~^^*,"         ​안녕하세요? 반갑습니다.​​부동산 경기 하락세일 때는 갭투자는 신중하셔야 합니다.​특히나 빌라의 경우에는 거래가 많지 않고, 시세차익을 노리기 쉽지 않기 때문에 더 신중하셔야 합니다.​​부모님과 독립된 세대주라면 크게 걱정은 안하셔도 될 듯 싶습니다.​단독 세대주 구성하시고..​무엇보다 청약이 문젠데, 내 인생에 무주택 청약을 노리실게 아니라면 모를까 혹시 모르니 갭투자는 더욱 신중하기길 바랍니다.​​감사합니다.​      ",... 1억3천5백만원으로 <b>갭투자</b> 하려고 합니다. 해병대부사관 1년 올해 전역하고... 부동산 경기 하락세일 때는 <b>갭투자</b>는 신중하셔야 합니다. 특히나 빌라의... 아니라면 모를까 혹시 모르니 <b>갭투자</b>는 더욱 신중하기길 바랍니다. 감사합니다.,"취득세, 등록세",2022.10.11,66.0,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40306&docId=430278485&qb=6rCt7Yis7J6Q&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0
9,9,갭투자 질문,제가 현재 울산지역 매매가 1.4 아파트에 0.4만을 지불하는 방식으로 갭투자를 하게되었습니다. (중개인에게 자본이 부족하다고 하니 갭투자를 추천하였습니다) 전세입자 구하는 기간을 넉넉잡아 2달로 잡자고 한 상태이고 현재 가계약금 0.1 정도 들어가 있습니다. 계약서 작성할 때 세입자 구하는 기간을 늘리고 싶은데 검색해보니 최대 1년까지 늘릴 수 있다고 들었습니다.세입자 구하는 기간을 1년까지 한다는 조건을 걸거나 2달내에 못할 시 계약금 반환을 특약으로 넣고 싶은데 부동산 측에 문의해보니 싫어합니다. 이럴 경우 (아직 계약서 작성하지 않았습니다.)저도 두가지 중 한가지라도 안받아들여진다면 현 경기상황을 고려해 계약서를 작성하고 싶지 않습니다.계약서 작성을 불응하면 어떻게 되나요?이럴 땐 어떻게 협의를 보는게 좋을까요?(부동산 측은 안좋아하는 상황입니다),         *기간협의는 가능 할것으로 보고 *파기요구시 게약금 몰수 당합니다     ,... 4만을 지불하는 방식으로 <b>갭투자</b>를 하게되었습니다. (중개인에게 자본이 부족하다고 하니 <b>갭투자</b>를... 이럴 땐 어떻게 협의를 보는게 좋을까요?(부동산 측은 안좋아하는 상황입니다)  <b>갭투자</b>를 하시고자 하신다면 자금계획을 충분히... ,매매,2022.09.21,43.0,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40201&docId=428812393&qb=6rCt7Yis7J6Q&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0
35,35,갭투자에대해,만약에 갭5천으로 4억짜리를 샀을때 2년뒤에 세입자가 나간대요 그러면 세입자를 구하다가 안구해지면 어쨋든 세입자 때매 대출을 받아서 세입자한테 주고나서 몇일 뒤에 다시 구해지면 대출을 상환하나요?아니면 그냥 계속 가지고 있다가 집 팔때 상환하나요? 상관없는거는 알고있는데 저렇게 되면 부동산 이제 조금 침체기인데 소액으로 소액먹을려다가 머리만 아파지는게 아닌가해서요,         안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 정종욱 입니다.​갭투자 사기 대처방법에 관해서는 아래 블로그 글을 참고하시면 도움이 되실 것입니다. ​              갭투자 전세 사기 대처방법은? 갭투자 전세사기 전세를 끼고 주택을 구입 후 시세가 올라가면 주택을 팔아 차익을 남기는 방법을 갭투자라... blog.naver.com            ​     ,... 침체기인데 소액으로 소액먹을려다가 머리만 아파지는게 아닌가해서요  안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 정종욱 입니다. <b>갭투자</b> 사기 대처방법에 관해서는 아래 블로그 글을 참고하시면 도움이 되실 것입니다.,"부동산, 건축",2022.01.02,548.0,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=408668586&qb=6rCt7Yis7J6Q&enc=utf8&section=kin.qna&rank=36&search_sort=0&spq=0
38,38,갭투자 관련 문의 드립니다,,         1. 전세입자가 있는 주택을 차액만 주고     전세 끼고 매수할 수도 있고 2.  매수계약 후 매수 잔금일전에     전세입자를 구할 수도 있음​3. 소유권이전 후 전세입자 구하려면    4억 모두 필요하기 때문에     보통은 계약금 지불 후    전세로 내놓고 전세 계약금 받는데    전세 잔금일을 매매 잔금일과 맞춤​3. 전세계약금으로 중도금 지불하기도 함    전세 잔금 수령 즉시     매수 잔금 지불하고 소유권이전등기​- 갭투자는 대체로 이렇게 진행됩니다.     ,... <b>갭투자</b>에 대한 영상을 봤는데 궁금한게 있습니다! 매매가 2억에 전세가 1억 5000짜리인 아파트를 <b>갭투자</b> 한다는... 그리고 <b>갭투자</b> 후 시세가 떨어졌을 경우 파는게 좋은지..... 1억5천 <b>갭투자</b>는 자기자본 5000+취등록세 입니다. 시세가... ,,,0.0,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40201&docId=410403763&qb=6rCt7Yis7J6Q&enc=utf8&section=kin.qna&rank=39&search_sort=0&spq=0
46,46,갭투자 관련해서 질문드립니다.,"6억짜리 아파트를 매도인이 전세로 살 의향이 있다고 해서 갭투자 형태로 매수하려고 하는데요. 해당 아파트 전세 시세가 4억5천 정도인데, 1억 5천으로 해당 매물 매수 가능한 건가요? 그리고 거래시 주담대로 대출 가능한가요?","         네이버 엑스퍼트 부동산달인입니다 ​1. 6억짜리 아파트를 매도인이 전세로 살 의향이 있다고 해서 갭투자 형태로 매수하려고 하는데요. 해당 아파트 전세 시세가 4억5천 정도인데, 1억 5천으로 해당 매물 매수 가능한 건가요? 답변) 갭투자 가능합니다 ​2, 그리고 거래시 주담대로 대출 가능한가요?답변) 주택담보대출을 해줄 은행은 1순위로 근저당권 설청 등기를 하려고 하기 때문에 전세입자가 입주를 하지 않으려고 할 것입니다​3. 그러므로 고객님은 자기자본 1억 5천만은 있어야 위 물건 매수가 가능해 보입니다​     ","6억짜리 아파트를 매도인이 전세로 살 의향이 있다고 해서 <b>갭투자</b> 형태로... 6억짜리 아파트를 매도인이 전세로 살 의향이 있다고 해서 <b>갭투자</b> 형태로... 답변) <b>갭투자</b> 가능합니다 2, 그리고 거래시 주담대로 대출 가능한가요? 답변)... ",매매,2021.06.30,3857.0,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40201&docId=393503201&qb=6rCt7Yis7J6Q&enc=utf8&section=kin.qna&rank=47&search_sort=0&spq=0
47,47,갭투자에 대하여,"짠테크하며 투자관련 부동산에 눈이 가고 있는데요​영상들과 책을 봐도 아주 원초적인 질문을 간단명료하게 대답해주는 자료들은 아직 보지 못해서..​아주 완전 생초짜부린이의 눈으로 바라보는 갭투자에 대해 친절히 대답해주실고수님들의 답 기다리고 있겠습니다..​​질문내용은​​<갭투자 - 전세끼고 매매할시>​​1. 만약 전세세입자가 살고 있지 않다면​1-1. 계약금지불 - 전세세입자 세팅 후 - 전세 세입자잔금납입- 거기에 더해서 집매매 잔금 치르기하면 갭투자가 완료되는건가요?​1-2. 계약금만 지불한 상태인데 제가 그 집의 주인이 벌써 되어서 전세계약자와 전세계약을 치를수가 있는건가요?​1-3.만약 그렇다고 하면, 2년 후면 저는 다시 임차인에게 전세금을 돌려주어야하는데 , 아니면 피치못한 사정으로 2년만기 안채우고 그 임차인이 나가게 되면 그 돈은 어떻게 마련하나요? 다른 새로운 임차인이 나타나서 그만큼의 전세금이 생길때까지 기다려야하는건지요!​1-4. 그렇게 새로온 전세세입자의 돈으로 전 전세세입자의 전세금을 돌리며 그 안에 부동산 시세가 오르는 만큼 제가 자산이 높아지는 원리가 갭투자의 원리인것 같은데 제가 이해한게 맞나요??​​​2. 이미 전세세입자가 있는 경우에는 그럼 기존 전세세입자의 돈은 어떻게 해결되는건가요?​2-1. 전세세입자는 주인이 바뀌는 것에 대한 불이익이 없나요?​2-2. 전 집주인은 집을 판매 할때 그럼 판매가에서 전세세입자한테 받은 돈(전세금) 을 뺀 금액만 받는건가요?​2-3. 그게 아니라면 이미 전세세입자가 세팅되어있는 경우에는 갭투자가 어떻게 이뤄지는 걸까요?​​많은 질문.. 그것도 원초적인 질문이라 죄송합니다.​막 공부를 시작하는 입장이라 정말 기본적인 부린이 시선의 질문이니.. 우스운 질문이겠지만 고수님들의 명료한 답변 부탁드립니당​","                    갭투자 공부하는데유튜브 쓰레기를 왜봐 이 바보야                    존나 쉽잖아바보야 ​ㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋ                    ㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋ                    바보아저씨의 경제이야기 - 대한민국 만연한 미친 갭투기의 실제와 방법 폭로​집 1억내돈 2000 + 전세 8000 (이 돈은 집 판사람한테 있습니다.)세입자 줄 8000만원 전세금 집주인들 없어요.뒤에 세입자 돈 들어와야 님 주죠.이게 갭투기 기본인데요?​1.2억 되면?-> 내돈 2000 -> 4000만원 100% 수익​8000만원 되면-> 내돈 0원 망하고-> 집 경매로 그냥 넘기면 됨 끝.​전세금 없으면?당연히 없죠.뒤에 세입자 돈 받아서 주겠다배째라 하면 됨​고민 끝.​초등학교 때 산수 배우는 이유입니다.설명끝.​(1채 값으로 5채~10채 갭투기 해서 -> 망하면 집주인이 돌려줄 돈 절대 없다는 뜻입니다.)(전세가율 높은 깡통전세 갭투기 전세금은 나중에 보증보험도 안 들어지는 경우 많음)(TV에서 보증보험 들어라 그러면 무조건 안전하다? => 그냥 개소리 멍멍 선동질임)​ㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋ​[국가가 조장한 갭투기]​HUG전세보증보험, 0원 갭투기를 조장하는 최악의 제도 (전세대출과 보증보험의 관계)http://naver.me/IgtykrF4​HUG전세보증보험, 컨설팅 전세사기, 그 실체를 고발합니다.http://naver.me/G3JfHylq​HUG 갭투기 사기 피해자 모임, 실제 피해 사례글http://naver.me/GsTB9TKc​HUG 보증보험 = 국가가 만든 역전세 카르텔http://naver.me/xyU4UmBv​HUG = 대장동 보다 더 큰 최악의 대국민 사기 카르텔http://naver.me/5B170zOt​대한민국 집값은 왜 떨어질 수 없는가? (국토부 컨설턴트 출신의 대 폭로글)-> 매매 계약 중인 집에 매매가=전세가 동일한테 전세대출로 입주하는 BABO들 때문에 ^^-> 매매가 = 전세가 비슷한데 전세 입주하는 멍청이 BABO들 때문에 ^^http://naver.me/FYupn6PQ​집값 쉽게 폭락 시키는 방법 (알고도 안하는 거)http://naver.me/GGhIBNJJ                    ​     ",... 바라보는 <b>갭투자</b>에 대해 친절히 대답해주실 고수님들의 답 기다리고 있겠습니다.. 질문내용은 &lt;<b>갭투자</b>... 하면 <b>갭투자</b>가 완료되는건가요? 1-2. 계약금만 지불한... 원리가 <b>갭투자</b>의 원리인것 같은데 제가 이해한게 맞나요?? 2.... ,임대차,2022.02.08,467.0,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40202&docId=411743043&qb=6rCt7Yis7J6Q&enc=utf8&section=kin.qna&rank=48&search_sort=0&spq=0
