,상호,휘발유,상표,셀프여부,주소,시
2034,쉼터주유소,1699,GS칼텍스,Y,경기 가평군 상면 청군로 824,가평군
2035,홀인원주유소,1709,현대오일뱅크,Y,경기도 가평군 상면 조종로 1622,가평군
2036,국토셀프주유소,1719,SK에너지,Y,경기 가평군 조종면 비득재길 120,가평군
2037,하이웨이주유소,1749,SK에너지,Y,경기 가평군 상면 청군로 927,가평군
2038,남이섬주유소,1749,자가상표,Y,경기 가평군 청평면 경춘로 1484,가평군
2039,상면주유소,1760,SK에너지,N,경기 가평군 상면 청군로 1070,가평군
2040,동현주유소,1760,S-OIL,N,경기 가평군 하면 청군로 1303,가평군
2041,대성주유소,1760,SK에너지,N,경기 가평군 하면 청군로 1184,가평군
2042,이화주유소,1779,현대오일뱅크,N,경기 가평군 가평읍 경춘로 2021,가평군
2043,가평Self주유소,1779,현대오일뱅크,Y,경기 가평군 가평읍 경춘로 2065,가평군
2044,(주)오일릭주유소,1779,S-OIL,N,경기 가평군 가평읍 경춘로 1741,가평군
2045,(주)오일유업직영GS경춘주유소,1779,GS칼텍스,N,경기 가평군 가평읍 경춘로 1776,가평군
2046,가평군농협하나로주유소,1780,NH-OIL,N,경기 가평군 가평읍 경춘로 1785,가평군
2047,명지산주유소,1780,알뜰주유소,Y,경기 가평군 북면 가화로 687,가평군
2048,명보주유소,1788,SK에너지,Y,경기 가평군 가평읍 석봉로 237,가평군
2049,현리주유소,1795,SK에너지,N,경기 가평군 하면 현창로 64,가평군
2050,덕현주유소,1795,현대오일뱅크,N,경기 가평군 상면 청군로 450,가평군
