,상호,휘발유,상표,셀프여부,주소,시
0,덕양제1주유소,1707,SK에너지,Y,경기 고양시 덕양구 서오릉로 832 (성사동),고양시
1,고양주유소,1707,S-OIL,Y,경기 고양시 덕양구 호국로 730 (성사동),고양시
2,(주)어울림주유소,1707,알뜰주유소,Y,경기 고양시 덕양구 충장로 407,고양시
3,세일석유㈜ 통일로 일품,1707,S-OIL,Y,경기 고양시 덕양구 통일로 862 (관산동),고양시
4,동원2주유소,1707,GS칼텍스,Y,경기 고양시 덕양구 통일로 1180 (내유동),고양시
5,(주)원흥.벽제동지점,1707,현대오일뱅크,Y,경기 고양시 덕양구 호국로 1664,고양시
6,(주)원흥 고양동지점,1707,현대오일뱅크,Y,경기 고양시 덕양구 호국로 1789,고양시
7,(주)원흥 원흥동지점,1707,현대오일뱅크,Y,경기 고양시 덕양구 서오릉로 712 (원흥동),고양시
8,(주)내유셀프주유소,1707,현대오일뱅크,Y,경기 고양시 덕양구 통일로 1228,고양시
9,(주)블루웰오일 동산주유소,1709,SK에너지,Y,경기 고양시 덕양구 고양대로 1926,고양시
10,SK섬마을주유소,1712,SK에너지,Y,경기 고양시 덕양구 호수로 237,고양시
11,덕양주유소,1713,알뜰주유소,Y,경기 고양시 덕양구 충장로 142 (행신동),고양시
12,정상에너지(주)강매self주유소,1713,SK에너지,Y,경기 고양시 덕양구 중앙로 316 (도내동),고양시
13,너멍골알뜰주유소,1713,알뜰주유소,Y,경기 고양시 덕양구 호국로 1259,고양시
14,중앙로주유소,1713,SK에너지,Y,경기 고양시 덕양구 중앙로 113 (화전동),고양시
15,개나리주유소,1715,알뜰주유소,Y,경기 고양시 덕양구 보광로 126 (벽제동),고양시
16,한솔주유소,1715,GS칼텍스,Y,경기 고양시 덕양구 통일로 1015,고양시
17,현대오일뱅크㈜직영 능곡역주유소,1715,현대오일뱅크,N,경기 고양시 덕양구 지도로 15 (토당동),고양시
18,(주)삼표에너지 동해주유소,1715,GS칼텍스,Y,경기도 고양시 덕양구  중앙로 110 (화전동),고양시
19,벽제self주유소,1715,SK에너지,Y,경기 고양시 덕양구 혜음로 181,고양시
20,현대통일로주유소,1715,현대오일뱅크,Y,경기 고양시 덕양구 통일로 1020 (관산동),고양시
21,KH에너지(주) 가나주유소,1715,SK에너지,Y,경기 고양시 덕양구 호국로 1941 (벽제동),고양시
22,항공대주유소,1715,GS칼텍스,Y,경기 고양시 덕양구  중앙로 171 (화전동),고양시
23,현대오일뱅크㈜직영 화정2호셀프주유소,1715,현대오일뱅크,Y,경기 고양시 덕양구 호국로 624 (화정동),고양시
24,명성주유소,1715,SK에너지,Y,경기 고양시 덕양구 호국로 1628 (벽제동),고양시
25,그린주유소,1715,GS칼텍스,Y,경기 고양시 덕양구 호국로 992,고양시
26,씨앤에스유통㈜ 내유동주유소,1715,S-OIL,Y,경기 고양시 덕양구 통일로 1273 (내유동),고양시
27,목장주유소,1717,S-OIL,Y,경기 고양시 덕양구 호국로 932,고양시
28,동원주유소,1717,GS칼텍스,N,경기 고양시 덕양구 고양대로 1900 (동산동),고양시
29,오토파워주유소,1717,현대오일뱅크,Y,경기 고양시 덕양구 고양대로 1464 (성사동),고양시
30,(주)헨지스에너지직영 세이버주유소,1719,현대오일뱅크,N,경기 고양시 덕양구 화랑로 124 (화전동),고양시
31,처음주유소,1719,S-OIL,N,경기 고양시 덕양구 중앙로 209 (화전동),고양시
32,SK부광주유소 원당점,1721,SK에너지,N,경기 고양시 덕양구 원당로 433 (원당동),고양시
33,한강주유소,1725,알뜰주유소,N,경기 고양시 덕양구 행주로 57-28,고양시
34,일광에너비스 행주내동점,1725,현대오일뱅크,Y,경기 고양시 덕양구 행주로 104 (행주내동),고양시
35,산성주유소,1725,현대오일뱅크,Y,경기 고양시 덕양구  행주로 59 (행주내동),고양시
36,(주)원일유통 능곡주유소,1725,SK에너지,Y,경기 고양시 덕양구 토당로 104 (토당동),고양시
37,유정주유소,1725,S-OIL,Y,경기 고양시 덕양구 호수로 104 (토당동),고양시
38,북한산주유소,1726,현대오일뱅크,Y,경기 고양시 덕양구 북한산로 539 (효자동),고양시
39,우암주유소,1737,S-OIL,N,경기 고양시 덕양구 벽제동 보광로 198,고양시
40,삼송뉴시티주유소,1737,S-OIL,N,경기 고양시 덕양구 고양대로 1960 (동산동),고양시
41,대신석유(주)대자주유소,1737,SK에너지,Y,경기도 고양시 덕양구  통일로 499,고양시
42,㈜삼표에너지 삼송주유소,1739,GS칼텍스,Y,경기 고양시 덕양구 신원1로 93,고양시
43,㈜중흥에너지 한양주유소,1739,S-OIL,Y,경기 고양시 덕양구 권율대로 593 (원흥동),고양시
44,SK화정주유소,1745,SK에너지,N,경기 고양시 덕양구 호국로 430(토당동),고양시
45,삼송서진주유소,1747,현대오일뱅크,Y,경기 고양시 덕양구 통일로 226 (삼송동),고양시
46,자유제일주유소,1747,SK에너지,Y,경기 고양시 덕양구 자유로 487 (행주외동),고양시
47,삼호주유소,1748,현대오일뱅크,N,경기 고양시 덕양구 흥도로 404 (성사동),고양시
48,고양(문산방향)휴게소주유소,1749,GS칼텍스,Y,경기 고양시 덕양구 수원문산고속도로 52,고양시
49,삼원주유소,1755,현대오일뱅크,N,경기 고양시 덕양구 고양대로 1303 (주교동),고양시
50,효자로주유소,1755,GS칼텍스,Y,경기 고양시 덕양구 일영로 127 (지축동),고양시
51,현대오일뱅크㈜직영 화정셀프주유소,1755,현대오일뱅크,Y,경기 고양시 덕양구 화중로 38 (화정동),고양시
52,제2자유로주유소,1757,GS칼텍스,Y,경기 고양시 덕양구 제2자유로 154 (현천동),고양시
