,상호,휘발유,상표,셀프여부,주소,시
2517,광생주유소,1718,S-OIL,N,경기 광명시 광명로 856 (광명동),광명시
2518,하이웨이에너지,1718,현대오일뱅크,Y,경기 광명시 광명로 769 (광명동),광명시
2519,경원주유소,1725,GS칼텍스,N,경기 광명시 광명로 136 (가학동),광명시
2520,장미셀프주유소,1725,SK에너지,Y,경기 광명시 광명로 269 (노온사동),광명시
2521,경동석유산업(주)고속철주유소,1725,현대오일뱅크,N,경기 광명시 광명로 207 (가학동),광명시
2522,광일알뜰주유소,1728,알뜰주유소,Y,경기 광명시 광명로 712 (광명동),광명시
2523,현대석유(주)현대주유소,1737,GS칼텍스,Y,경기 광명시 남부순환로 997 (철산동),광명시
2524,서율주유소,1744,현대오일뱅크,Y,경기 광명시 오리로 461 (소하동),광명시
2525,광명 나들목주유소,1745,SK에너지,Y,경기 광명시 광명로 417,광명시
2526,대복주유소,1745,S-OIL,N,경기 광명시 광명로 344 (노온사동),광명시
2527,통일주유소,1745,GS칼텍스,Y,경기 광명시 광명로 561 (노온사동),광명시
2528,학온셀프주유소,1745,SK에너지,Y,경기 광명시 광명로 627 (광명동),광명시
2529,백재주유소,1748,SK에너지,Y,경기 광명시 광명로 482,광명시
2530,㈜광명제일주유소,1755,SK에너지,Y,경기 광명시  범안로 608 (학온동),광명시
2531,옥길주유소,1755,현대오일뱅크,Y,경기 광명시 금오로 846 (옥길동),광명시
2532,현대오일뱅크(주)직영 범안셀프주유소,1758,현대오일뱅크,Y,경기 광명시 범안로 864 (하안동),광명시
2533,현대오일뱅크 영진주유소,1758,현대오일뱅크,N,경기 광명시 범안로 984 (하안동),광명시
2534,큰사랑주유소,1758,S-OIL,N,경기 광명시 금오로 659 (옥길동),광명시
2535,(주)지에스이앤알 직영 하안단지주유소,1764,GS칼텍스,N,경기 광명시 오리로 608 (소하동),광명시
2536,갑종주유소,1764,GS칼텍스,Y,경기 광명시 오리로 460,광명시
2537,우주피엔씨(주) 새광명주유소,1765,S-OIL,Y,경기 광명시 시청로 115 (철산동),광명시
2538,(주)행운주유소,1775,SK에너지,Y,경기 광명시 부광로 309 (옥길동),광명시
2539,IN-N-OUT주유소,1778,SK에너지,Y,경기 광명시 안양천로 463 (철산동),광명시
2540,벌말주유소,1795,SK에너지,Y,경기 광명시 광명로 38 (가학동),광명시
2541,철산주유소,1798,현대오일뱅크,Y,경기 광명시 오리로 883,광명시
2542,KTX주유소,1798,GS칼텍스,N,경기 광명시 오리로 121(일직동),광명시
