,상호,휘발유,상표,셀프여부,주소,시
2438,행정타운주유소,1765,SK에너지,N,경기 광주시 회안대로 843 (송정동),광주시
2439,(주)덕성에너지,1765,S-OIL,Y,경기 광주시 도척면 도척로 313,광주시
2440,경원주유소,1765,SK에너지,Y,경기 광주시 도척면 마도로 66,광주시
2441,(주)구산에너지 탄벌주유소,1765,현대오일뱅크,N,경기 광주시 회안대로 712,광주시
2442,서민주유소,1765,SK에너지,Y,경기 광주시 회안대로 993 (송정동),광주시
2443,하이테크에너지㈜ 신정제일주유소,1765,SK에너지,Y,경기 광주시 도척면 도척로 373,광주시
2444,갈마full-pay주유소,1775,SK에너지,Y,경기 광주시 경충대로 2237,광주시
2445,장미주유소,1775,S-OIL,Y,경기 광주시 경충대로 1920 (장지동),광주시
2446,거북이주유소,1775,GS칼텍스,Y,경기 광주시 경충대로 2110 (중대동),광주시
2447,서민행복주유소,1775,SK에너지,Y,경기 광주시 곤지암읍 경충대로 41,광주시
2448,광주제2주유소,1775,현대오일뱅크,N,경기 광주시 경충대로 2130,광주시
2449,선광주유소,1775,SK에너지,Y,경기 광주시 경충대로 1962 (중대동),광주시
2450,(주)대지석유 갈마주유소,1775,S-OIL,Y,경기 광주시 경충대로 2187 (삼동),광주시
2452,기름나라주유소,1778,SK에너지,Y,경기 광주시 회안대로 608 (장지동),광주시
2453,자연오일주유소,1783,S-OIL,Y,경기 광주시 오포읍 포은대로 213,광주시
2454,한라주유소,1783,알뜰주유소,Y,경기 광주시 포은대로 655 (장지동),광주시
2455,영동주유소,1784,SK에너지,Y,경기 광주시 퇴촌면 정영로 894,광주시
2456,탑선주유소,1785,알뜰주유소,N,경기 광주시 퇴촌면 정영로 518,광주시
2457,돌고래주유소,1785,S-OIL,Y,경기 광주시 회안대로 739 (탄벌동),광주시
2458,그린랜드주유소,1785,GS칼텍스,Y,경기 광주시 퇴촌면 정영로 798,광주시
2459,밀목주유소,1785,GS칼텍스,Y,경기 광주시 회안대로 968 (송정동),광주시
2460,뉴광주농협주유소,1785,NH-OIL,Y,경기 광주시 파발로 97,광주시
2461,경기동부주유소,1785,현대오일뱅크,N,경기 광주시 곤지암읍 경충대로 246,광주시
2462,큰나무주유소,1785,현대오일뱅크,Y,경기 광주시 이배재로 140 (회덕동),광주시
2463,광주농협주유소,1785,NH-OIL,Y,경기 광주시 중앙로145번길 6 (경안동),광주시
2464,(주)썬라이즈오일 해뜨는광주,1795,SK에너지,Y,경기 광주시 순암로 215 (중대동),광주시
2465,성안주유소,1795,현대오일뱅크,N,경기 광주시 회안대로 1021 (송정동),광주시
2466,SK에너지(주)직영 SK퇴촌주유소,1795,SK에너지,N,경기 광주시 퇴촌면 정영로 378,광주시
2467,중앙셀프주유소,1795,현대오일뱅크,Y,경기 광주시 오포읍 오포로 342,광주시
2468,중부농업협동조합,1795,S-OIL,N,경기 광주시 중부면 회안대로 1426,광주시
2469,대한에너지,1795,SK에너지,Y,경기 광주시 퇴촌면 천진암로 412,광주시
2470,(주)두바이 곤지암리조트,1795,GS칼텍스,Y,경기 광주시 도척면 도척윗로 263,광주시
2471,곤지암Self주유소,1795,S-OIL,Y,경기 광주시 곤지암읍 광여로 100,광주시
2472,에스에이치 네트웍스(주) 직영점,1795,GS칼텍스,Y,경기 광주시 순암로 176 (중대동),광주시
2473,경기광주(서울방향)주유소/충전소,1797,SK에너지,N,경기 광주시 곤지암읍 만삼로 211,광주시
2474,경기광주(원주방향)주유소/충전소,1797,SK에너지,N,경기 광주시 곤지암읍 만삼로 270,광주시
2475,(주)케이에이치에너지 세준주유소,1798,S-OIL,Y,경기 광주시 곤지암읍 경충대로 522,광주시
2476,현대오일뱅크㈜직영 새광주셀프주유소,1799,현대오일뱅크,Y,경기 광주시 경충대로 1515 (쌍령동),광주시
2477,현대오일뱅크(주)직영 곤지암현대셀프주유소,1799,현대오일뱅크,Y,경기 광주시 곤지암읍 경충대로 567,광주시
