,상호,휘발유,상표,셀프여부,주소,시
2417,대보건설(주) 구리(일산방향)주유소,1729,알뜰(ex),Y,경기 구리시 수도권제1순환고속도로 32,구리시
2418,대보건설(주) 구리(판교방향)주유소,1729,알뜰(ex),Y,경기 구리시 수도권제1순환고속도로 27,구리시
2419,현대직영 담터셀프주유소,1760,현대오일뱅크,Y,경기 구리시 경춘북로 344,구리시
2420,(주)삼표에너지 갈매신내주유소,1765,GS칼텍스,Y,경기 구리시 경춘북로 75 (갈매동),구리시
2421,에쓰오일(주)능마을 보금자리주유소,1765,S-OIL,Y,경기 구리시 경춘북로 74 (갈매동),구리시
2422,현대오일뱅크㈜직영 구리셀프주유소,1774,현대오일뱅크,Y,경기 구리시 아차산로 274,구리시
2423,교문주유소,1775,S-OIL,Y,경기 구리시 아차산로 436 (교문동),구리시
2424,동창베스트(주) 동창주유소,1775,SK에너지,N,경기 구리시 동구릉로 290 (인창동),구리시
2425,㈜지에스이앤알 인창주유소,1783,GS칼텍스,N,경기 구리시 동구릉로 78,구리시
2426,아천동주유소,1785,S-OIL,N,경기 구리시 아차산로 55 (아천동),구리시
2427,동일석유 SK양주셀프주유소,1785,SK에너지,Y,경기 구리시 경춘로 196 (수택동),구리시
2428,현대오일뱅크㈜직영 토평1호셀프주유소,1793,현대오일뱅크,Y,경기 구리시 벌말로 136 (토평동),구리시
2429,SK에너지(주) 두바이주유소,1799,SK에너지,N,경기 구리시 벌말로 61 (토평동),구리시
