,상호,휘발유,상표,셀프여부,주소,시
2316,화곡주유소,1699,알뜰주유소,Y,경기 김포시 대곶면 대곶북로 347,김포시
2317,유카스에너지 대벽주유소,1705,S-OIL,Y,경기 김포시 대곶면 약암로 505,김포시
2318,(주)태평석유직영 에덴주유소,1709,SK에너지,Y,경기 김포시 대곶면 대곶북로 31,김포시
2319,한울에너지(주)마송주유소,1709,현대오일뱅크,Y,경기 김포시 통진읍 김포대로 2397,김포시
2320,삼미상사(주) 유명셀프주유소,1713,SK에너지,Y,경기 김포시 월곶면 김포대로 2759 (월곶면),김포시
2321,수현주유소,1713,GS칼텍스,N,경기 김포시 월곶면 김포대로 2553,김포시
2322,김포감정주유소,1714,알뜰주유소,Y,경기 김포시 김포대로 1135,김포시
2323,동산주유소,1715,현대오일뱅크,N,경기 김포시 하성면 월하로 600,김포시
2324,마곡주유소,1715,SK에너지,N,경기 김포시 하성면 하성로 383,김포시
2325,골드스타주유소,1715,GS칼텍스,Y,경기 김포시 통진읍 월하로 524,김포시
2326,(주)윈통상 하성제일셀프주요소,1715,현대오일뱅크,Y,경기 김포시 하성면 월하로 782,김포시
2327,(주)유카스에너지 김포뉴타운,1715,SK에너지,Y,경기 김포시 양촌읍 김포대로 1581,김포시
2328,오일파크 하성주유소,1715,알뜰주유소,Y,경기도 김포시 금포로 1925,김포시
2329,통진셀프주유소,1715,S-OIL,Y,경기 김포시 통진읍 율마로 247,김포시
2330,(주)한진 김포스마일주유소,1716,S-OIL,N,경기 김포시 통진읍 김포대로 2429,김포시
2331,동일석유(주)김포대로주유소,1717,SK에너지,Y,경기도 김포시 통진읍 김포대로 1937,김포시
2332,대성1주유소,1718,GS칼텍스,Y,경기 김포시 대곶면 대곶북로 429,김포시
2333,오일씨티셀프주유소,1722,SK에너지,Y,경기 김포시 양촌면 양곡로 382,김포시
2334,(주)디오티디 김포햇님이주유소,1722,현대오일뱅크,Y,경기 김포시 대곶면 대명항로 530,김포시
2335,달맞이주유소,1723,GS칼텍스,N,경기 김포시 월곶면 김포대로 2658,김포시
2336,수지Self주유소,1724,SK에너지,Y,경기 김포시 김포대로 1115 (걸포동),김포시
2337,서울석유(주) 그린시티주유소,1725,SK에너지,Y,경기 김포시 양촌읍 양곡우회로 40,김포시
2338,펜텍주유소,1725,GS칼텍스,N,경기 김포시 통진읍 김포대로 2466,김포시
2339,(주)유카스 에너지 올림픽점,1725,SK에너지,Y,경기 김포시 고촌읍 벌말로 768-70,김포시
2340,(주)무진에너지 서김포IC주유소,1725,GS칼텍스,Y,경기 김포시 양촌면 김포대로 1634,김포시
2341,으뜸주유소,1725,SK에너지,Y,경기도 김포시 양촌읍 양곡4로 64,김포시
2342,신곡주유소,1725,현대오일뱅크,Y,경기 김포시 고촌읍 금포로 323,김포시
2343,골드밸리주유소,1725,GS칼텍스,Y,경기 김포시 양촌읍 양곡우회로 141,김포시
2344,디더블유에너지,1725,현대오일뱅크,N,경기 김포시 대곶면 대명항로 346,김포시
2345,실로암주유소,1725,알뜰주유소,Y,경기 김포시 고촌읍 개화동로 46,김포시
2346,무지개주유소,1725,GS칼텍스,Y,경기 김포시 통진읍 김포대로 2002,김포시
2347,신일주유소,1725,SK에너지,N,경기 김포시 통진읍 김포대로 2036,김포시
2348,미광셀프주유소,1725,SK에너지,Y,경기 김포시 고촌읍 김포대로 55-12,김포시
2349,서울주유소,1725,GS칼텍스,N,경기 김포시 양촌면 양곡로 357,김포시
