,상호,휘발유,상표,셀프여부,주소,시
2212,남별내IC주유소,1695,S-OIL,Y,경기 남양주시 별내면 송산로 471,남양주시
2213,주영주유소,1734,SK에너지,Y,경기 남양주시 진건읍 진건오남로 250,남양주시
2214,원우주유소,1734,알뜰주유소,Y,경기 남양주시 진건읍 진건오남로 237,남양주시
2215,(주)보성셀프주유소,1735,알뜰주유소,Y,경기 남양주시 진접읍 금강로 1291,남양주시
2216,동북주유소,1743,S-OIL,Y,경기 남양주시 진건읍 사릉로 420,남양주시
2217,임건제일주유소,1745,현대오일뱅크,Y,경기 남양주시 진건읍 금강로 683,남양주시
2218,진접농협주유소,1745,NH-OIL,Y,경기 남양주시 진접읍 해밀예당1로 14,남양주시
2219,사능주유소,1745,SK에너지,N,경기 남양주시 진건읍 사릉로 225,남양주시
2220,대선주유소,1745,S-OIL,N,경기 남양주시  경춘로 807,남양주시
2221,평내셀프주유소,1745,현대오일뱅크,Y,경기 남양주시 경춘로 1071 (금곡동),남양주시
2222,(주)장군골드웨이주유소,1745,SK에너지,N,경기 남양주시 진접읍 사릉로 791,남양주시
2223,(주)동아석유진접지점,1745,현대오일뱅크,Y,경기 남양주시 진접읍 양진로 929,남양주시
2224,장수주유소,1745,SK에너지,N,경기 남양주시 진접읍 금강로 890,남양주시
2225,우남주유소,1748,SK에너지,N,경기 남양주시 북부간선로 229 (일패동),남양주시
2226,(주)동안에너지 다산주유소,1748,SK에너지,Y,경기 남양주시 북부간선로 214 (지금동),남양주시
2227,KH에너지(주)직영 덕소주유소,1748,SK에너지,N,경기도 남양주시 와부읍 경강로 881,남양주시
2228,(주)동안에너지 왕자궁주유소,1748,SK에너지,Y,경기 남양주시 경강로 111 (일패동),남양주시
2229,(주)삼호에너지 도농주유소,1748,SK에너지,Y,경기 남양주시 경춘로 374 (도농동),남양주시
2230,현대오일뱅크㈜직영 덕소셀프주유소,1750,현대오일뱅크,Y,경기 남양주시 와부읍 덕소로 256,남양주시
2231,갤러리주유소,1755,S-OIL,Y,경기 남양주시 오남읍 양지로 13,남양주시
2232,동일석유(주)오남동일셀프주유소,1755,SK에너지,Y,경기도 남양주시 오남읍 양지로 121,남양주시
2233,(주)별넷주유소,1759,현대오일뱅크,N,경기 남양주시 별내면 불암산로 27,남양주시
2234,현대오일뱅크㈜직영 호평셀프주유소,1760,현대오일뱅크,Y,경기 남양주시 늘을1로 137 (호평동),남양주시
2235,현대오일뱅크㈜직영 별내2호셀프주유소,1760,현대오일뱅크,Y,경기 남양주시  불암로 70 (별내동),남양주시
2236,㈜지에스이앤알직영 덕소주유소,1762,GS칼텍스,Y,경기 남양주시 와부읍 덕소로 24,남양주시
2237,버드나무주유소,1764,S-OIL,Y,경기 남양주시 경강로 382 (삼패동),남양주시
2238,하나주유소,1764,현대오일뱅크,Y,경기 남양주시 홍유릉로 336,남양주시
2239,현대오일뱅크㈜직영 강변셀프주유소,1764,현대오일뱅크,Y,경기 남양주시 고산로 166 (삼패동),남양주시
2241,호평첨단주유소,1765,SK에너지,Y,경기 남양주시 늘을1로 161 (호평동),남양주시
2242,한강에너지(주) 별내셀프주유소,1765,S-OIL,Y,경기 남양주시 순화궁로 122,남양주시
2243,중앙셀프주유소,1765,GS칼텍스,Y,경기 남양주시 경춘로 928 (금곡동),남양주시
2244,씨앤에스유통(주)호평IC주유소,1765,S-OIL,Y,경기 남양주시 늘을1로 59 (호평동),남양주시
2245,(주)구산에너지 시청앞주유소,1765,SK에너지,N,경기 남양주시 경춘로 1048(금곡동),남양주시
2246,지에스(GS)금곡역주유소,1765,GS칼텍스,Y,경기 남양주시 사릉로 56,남양주시
2247,(주)소모에너지 뉴평내셀프주유소,1765,GS칼텍스,Y,경기 남양주시 경춘로 1272 (평내동),남양주시
2248,경복셀프주유소,1765,GS칼텍스,Y,경기 남양주시 진접읍 경복대로 400,남양주시
2249,월드에너지,1765,S-OIL,Y,경기 남양주시 경춘로 754 (일패동),남양주시
2250,대박주유소,1768,현대오일뱅크,N,경기 남양주시 경강로 351 (삼패동),남양주시
2251,동아주유소(self),1769,GS칼텍스,Y,경기 남양주시 진접읍 장현로 39,남양주시
2252,예멋Self주유소,1775,SK에너지,Y,경기 남양주시 진접읍 금강로 1897 (진접읍),남양주시
