,상호,휘발유,상표,셀프여부,주소,시
2189,씨엘무역동두천지점 주식회사,1698,알뜰주유소,N,경기 동두천시 평화로 3122 (하봉암동),동두천시
2190,행복가득주유소,1698,SK에너지,Y,경기 동두천시 평화로 3059 (하봉암동),동두천시
2191,대명주유소,1708,S-OIL,N,경기 동두천시 평화로 3188 (하봉암동),동두천시
2192,신동천,1725,알뜰주유소,Y,경기도 동두천시  삼육사로 770 (상패동),동두천시
2193,하이웨이주유소,1727,S-OIL,Y,경기 동두천시 강변로 74 (송내동),동두천시
2194,(주)후암직영 만땅주유소,1728,SK에너지,N,경기 동두천시 강변로 290,동두천시
2195,중앙IC주유소,1735,SK에너지,Y,경기도 동두천시 강변로 814 (동두천동),동두천시
2196,대경석유(주) 동성주유소,1735,GS칼텍스,N,경기 동두천시 강변로 858 (동두천동),동두천시
2197,동두천주유소,1745,S-OIL,Y,경기 동두천시 평화로 2385 (생연동),동두천시
2198,자영에너지,1747,S-OIL,Y,경기 동두천시 삼육사로 1109(생연동),동두천시
2199,이담주유소,1754,GS칼텍스,N,경기 동두천시 삼육사로 733 (상패동),동두천시
2200,착한주유소,1767,현대오일뱅크,N,경기 동두천시 평화로 2817 (동두천동),동두천시
2201,신진BANK주유소,1768,현대오일뱅크,Y,경기 동두천시 삼육사로 706 (상패동),동두천시
2202,정인주유소,1768,GS칼텍스,N,경기 동두천시 평화로 3125,동두천시
2203,대성산업(주)동두천주유소,1775,GS칼텍스,N,경기 동두천시 평화로 2496,동두천시
2204,무궁화주유소,1775,자가상표,N,경기 동두천시 어수로 22 (상패동),동두천시
2205,장미주유소,1785,현대오일뱅크,Y,경기 동두천시 평화로 2149,동두천시
2206,엄지주유소,1797,SK에너지,Y,경기 동두천시 강변로 670 (동두천동),동두천시
2207,이섬주유소,1798,GS칼텍스,Y,경기 동두천시 어수로 30 (상패동),동두천시
