,상호,휘발유,상표,셀프여부,주소,시
1976,가야주유소,1765,현대오일뱅크,Y,경기 성남시 중원구 경충대로 2590 (갈현동),성남시
1977,아시아셀프주유소,1774,SK에너지,Y,경기 성남시 중원구 둔촌대로 235 (하대원동),성남시
1978,하이테크에너지(주),1775,SK에너지,Y,경기 성남시 중원구 순환로 128 (상대원동),성남시
1979,이루고에너지,1775,현대오일뱅크,Y,경기 성남시 중원구 경충대로 2441 (갈현동),성남시
1980,구도일주유소 해성,1779,S-OIL,N,경기 성남시 중원구 제일로 14 (하대원동),성남시
1981,상대원주유소,1795,현대오일뱅크,Y,경기 성남시 중원구 희망로 352,성남시
1982,한강에너지(주),1795,SK에너지,Y,경기 성남시 중원구 여수대로 147 (여수동),성남시
1994,대보건설(주) 성남(구리방향)주유소,1729,알뜰(ex),Y,경기 성남시 수정구 산성대로 41,성남시
1995,지에스칼텍스㈜직영 성남제일주유소,1789,GS칼텍스,N,경기 성남시 수정구 성남대로 1268 (태평동),성남시
1996,산성주유소,1799,GS칼텍스,Y,경기 성남시 수정구 산성대로 607 (양지동),성남시
2008,NH하나로주유소,1788,NH-OIL,Y,경기 성남시 분당구 성남대로43번길 11,성남시
2009,㈜소모에너지 동화주유소,1798,GS칼텍스,N,경기 성남시 분당구 돌마로 176 (정자동),성남시
2010,㈜소모에너지 백궁주유소,1798,GS칼텍스,N,경기 성남시 분당구 성남대로407번길 13,성남시
2011,분당탑주유소,1798,SK에너지,N,경기 성남시 분당구 판교로 751 (야탑동),성남시
2012,(주)남경석유 분당스타self주유소,1799,S-OIL,Y,경기 성남시 분당구 새마을로 65,성남시
2077,대보건설(주) 성남(구리방향)주유소,1729,알뜰(ex),Y,경기 성남시 수정구 산성대로 41,성남시
2078,가야주유소,1765,현대오일뱅크,Y,경기 성남시 중원구 경충대로 2590 (갈현동),성남시
2079,아시아셀프주유소,1774,SK에너지,Y,경기 성남시 중원구 둔촌대로 235 (하대원동),성남시
2080,하이테크에너지(주),1775,SK에너지,Y,경기 성남시 중원구 순환로 128 (상대원동),성남시
2081,이루고에너지,1775,현대오일뱅크,Y,경기 성남시 중원구 경충대로 2441 (갈현동),성남시
2082,구도일주유소 해성,1779,S-OIL,N,경기 성남시 중원구 제일로 14 (하대원동),성남시
2083,NH하나로주유소,1788,NH-OIL,Y,경기 성남시 분당구 성남대로43번길 11,성남시
2084,지에스칼텍스㈜직영 성남제일주유소,1789,GS칼텍스,N,경기 성남시 수정구 성남대로 1268 (태평동),성남시
2085,한강에너지(주),1795,SK에너지,Y,경기 성남시 중원구 여수대로 147 (여수동),성남시
2086,상대원주유소,1795,현대오일뱅크,Y,경기 성남시 중원구 희망로 352,성남시
2087,분당탑주유소,1798,SK에너지,N,경기 성남시 분당구 판교로 751 (야탑동),성남시
2088,㈜소모에너지 백궁주유소,1798,GS칼텍스,N,경기 성남시 분당구 성남대로407번길 13,성남시
2089,㈜소모에너지 동화주유소,1798,GS칼텍스,N,경기 성남시 분당구 돌마로 176 (정자동),성남시
2090,산성주유소,1799,GS칼텍스,Y,경기 성남시 수정구 산성대로 607 (양지동),성남시
2091,(주)남경석유 분당스타self주유소,1799,S-OIL,Y,경기 성남시 분당구 새마을로 65,성남시
