,상호,휘발유,상표,셀프여부,주소,시
1778,효현(주) 아주주유소,1725,GS칼텍스,Y,경기 수원시 팔달구 월드컵로 246 (우만동),수원시
1779,팔달주유소,1735,SK에너지,Y,경기 수원시 팔달구 중부대로 64,수원시
1780,푸른현대주유소,1735,S-OIL,Y,경기 수원시 팔달구 팔달로 137 (화서동),수원시
1781,효원주유소,1745,SK에너지,Y,경기 수원시 팔달구 효원로 181 (인계동),수원시
1782,수원주유소,1747,S-OIL,Y,경기 수원시 팔달구  인계로 76 (인계동),수원시
1783,청담에너지,1748,SK에너지,Y,경기 수원시 팔달구 인계로 58 (인계동),수원시
1784,인계동주유소,1748,GS칼텍스,Y,경기 수원시 팔달구 인계로 139 (인계동),수원시
1785,대왕주유소,1748,SK에너지,Y,경기 수원시 팔달구 경수대로 502 (인계동),수원시
1786,현대오일뱅크(주)직영 수원제일주유소,1753,현대오일뱅크,N,경기 수원시 팔달구 권광로 273,수원시
1787,서부주유소,1775,GS칼텍스,N,경기 수원시 팔달구 수성로 188 (화서동),수원시
1788,월드컵주유소,1795,SK에너지,Y,경기 수원시 영통구 광교로 66 (이의동),수원시
1792,북수원주유소,1715,현대오일뱅크,Y,경기 수원시 장안구 서부로 2201 (율전동),수원시
1793,장안주유소,1715,현대오일뱅크,Y,경기 수원시 장안구 서부로 2282,수원시
1794,현대석유(주)서광주유소,1725,GS칼텍스,Y,경기 수원시 장안구 서부로 2370 (이목동),수원시
1795,드림에너지(주)배트맨주유소,1725,현대오일뱅크,Y,경기 수원시 장안구 경수대로 818,수원시
1796,주식회사 노송유업,1725,SK에너지,Y,경기 수원시 장안구 서부로 2359 (이목동),수원시
1797,경진셀프주유소,1728,SK에너지,Y,경기 수원시 장안구 경수대로 1059,수원시
1798,대원주유소,1728,S-OIL,N,경기 수원시 장안구 경수대로 772 (영화동),수원시
1799,영화셀프주유소,1728,SK에너지,Y,경기 수원시 장안구 수성로290번길 3 (영화동),수원시
1800,대성산업(주)수원주유소,1728,GS칼텍스,Y,경기 수원시 장안구 경수대로 868 (조원동),수원시
1801,동일석유(주) 금호주유소,1728,SK에너지,N,경기 수원시 장안구 경수대로 852 (조원동),수원시
1802,케이아이에스정보통신 주식회사 장안공원 주유소,1735,S-OIL,Y,경기 수원시 장안구 팔달로 227 (영화동),수원시
1803,수안주유소,1735,GS칼텍스,Y,경기 수원시 장안구 경수대로 1246 (파장동),수원시
1804,C＆S유통(주)구도일주유소일류,1735,S-OIL,N,경기 수원시 장안구 경수대로 1029 (파장동),수원시
1805,구도일삼익씨앤에스유통(주),1735,S-OIL,Y,경기도 수원시 장안구  경수대로 1104 (파장동),수원시
1806,현대오일뱅크㈜직영 천천현대셀프주유소,1744,현대오일뱅크,Y,경기 수원시 장안구 덕영대로 557,수원시
1807,현대오일뱅크㈜직영 송죽현대셀프주유소,1744,현대오일뱅크,Y,경기 수원시 장안구 경수대로 992 (송죽동),수원시
1808,구도일 새한주유소,1745,S-OIL,N,경기 수원시 장안구  서부로 2348 (이목동),수원시
1809,만석주유소,1755,GS칼텍스,Y,경기 수원시 장안구 장안로 153,수원시
1810,태양제2주유소,1758,현대오일뱅크,N,경기 수원시 장안구  경수대로 1011,수원시
1811,동신주유소,1765,현대오일뱅크,Y,경기 수원시 장안구 장안로 260 (정자동),수원시
1812,에이제이에너지(주)직영 정자주유소,1788,현대오일뱅크,Y,경기 수원시 장안구 정자천로 179,수원시
1815,현대오일뱅크㈜직영 동수원현대셀프주유소,1718,현대오일뱅크,Y,경기 수원시 영통구 중부대로 277 (원천동),수원시
1816,현대오일뱅크㈜직영 호수공원셀프주유소,1724,현대오일뱅크,Y,경기 수원시 영통구 광교호수로 124,수원시
1817,세일석유㈜ 구도일주유소 광교신도시,1725,S-OIL,Y,경기 수원시 영통구 광교호수로 328-142,수원시
1818,수원고속주유소,1733,SK에너지,Y,경기 수원시 영통구 중부대로 384,수원시
1819,대신자연에너지,1733,SK에너지,Y,경기 수원시 영통구 권선로 927,수원시
1820,법원주유소,1738,SK에너지,N,"경기 수원시 영통구 중부대로 309,  (원천동)",수원시
