,상호,휘발유,상표,셀프여부,주소,시
1689,우리주유소,1687,알뜰주유소,Y,경기 시흥시 황고개로 311 (군자동),시흥시
1690,역전주유소,1688,S-OIL,N,경기 시흥시 역전로 295 (정왕동),시흥시
1691,(주)대경유업 대경주유소,1688,현대오일뱅크,Y,경기 시흥시 봉화로 166,시흥시
1692,남선산업(주)은계셀프주유소,1694,자가상표,Y,경기 시흥시 수인로 3142 (안현동),시흥시
1693,주식회사 대호에너지 지점 해승주유소,1695,S-OIL,Y,경기 시흥시 서해안로 1048,시흥시
1694,상천네트워크㈜ 시흥풀페이주유소,1695,S-OIL,Y,경기 시흥시 서해안로 1317 (방산동),시흥시
1695,(주)신천IC주유소,1695,SK에너지,N,경기 시흥시 서해안로 1326-1 (방산동),시흥시
1696,목감행복주유소,1695,GS칼텍스,Y,경기 시흥시 목감우회로 9 (조남동),시흥시
1697,월곶하이웨이주유소,1697,현대오일뱅크,Y,경기 시흥시 동서로 174 (월곶동),시흥시
1698,효창에너지직영 5주유소,1697,SK에너지,Y,경기 시흥시 동서로 996,시흥시
1699,대명주유소,1697,SK에너지,Y,경기 시흥시 소래로 18 (월곶동),시흥시
1700,삼성주유소,1697,SK에너지,Y,경기 시흥시 금오로 269 (과림동),시흥시
1701,엠에이치에너지 월곶동,1697,GS칼텍스,Y,경기 시흥시 서해안로 804-1,시흥시
1702,신월곶주유소,1697,GS칼텍스,Y,경기 시흥시 동서로 177 (월곶동),시흥시
1703,(주)세화제2주유소,1697,SK에너지,Y,경기 시흥시 동서로 425 (장현동),시흥시
1704,안현주유소,1699,S-OIL,Y,경기 시흥시 수인로 3105 (안현동),시흥시
1705,주유할인마트,1702,알뜰주유소,N,경기 시흥시 수인로 2648 (금이동),시흥시
1706,(주)푸른에너지,1702,GS칼텍스,Y,경기 시흥시 수인로 2722 (금이동),시흥시
1707,승원주유소,1705,SK에너지,Y,경기 시흥시 서해안로 1081 (방산동),시흥시
1708,보금자리주유소,1707,현대오일뱅크,N,경기 시흥시 금오로 94,시흥시
1709,서해주유소,1708,SK에너지,Y,경기 시흥시  봉화로 325 (죽율동),시흥시
1710,무지내주유소,1713,S-OIL,Y,경기 시흥시  금오로 144 (무지내동),시흥시
1711,금강석유(주)나분들주유소,1713,현대오일뱅크,Y,경기 시흥시 동서로 674 (광석동),시흥시
1712,장연주유소,1713,GS칼텍스,N,경기 시흥시 동서로 633 (광석동),시흥시
