,상호,휘발유,상표,셀프여부,주소,시
1401,상록수주유소(주),1715,현대오일뱅크,N,경기 안산시 상록구 이호로 53 (본오동),안산시
1402,고속주유소,1715,SK에너지,Y,경기 안산시 상록구 가루개로 143 (양상동),안산시
1403,준오토조이(주) 성우주유소,1715,SK에너지,Y,경기 안산시 상록구  안산천서로 277,안산시
1404,㈜소모에너지 안산하이웨이주유소,1715,GS칼텍스,Y,경기 안산시 상록구 안산천서로 263,안산시
1405,제이원네트웍스(주) 해안주유소,1715,SK에너지,Y,경기 안산시 상록구 선진6길 8,안산시
1406,소망주유소,1715,S-OIL,N,경기 안산시 상록구 석호로 202 (사동),안산시
1407,안산슈퍼맨주유소,1717,알뜰주유소,Y,경기 안산시 상록구 서해로 2691 (사사동),안산시
1408,사동셀프주유소,1725,SK에너지,Y,경기 안산시 상록구 선진로 11 (사동),안산시
1409,씨앤에스유통㈜구도일주유소 신반월,1735,S-OIL,Y,경기 안산시 상록구 건건1길 7 (건건동),안산시
1410,행복주유소,1735,GS칼텍스,Y,경기 안산시 상록구 수인로 1820 (부곡동),안산시
1411,수암주유소,1744,SK에너지,Y,경기 안산시 상록구 원당골1길 23-14 (수암동),안산시
1412,대웅주유소,1748,현대오일뱅크,Y,경기 안산시 상록구 수인로 1733 (부곡동),안산시
1413,(주)북고개주유소,1755,현대오일뱅크,Y,경기 안산시 상록구 수인로 1177,안산시
1414,(주)대한석유 한대역주유소,1755,SK에너지,Y,경기 안산시 상록구 광덕4로 357 (이동),안산시
1415,신양주유소,1755,SK에너지,N,경기 안산시 상록구 월피로 84,안산시
1416,현대오일뱅크㈜직영 반월셀프주유소,1755,현대오일뱅크,Y,경기 안산시 상록구 수인로 1226 (일동),안산시
1417,용담주유소,1765,SK에너지,Y,경기 안산시 상록구 해안로 1363 (팔곡일동),안산시
1418,태하셀프주유소,1767,SK에너지,Y,경기 안산시 상록구 수인로 1917 (장상동),안산시
1419,장하주유소,1768,SK에너지,N,경기 안산시 상록구 장하로 88 (장하동),안산시
1420,현대오일뱅크(주)직영 사사동주유소,1775,현대오일뱅크,N,경기 안산시 상록구 서해로 2838 (사사동),안산시
1421,상림주유소,1775,SK에너지,Y,경기 안산시 상록구 서해로 2921 (건건동),안산시
1422,현대오일뱅크㈜직영 팔곡셀프주유소,1775,현대오일뱅크,Y,경기 안산시 상록구 해안로 1295 (팔곡이동),안산시
