,상호,휘발유,상표,셀프여부,주소,시
1295,(주)서원 안성맞춤(평택)주유소/충전소,1713,알뜰(ex),Y,경기 안성시 서운면 평택제천고속도로 41,안성시
1296,대보유통(주) 안성(서울)주유소/충전소,1713,알뜰(ex),Y,경기 안성시 경부고속도로 372-1,안성시
1297,매산주유소,1715,알뜰주유소,N,경기 안성시 죽산면 죽양대로 200,안성시
1298,YM21유통㈜안성맞춤(제천)주유소,1719,알뜰(ex),Y,경기 안성시 서운면 평택제천고속도로 40,안성시
1299,(주)뉴타운주유소,1723,알뜰주유소,N,경기 안성시 안성맞춤대로 862,안성시
1300,두꺼비주유소,1724,S-OIL,Y,경기 안성시 안성맞춤대로 749 (계동),안성시
1301,한국도로공사 안성(부산방향)주유소/충전소,1725,알뜰(ex),Y,경기 안성시 원곡면 경부고속도로 365,안성시
1302,㈜소모에너지 칠곡주유소,1725,GS칼텍스,Y,경기 안성시 원곡면 남북대로 1201-4,안성시
1303,계림주유소,1728,현대오일뱅크,Y,경기 안성시 안성맞춤대로 841,안성시
1304,㈜반석에너지,1728,SK에너지,Y,경기 안성시 안성맞춤대로 1168 (당왕동),안성시
1305,뉴타운주유소,1729,SK에너지,Y,경기 안성시 대덕면 중앙대학로 251,안성시
1306,(주)대원에너지 안성지점,1734,SK에너지,Y,경기 안성시 일죽면 서동대로 7862,안성시
1307,(주)자연에너지 비봉주유소,1735,현대오일뱅크,Y,경기 안성시 죽산면 서동대로 6617,안성시
1308,연세석유(주) 동아대Self주유소,1735,GS칼텍스,Y,경기 안성시 삼죽면 서동대로 6351,안성시
1309,녹박재주유소,1735,알뜰주유소,Y,경기 안성시 죽산면 서동대로 6518,안성시
1310,평택석유직영 서안성주유소,1735,현대오일뱅크,N,경기 안성시 원곡면 남북대로 1033,안성시
1311,(주)케이엘페트로 안성지점 VIP주유소,1735,GS칼텍스,Y,경기 안성시 안성맞춤대로 865,안성시
1312,소소셀프주유소,1735,GS칼텍스,Y,경기 안성시 삼죽면 서동대로 6376,안성시
1313,삼죽주유소,1735,알뜰주유소,Y,경기 안성시 삼죽면 삼죽로 193,안성시
1314,희망가득주유소,1739,현대오일뱅크,Y,경기 안성시 삼죽면 서동대로 6102,안성시
1315,현대오일뱅크(주)직영 안성대로주유소,1744,현대오일뱅크,Y,경기 안성시 서운면 안성대로 88,안성시
1316,삼보주유소,1747,GS칼텍스,N,경기 안성시 일죽면 죽양대로 505,안성시
1317,비룡주유소,1748,S-OIL,N,경기 안성시 일죽면 죽양대로 530,안성시
1318,칠곡IC주유소,1748,GS칼텍스,N,경기 안성시 원곡면 만세로 991,안성시
1319,충일주유소,1749,현대오일뱅크,Y,경기 안성시 공도읍 서동대로 4405,안성시
1320,KC네트웍스,1750,알뜰주유소,Y,경기 안성시 공도읍 공도로 120,안성시
1321,원탑주유소,1755,SK에너지,Y,경기 안성시 양성면 남북대로 2038,안성시
1322,화봉주유소,1759,S-OIL,Y,경기 안성시 일죽면 금일로 186,안성시
1323,일죽농협주유소,1759,SK에너지,N,경기 안성시 일죽면 금일로 298,안성시
1324,흥인주유소,1759,GS칼텍스,N,경기 안성시 대덕면 서동대로 4880,안성시
1325,현대오일뱅크(주)직영 남북대로주유소,1760,현대오일뱅크,Y,경기 안성시 양성면 남북대로 2035,안성시
1326,새아침주유소,1763,GS칼텍스,N,경기 안성시 원곡면 청원로 1815,안성시
1327,삼미상사(주) 서안성셀프주유소,1765,SK에너지,Y,경기 안성시 원곡면 남북대로 1106,안성시
1328,보개주유소,1768,S-OIL,Y,경기 안성시 보개면 서동대로 5816,안성시
1329,원곡주유소,1768,현대오일뱅크,N,경기 안성시 원곡면 만세로 1275,안성시
1330,(주)진성에너지 안성맞춤셀프주유소,1768,GS칼텍스,Y,경기 안성시 안성맞춤대로 1253 (당왕동),안성시
1331,(주)이엘에스 양변주유소/충전소,1768,알뜰주유소,Y,경기 안성시 미양면 211-0,안성시
1332,더조은주유소,1769,SK에너지,Y,경기 안성시 공도읍 공도로 160,안성시
1333,운동장주유소,1769,GS칼텍스,Y,경기 안성시 보개면 양협길 4,안성시
1334,태광주유소,1770,SK에너지,N,경기 안성시 원곡면 청원로 1786,안성시
1335,양성농협주유소,1779,NH-OIL,N,경기 안성시 양성면 만세로 627,안성시
1336,현대오일뱅크㈜직영 안성TG주유소,1779,현대오일뱅크,Y,경기 안성시 공도읍 서동대로 3986,안성시
1337,에스에이치(SH)주유소,1779,S-OIL,Y,경기 안성시 일죽면 서동대로 7787,안성시
1338,안성현대주유소,1785,현대오일뱅크,N,경기 안성시 보개원삼로 48,안성시
1339,(주)태현주유소,1786,SK에너지,Y,경기도 안성시 대덕면 안성대로 1539,안성시
1340,(주)삼호에너지직영보동주유소,1786,SK에너지,N,경기 안성시 대덕면 안성대로 1532,안성시
1341,옥산주유소,1793,SK에너지,N,경기 안성시 중앙로 162 (옥산동),안성시
1342,(주)파인코리아직영대명주유소,1794,현대오일뱅크,Y,경기 안성시 공도읍 서동대로 4298,안성시
1343,대성주유소,1794,현대오일뱅크,N,경기도 안성시 중앙로 177 (신건지동),안성시
1344,(주)필앤유오케이주유소,1795,SK에너지,N,경기 안성시 안성맞춤대로 822 (계동),안성시
1345,신창주유소,1795,현대오일뱅크,N,경기 안성시 고삼면 안성맞춤대로 1838,안성시
1346,신도시주유소,1795,S-OIL,Y,경기 안성시 서동대로 5046 (신소현동),안성시
1347,우리주유소,1795,현대오일뱅크,N,경기 안성시 서동대로 5082 (신소현동),안성시
1348,보광셀프주유소,1797,S-OIL,Y,경기 안성시 원곡면 청원로 1831,안성시
1349,명품주유소,1798,S-OIL,N,경기 안성시 대덕면 안성맞춤대로 1523,안성시
1350,유일산업(주) 일죽주유소,1798,GS칼텍스,N,경기 안성시 일죽면 서동대로 7321-18,안성시
1351,성신주유소,1798,S-OIL,Y,경기 안성시 대덕면 만세로 222,안성시
1352,대송주유소,1798,현대오일뱅크,N,경기 안성시 일죽면 서동대로 7387,안성시
1353,대흥주유소,1798,GS칼텍스,N,경기 안성시 안성맞춤대로 1335 (금석동),안성시
1354,미리내주유소(주),1798,SK에너지,Y,경기 안성시 양성면 양성로 684,안성시
1355,삼미상사(주)광장셀프,1799,SK에너지,Y,경기 안성시 일죽면 서동대로 7184,안성시
1356,보개농협주유소,1799,S-OIL,N,경기 안성시 보개면 보개원삼로 289,안성시
1357,안성맞춤주유소,1799,S-OIL,Y,경기 안성시 대덕면 중앙로 55,안성시
