,상호,휘발유,상표,셀프여부,주소,시
1215,안양원예농업협동조합주유소,1749,NH-OIL,Y,경기도 안양시 만안구  오리로 60,안양시
1216,뉴그린주유소,1764,GS칼텍스,Y,경기 안양시 만안구 박달로 569 (안양동),안양시
1217,(주)양지,1764,GS칼텍스,Y,경기 안양시 만안구 양화로 44 (안양동),안양시
1218,(주)푸른주유소,1764,현대오일뱅크,Y,경기 안양시 만안구 오리로 11 (박달동),안양시
1219,㈜천이코끼리주유소,1764,현대오일뱅크,Y,경기 안양시 만안구 박달로 464 (박달동),안양시
1220,대성유류판매(주) 안양지점,1764,SK에너지,Y,경기 안양시 만안구 박달로 552 (안양동),안양시
1221,신안주유소,1769,현대오일뱅크,N,경기 안양시 만안구 박달로 432 (박달동),안양시
1222,(주)안국에너지 서진주유소,1778,SK에너지,Y,경기 안양시 만안구 안양로 425 (안양동),안양시
1223,세일석유㈜ 구도일주유소 안양,1778,S-OIL,Y,경기 안양시 만안구 만안로 135,안양시
1224,에이제이에너지(주)직영 안양주유소,1783,현대오일뱅크,N,경기 안양시 만안구 경수대로 1374,안양시
1225,남경주유소㈜,1785,SK에너지,Y,경기 안양시 만안구 경수대로 1279 (석수동),안양시
1226,안양알찬주유소,1795,S-OIL,Y,경기 안양시 만안구 안양로 49 (안양동),안양시
1227,마하주유소,1798,GS칼텍스,Y,경기 안양시 만안구 엘에스로 237 (안양동),안양시
1228,청기와주유소,1798,현대오일뱅크,N,경기 안양시 만안구 만안로 114,안양시
1229,시몬주유소,1798,현대오일뱅크,N,경기 안양시 만안구 안양천서로 347-16 (안양동),안양시
1234,서일석유(주)서일주유소,1755,GS칼텍스,Y,경기 안양시 동안구 엘에스로 56 (호계동),안양시
1235,현대오일뱅크㈜직영 호계현대셀프주유소,1764,현대오일뱅크,Y,경기 안양시 동안구 경수대로 510 (호계동),안양시
1236,첫사랑주유소,1775,SK에너지,Y,경기 안양시 동안구 부림로 194 (관양동),안양시
1237,KH에너지(주)직영 평촌주유소,1775,SK에너지,Y,경기 안양시 동안구 평촌대로 99 (호계동),안양시
1238,지에스칼텍스(주)우리주유소,1786,GS칼텍스,Y,경기 안양시 동안구 경수대로 584,안양시
1239,지에스칼텍스㈜ 대로주유소,1786,GS칼텍스,Y,경기 안양시 동안구 경수대로 599 (호계동),안양시
1240,동일석유제일주유소,1787,SK에너지,Y,경기 안양시 동안구 경수대로 962,안양시
1241,기쁨두배주유소,1789,SK에너지,N,경기 안양시 동안구 시민대로 67 (호계동),안양시
1242,동안주유소,1789,S-OIL,N,경기 안양시 동안구 시민대로 98 (호계동),안양시
1243,SK에너지(주)직영 평촌신도시주유소,1795,SK에너지,Y,경기 안양시 동안구 시민대로 301,안양시
1244,플라트(주)금성주유소,1795,GS칼텍스,Y,경기 안양시 동안구 시민대로 325,안양시
1245,현대오일뱅크(주)직영 우신주유소,1798,현대오일뱅크,N,경기 안양시 동안구 엘에스로 141 (호계동),안양시
1255,안양원예농업협동조합주유소,1749,NH-OIL,Y,경기도 안양시 만안구  오리로 60,안양시
1256,서일석유(주)서일주유소,1755,GS칼텍스,Y,경기 안양시 동안구 엘에스로 56 (호계동),안양시
1257,(주)양지,1764,GS칼텍스,Y,경기 안양시 만안구 양화로 44 (안양동),안양시
1258,뉴그린주유소,1764,GS칼텍스,Y,경기 안양시 만안구 박달로 569 (안양동),안양시
1259,㈜천이코끼리주유소,1764,현대오일뱅크,Y,경기 안양시 만안구 박달로 464 (박달동),안양시
1260,(주)푸른주유소,1764,현대오일뱅크,Y,경기 안양시 만안구 오리로 11 (박달동),안양시
1261,대성유류판매(주) 안양지점,1764,SK에너지,Y,경기 안양시 만안구 박달로 552 (안양동),안양시
1262,현대오일뱅크㈜직영 호계현대셀프주유소,1764,현대오일뱅크,Y,경기 안양시 동안구 경수대로 510 (호계동),안양시
1263,신안주유소,1769,현대오일뱅크,N,경기 안양시 만안구 박달로 432 (박달동),안양시
1264,첫사랑주유소,1775,SK에너지,Y,경기 안양시 동안구 부림로 194 (관양동),안양시
1265,KH에너지(주)직영 평촌주유소,1775,SK에너지,Y,경기 안양시 동안구 평촌대로 99 (호계동),안양시
1266,(주)안국에너지 서진주유소,1778,SK에너지,Y,경기 안양시 만안구 안양로 425 (안양동),안양시
1267,세일석유㈜ 구도일주유소 안양,1778,S-OIL,Y,경기 안양시 만안구 만안로 135,안양시
1268,에이제이에너지(주)직영 안양주유소,1783,현대오일뱅크,N,경기 안양시 만안구 경수대로 1374,안양시
1269,남경주유소㈜,1785,SK에너지,Y,경기 안양시 만안구 경수대로 1279 (석수동),안양시
1270,지에스칼텍스(주)우리주유소,1786,GS칼텍스,Y,경기 안양시 동안구 경수대로 584,안양시
1271,지에스칼텍스㈜ 대로주유소,1786,GS칼텍스,Y,경기 안양시 동안구 경수대로 599 (호계동),안양시
1272,동일석유제일주유소,1787,SK에너지,Y,경기 안양시 동안구 경수대로 962,안양시
1273,기쁨두배주유소,1789,SK에너지,N,경기 안양시 동안구 시민대로 67 (호계동),안양시
1274,동안주유소,1789,S-OIL,N,경기 안양시 동안구 시민대로 98 (호계동),안양시
1275,SK에너지(주)직영 평촌신도시주유소,1795,SK에너지,Y,경기 안양시 동안구 시민대로 301,안양시
1276,플라트(주)금성주유소,1795,GS칼텍스,Y,경기 안양시 동안구 시민대로 325,안양시
1277,안양알찬주유소,1795,S-OIL,Y,경기 안양시 만안구 안양로 49 (안양동),안양시
1278,마하주유소,1798,GS칼텍스,Y,경기 안양시 만안구 엘에스로 237 (안양동),안양시
1279,현대오일뱅크(주)직영 우신주유소,1798,현대오일뱅크,N,경기 안양시 동안구 엘에스로 141 (호계동),안양시
1280,시몬주유소,1798,현대오일뱅크,N,경기 안양시 만안구 안양천서로 347-16 (안양동),안양시
1281,청기와주유소,1798,현대오일뱅크,N,경기 안양시 만안구 만안로 114,안양시
