,상호,휘발유,상표,셀프여부,주소,시
1126,(주)교현 알뜰주유소,1688,알뜰주유소,Y,경기 양주시 장흥면 북한산로 863,양주시
1127,동일석유㈜신내IC주유소,1688,SK에너지,N,경기도 양주시 평화로 1998-0,양주시
1128,(주)호호클린주유소,1688,자가상표,N,경기 양주시 광적면 부흥로 889,양주시
1129,(주)원흥 양주지점,1688,현대오일뱅크,Y,경기 양주시 평화로 1107 (산북동),양주시
1130,고읍주유소,1698,GS칼텍스,Y,경기 양주시 부흥로 1941 (광사동),양주시
1131,(주)서울에너지 하늘주유소,1698,현대오일뱅크,Y,경기 양주시 평화로 1772 (회정동),양주시
1132,동일석유(주) 덕정IC주유소,1698,SK에너지,Y,경기 양주시 평화로 1803,양주시
1133,회천주유소,1698,S-OIL,N,경기 양주시 평화로 1505 (덕계동),양주시
1134,킹콩주유소,1698,현대오일뱅크,N,경기 양주시 고덕로 304 (고읍동),양주시
1135,서울주유소,1698,현대오일뱅크,Y,경기 양주시 고읍로 146,양주시
1136,(주)어하둥둥알뜰주유소,1698,알뜰주유소,Y,경기 양주시 부흥로 1300,양주시
1137,사랑주유소,1698,현대오일뱅크,Y,경기 양주시 백석읍 부흥로 991,양주시
1138,남방셀프주유소,1699,현대오일뱅크,Y,경기 양주시 녹양로 221 (남방동),양주시
1139,사과나무주유소/충전소,1711,SK에너지,Y,경기 양주시 부흥로 1881 (광사동),양주시
1140,하나셀프주유소,1713,S-OIL,Y,경기 양주시 백석읍 부흥로 1024,양주시
1141,로뎀에너지(주) 광사IC주유소,1719,S-OIL,Y,경기 양주시 부흥로 1848,양주시
1142,하나주유소,1725,현대오일뱅크,N,경기 양주시 남면 화합로 591,양주시
1143,상수주유소,1727,S-OIL,Y,경기 양주시 남면 감악산로 107,양주시
1144,우리주유소,1728,S-OIL,Y,경기 양주시 평화로 1381,양주시
1145,트로이목마주유소,1729,현대오일뱅크,N,경기 양주시 양주산성로 244 (어둔동),양주시
1146,유양주유소,1729,GS칼텍스,N,경기 양주시 부흥로1398번길 102 (유양동),양주시
1147,대경주유소,1729,SK에너지,N,경기 양주시 광적면 부흥로 844,양주시
1148,광적주유소,1733,S-OIL,Y,경기 양주시 광적면 부흥로 917,양주시
1149,은현농협 에너지주유소,1735,NH-OIL,Y,경기 양주시 은현면 화합로 1148,양주시
1150,은현농협클린주유소,1735,NH-OIL,Y,경기 양주시 은현면 은현로 1148,양주시
1151,회천농협클린주유소,1735,NH-OIL,Y,경기 양주시 평화로 1851,양주시
1152,양주제일주유소,1739,현대오일뱅크,N,경기 양주시 부흥로 1820 (광사동),양주시
1153,지에스칼텍스㈜ 함박주유소,1740,GS칼텍스,N,경기 양주시 평화로 1820,양주시
1154,금강주유소,1743,S-OIL,Y,경기 양주시 부흥로 1643,양주시
1155,셀프제일주유소,1743,알뜰주유소,Y,경기 양주시 장흥면 권율로 111,양주시
1156,산북주유소,1748,SK에너지,Y,경기 양주시 평화로 1309,양주시
1157,백석주유소,1748,SK에너지,N,경기도 양주시 백석읍 부흥로 1126 (백석읍),양주시
1158,(주)삼우 양주지점,1748,SK에너지,Y,경기 양주시 백석읍 중앙로 308,양주시
1159,백석중앙주유소,1749,현대오일뱅크,N,경기 양주시 백석읍 중앙로 246,양주시
1160,복지주유소,1754,SK에너지,N,경기 양주시 백석읍 중앙로 175,양주시
1161,오남주유소,1757,SK에너지,N,경기 양주시 백석읍 권율로 1072,양주시
1162,KH에너지(주)직영 맑은샘주유소,1757,SK에너지,Y,경기 양주시 장흥면 호국로 777,양주시
1163,고개로주유소,1758,SK에너지,N,경기 양주시 광적면 그루고개로 89,양주시
1164,태영주유소,1759,자가상표,N,경기 양주시 백석읍 월암로 208,양주시
1165,대경석유(주)남경주유소,1766,GS칼텍스,Y,경기 양주시 평화로 2023,양주시
1166,은현IC주유소,1767,GS칼텍스,Y,경기 양주시 은현면 선하로 96,양주시
1167,효성셀프주유소,1768,SK에너지,Y,경기 양주시 백석읍 권율로 1297,양주시
1168,에이치디에너지 양주지점주유소,1769,GS칼텍스,N,경기 양주시 장흥면 일영로 746,양주시
1169,해동주유소,1770,현대오일뱅크,Y,경기 양주시 장흥면 일영로 545,양주시
1170,장흥농협주유소,1772,NH-OIL,Y,경기 양주시 장흥면 호국로 183,양주시
1171,오산주유소,1778,SK에너지,N,경기 양주시 백석읍 중앙로 210,양주시
1172,현학주유소,1778,SK에너지,N,경기 양주시 장흥면 호국로 674,양주시
1173,천마주유소,1779,S-OIL,N,경기 양주시 부흥로 1317,양주시
1174,행복주유소,1785,GS칼텍스,N,경기 양주시 은현면 화합로 749,양주시
1175,상생주유소,1787,GS칼텍스,N,경기 양주시 화합로 1291 (덕정동),양주시
1176,양주농협클린주유소,1795,NH-OIL,Y,경기 양주시 고덕로 274,양주시
1177,태양주유소,1795,GS칼텍스,Y,경기 양주시 남면 삼일로 457,양주시
1178,광남주유소,1797,SK에너지,N,경기 양주시 남면 삼일로 366,양주시
1179,태광주유소,1798,SK에너지,N,경기 양주시 백석읍 부흥로 439,양주시
1180,가야주유소,1798,현대오일뱅크,N,경기 양주시 백석읍 양주산성로 501,양주시
1181,KH에너지㈜직영 양주주유소(일산방향),1798,SK에너지,N,경기 양주시 장흥면 수도권제1순환고속도로 58,양주시
1182,명성주유소,1798,현대오일뱅크,N,경기 양주시 칠봉산로 403-16 (봉양동),양주시
1183,지에스칼텍스㈜ 양주신도시주유소,1799,GS칼텍스,Y,경기 양주시 부흥로 2305,양주시
1184,SK조광셀프주유소,1799,SK에너지,Y,경기 양주시 백석읍 권율로 1375,양주시
1185,지에스칼텍스㈜ 양주센트럴파크주유소,1799,GS칼텍스,Y,경기 양주시 옥정로 74,양주시
1186,오봉주유소,1799,SK에너지,N,경기 양주시 장흥면 북한산로 900-14,양주시
1187,오륜에너지,1799,SK에너지,Y,경기 양주시 광적면 현석로 768,양주시
1188,남면주유소,1799,S-OIL,Y,경기 양주시 남면 감악산로 373,양주시
1189,경진주유소,1799,S-OIL,N,경기 양주시 백석읍 중앙로 261,양주시
1190,지에스칼텍스㈜ 옥정주유소,1799,GS칼텍스,N,경기 양주시 부흥로 2214,양주시
1191,석우리주유소,1799,S-OIL,N,경기 양주시 광적면 광적로 192,양주시
