,상호,휘발유,상표,셀프여부,주소,시
1062,백운봉주유소,1746,SK에너지,N,경기 양평군 양평읍 경강로 2209,양평군
1063,용문주유소,1747,S-OIL,N,경기 양평군 용문면 경강로 3299,양평군
1064,평화주유소,1747,현대오일뱅크,N,경기 양평군 청운면 경강로 4089,양평군
1065,평송단월주유소,1747,GS칼텍스,Y,경기 양평군 단월면 경강로 3433,양평군
1066,다대주유소,1747,SK에너지,Y,경기 양평군 청운면 설악로 249,양평군
1067,정품셀프주유소,1748,SK에너지,Y,경기 양평군 용문면 경강로 3286,양평군
1068,양평프라자주유소,1752,SK에너지,Y,경기 양평군 옥천면 경강로 1422,양평군
1069,남선석유(주) 라피네주유소,1752,S-OIL,Y,경기도 양평군 양평읍 경강로 1747,양평군
1070,강가주유소,1752,알뜰주유소,Y,경기 양평군 양평읍 경강로 1638,양평군
1071,대명주유소,1753,SK에너지,N,경기 양평군 단월면 경강로 3695,양평군
1072,여기가좋겠네주유소,1754,현대오일뱅크,Y,경기 양평군 용문면 경강로 2758-1,양평군
1073,지평주유소,1760,현대오일뱅크,N,경기 양평군 지평면 지평로 239,양평군
1074,승리주유소,1764,SK에너지,N,경기 양평군 양평읍 경강로 1580,양평군
1075,홍영주유소,1765,SK에너지,N,경기 양평군 옥천면 경강로 1511,양평군
1076,우성주유소,1765,현대오일뱅크,N,경기도 양평군 개군로 320,양평군
1077,중앙에너비스 양평지점,1768,SK에너지,Y,경기 양평군 양서면 경강로 962,양평군
1078,(주)태양주유소,1768,GS칼텍스,N,경기 양평군 양평읍 양근로 316,양평군
1079,일흥주유소,1769,S-OIL,N,경기 양평군 양서면 경강로 1196,양평군
1080,쌍둥이주유소,1769,S-OIL,Y,경기 양평군 양서면 경강로 1197,양평군
1081,남한강주유소,1770,GS칼텍스,N,경기 양평군 양평읍 양근로 17,양평군
1082,비에스플랜 광탄주유소,1778,현대오일뱅크,Y,경기 양평군 용문면 용문로 794,양평군
1083,강하주유소,1779,S-OIL,N,경기 양평군 강하면 강남로 289,양평군
1084,신청운주유소,1779,현대오일뱅크,N,경기 양평군 청운면 용두로 81,양평군
1085,부르릉주유소,1788,SK에너지,N,경기 양평군 개군면 개군로 135,양평군
1086,(주)한강주유소,1788,S-OIL,N,경기 양평군 개군면 여양로 2140,양평군
1087,대성주유소,1789,SK에너지,N,경기 양평군 강상면 강남로 682,양평군
1088,단월주유소,1789,SK에너지,N,경기 양평군 단월면 단월로 59,양평군
1089,양평주유소,1790,SK에너지,Y,경기 양평군 양평읍 양근로 82,양평군
1090,양동농협주유소,1790,NH-OIL,N,경기 양평군 양동면 여양3로 661,양평군
1091,(주)참조은에너지 민기주유소,1795,현대오일뱅크,N,경기 양평군 지평면 지평로 946,양평군
1092,구도일주유소양서,1795,S-OIL,N,경기 양평군 양서면 경강로 973,양평군
1093,개군농협주유소,1795,NH-OIL,N,경기 양평군 개군면 여양로 2215,양평군
1094,양서제일주유소,1797,S-OIL,N,경기 양평군 양서면 목왕로 681,양평군
1095,양평휴게주유소(서울방향),1797,SK에너지,N,경기 양평군 양동면 여양3로 384-27,양평군
1096,양평휴게주유소(원주방향),1797,SK에너지,N,경기 양평군 양동면 송석2길 52,양평군
1097,강남주유소,1798,SK에너지,N,경기 양평군 강하면 강남로 78,양평군
1098,차차차주유소,1798,S-OIL,N,경기 양평군 청운면 설악로 479,양평군
1099,백안주유소,1798,S-OIL,N,경기 양평군 양평읍 중앙로 259,양평군
1100,양평농협 강상주유소,1799,NH-OIL,N,경기 양평군 강상면 느티나무1길 5,양평군
1101,양평농협 옥천주유소,1799,NH-OIL,N,경기 양평군 옥천면 마유산로 454,양평군
1102,양평농협주유소,1799,NH-OIL,N,경기 양평군 양평읍 중앙로 178,양평군
1103,서종온누리주유소,1799,S-OIL,Y,경기 양평군 서종면 북한강로 676,양평군
