,상호,휘발유,상표,셀프여부,주소,시
981,서여주(창원방향)주유소,1699,알뜰(ex),N,경기 여주시 능서면 중부내륙고속도로 271,여주시
982,서여주(양평방향)주유소/충전소,1699,알뜰(ex),N,경기 여주시 능서면 중부내륙고속도로 272,여주시
983,씨앤에스에너지㈜ 여주(인천방향)주유소/충전소,1715,알뜰(ex),Y,경기 여주시 가남읍 화평길 116,여주시
984,여주(강릉방향)주유소/충전소,1725,알뜰(ex),Y,경기 여주시 가남읍 여주남로 722,여주시
985,㈜두드림주유소,1733,알뜰주유소,Y,경기 여주시 여주남로 377,여주시
986,행복주유소,1734,SK에너지,Y,경기 여주시 가남읍 경충대로 980,여주시
987,가남현대주유소,1735,현대오일뱅크,Y,경기 여주시 가남읍 경충대로 1520,여주시
988,신해주유소,1735,현대오일뱅크,Y,경기도 여주시 가남읍 경충대로 1490,여주시
989,남강주유소,1735,S-OIL,N,경기 여주시 가남읍 경충대로 1040,여주시
990,(주)따스한놈들 여주지점,1735,S-OIL,Y,경기 여주시 가남읍 경충대로 1477,여주시
992,성신주유소,1739,SK에너지,Y,경기 여주시 가남읍 경충대로 1394,여주시
993,대신주유소,1740,SK에너지,Y,경기 여주시 대신면 여양1로 527,여주시
995,덕평알뜰주유소,1758,알뜰주유소,Y,경기 여주시 점동면 장여로 931,여주시
996,현대오일뱅크㈜직영 교리주유소,1758,현대오일뱅크,N,경기 여주시 세종로 315,여주시
997,알뜰한빛주유소,1768,알뜰주유소,Y,경기 여주시  영릉로 38,여주시
998,연세석유여주셀프주유소,1769,GS칼텍스,Y,경기 여주시 신륵로 164,여주시
999,내산주유소,1770,GS칼텍스,N,경기 여주시 대신면 여양로 1678,여주시
1000,여주농협클린주유소,1779,NH-OIL,Y,경기 여주시 세종로 421-7,여주시
1001,우진주유소,1779,SK에너지,N,경기 여주시 신륵로 200 (오학동),여주시
1002,동서울주유소,1788,S-OIL,N,경기도 여주시 점동면 장여로 871,여주시
1003,태평주유소,1789,SK에너지,N,경기 여주시 가남읍 경충대로 1350,여주시
1004,SK에너지(주) 터미널주유소,1789,SK에너지,N,경기 여주시 세종로 129,여주시
1005,여주남송주유소,1789,SK에너지,Y,경기 여주시 세종로 366,여주시
1006,세경주유소,1795,현대오일뱅크,N,경기 여주시 가남읍 경충대로 1130,여주시
1007,남한강주유소,1795,S-OIL,N,경기 여주시 세종로 432,여주시
1008,(주)조은에너지 예솔주유소,1795,현대오일뱅크,N,경기 여주시 대신면 여양1로 104,여주시
1009,코리아주유소,1795,GS칼텍스,Y,경기 여주시 대신면 여양로 2012,여주시
1010,(주)참조은에너지 초현주유소,1795,현대오일뱅크,N,경기 여주시 대신면 대신1로 186,여주시
1011,북여주IC주유소,1798,SK에너지,Y,경기 여주시 흥천면 이여로 1067,여주시
1012,대림주유소,1798,알뜰주유소,Y,경기 여주시 금사면 금품1로 436,여주시
1013,능서주유소/충전소,1798,S-OIL,N,경기 여주시 능서면 중부대로 2171,여주시
1014,(주)보문석유주유소,1799,SK에너지,Y,경기 여주시 여양로 208(천송동),여주시
1015,원창주유소,1799,S-OIL,N,경기 여주시 점동면 청안로 1,여주시
