,상호,휘발유,상표,셀프여부,주소,시
957,오성상사(주),1765,GS칼텍스,Y,경기 연천군 청산면 평화로 291,연천군
958,(주)금강산 궁평지점,1765,SK에너지,Y,경기 연천군 청산면 동서로 1883,연천군
959,전곡농협 백학주유소,1765,NH-OIL,Y,경기 연천군 백학면 청정로 516-1,연천군
960,전곡농협주유소,1765,NH-OIL,Y,경기 연천군 전곡읍 평화로 557,연천군
961,원에너지(주) 통일주유소,1765,SK에너지,N,경기 연천군 평화로 902,연천군
962,믿음주유소,1775,S-OIL,Y,경기 연천군 전곡읍 양연로 1140,연천군
963,임진농협 진상지점주유소,1785,S-OIL,Y,경기 연천군 군남면 군남로 128,연천군
964,KH에너지(주) 초성주유소,1795,SK에너지,N,경기도 연천군 청산면 평화로 187,연천군
965,임진강주유소,1795,S-OIL,N,경기 연천군 군남면 청정로 1992,연천군
966,연천제일주유소,1795,알뜰주유소,N,경기 연천군 연천읍 연신로 670,연천군
