,상호,휘발유,상표,셀프여부,주소,시
882,차사랑주유소,1731,알뜰주유소,Y,경기 오산시 경기대로 296 (오산동),오산시
883,세일석유(주) 삼화주유소,1735,S-OIL,Y,경기 오산시 경기대로 692,오산시
884,(주)세정석유,1735,S-OIL,Y,경기 오산시 청학로 64 (청학동),오산시
885,대명에너지세교셀프직영점,1735,현대오일뱅크,Y,경기 오산시 경기대로 491 (수청동),오산시
886,거창주유소,1745,현대오일뱅크,N,경기 오산시 발안로 1252 (벌음동),오산시
887,해솔셀프주유소,1745,현대오일뱅크,Y,경기 오산시 경기대로 587,오산시
888,우영주유소,1746,현대오일뱅크,Y,경기도 오산시  가장로 524 (남촌동),오산시
889,㈜다원에너지직영 영일주유소,1746,현대오일뱅크,Y,경기 오산시 남부대로 354 (원동),오산시
890,한일주유소,1746,현대오일뱅크,N,경기 오산시 원동로 47 (원동),오산시
891,하하하주유소,1747,현대오일뱅크,Y,경기 오산시  경기대로 140 (원동),오산시
892,SK에너지(주)운암뜰주유소,1749,SK에너지,N,경기 오산시 경기대로 317 (오산동),오산시
893,오산주유소,1749,GS칼텍스,N,경기 오산시 경기대로 437 (수청동),오산시
894,현대오일뱅크㈜직영 남촌주유소,1753,현대오일뱅크,N,경기 오산시 청학로 4 (가수동),오산시
895,까막셀프주유소,1755,현대오일뱅크,Y,경기 오산시 남부대로 40,오산시
896,오산물류주유소,1756,현대오일뱅크,N,경기 오산시 오산로 129,오산시
897,대복제2주유소,1768,현대오일뱅크,Y,경기 오산시 남부대로 511 (고현동),오산시
898,SK에너지(주)북오산Self주유소,1769,SK에너지,Y,경기 오산시 문시로 120,오산시
899,삼미그린주유소,1769,GS칼텍스,Y,경기 오산시 경기대로 682,오산시
900,오산삼미주유소,1771,GS칼텍스,Y,경기 오산시 경기대로 721 (내삼미동),오산시
901,현대오일뱅크㈜직영 오산세교셀프주유소,1773,현대오일뱅크,Y,경기 오산시 경기대로 876 (세교동),오산시
902,상봉주유소,1774,S-OIL,Y,경기 오산시 서동로 111,오산시
903,현대오일뱅크㈜직영 서동탄셀프주유소,1774,현대오일뱅크,Y,경기 오산시 문시로 127 (외삼미동),오산시
904,(주)원창경성주유소,1775,S-OIL,Y,경기 오산시 경기대로 69 (갈곶동),오산시
905,두꺼비주유소,1778,GS칼텍스,Y,경기 오산시 독산성로 350,오산시
906,KH에너지㈜직영 오산(과천방향)주유소,1797,SK에너지,N,경기 오산시 수도권제2순환고속도로 13,오산시
907,KH에너지㈜직영 오산(동탄방향)주유소,1797,SK에너지,N,경기 오산시 수도권제2순환고속도로 14,오산시
908,동산주유소,1799,S-OIL,N,경기 오산시 오산천로 3-5 (갈곶동),오산시
