,상호,휘발유,상표,셀프여부,주소,시
496,나이스주유소,1719,S-OIL,Y,경기 용인시 처인구 백옥대로 1011,용인시
497,채움셀프주유소,1719,현대오일뱅크,Y,경기 용인시 처인구 백옥대로 959 (남동),용인시
498,슈퍼맨주유소(주),1719,알뜰주유소,Y,경기 용인시 처인구 원삼면 죽양대로 2287,용인시
499,오일스타(주)경기남부지점,1719,자가상표,Y,경기 용인시 처인구 중부대로 1653 (마평동),용인시
500,서창산업(주) 용인(강릉방향)주유소/충전소,1720,알뜰(ex),Y,경기 용인시 처인구 양지면 주북로94번길 30,용인시
501,서창산업(주) 용인(인천방향)주유소/충전소,1720,알뜰(ex),Y,경기 용인시 처인구 주북로 66-16 (고림동),용인시
502,현대오일뱅크(주)직영 성산주유소,1722,현대오일뱅크,N,경기 용인시 처인구 중부대로 983 (삼가동),용인시
503,남사대로주유소,1725,GS칼텍스,Y,경기 용인시 처인구 남사읍 용구대로 202,용인시
504,CJ대한통운㈜ 남사IC주유소,1725,S-OIL,Y,경기 용인시 처인구 남사면 용구대로 470,용인시
505,용인대주유소,1729,현대오일뱅크,Y,경기 용인시 처인구 이동읍 백자로 152,용인시
506,백암셀프주유소,1729,SK에너지,Y,경기 용인시 처인구 백암면 죽양대로 1454,용인시
507,한숲시티주유소,1733,S-OIL,N,경기 용인시 처인구 남사면 처인성로 912,용인시
508,포곡농협가득채움주유소,1733,NH-OIL,Y,경기 용인시 처인구 포곡읍 석성로 871,용인시
509,세종주유소,1734,SK에너지,N,경기 용인시 처인구 이동면 백자로 81,용인시
510,주식회사 시헌 STAY 365,1738,SK에너지,Y,경기 용인시 처인구 남사읍 처인성로 973,용인시
511,SK에너지(주) 양지IC주유소,1739,SK에너지,N,경기 용인시 처인구 양지면 죽양대로 2294,용인시
512,그린주유소,1744,S-OIL,Y,경기 용인시 처인구 양지면 죽양대로2016번길 2,용인시
513,동림셀프주유소,1744,S-OIL,Y,경기 용인시 처인구 양지면 중부대로 1955,용인시
514,지에스칼텍스(주)남동주유소,1745,GS칼텍스,N,경기 용인시 처인구 백옥대로 993 (남동),용인시
515,㈜교촌에너지 강소주유소,1745,S-OIL,Y,경기 용인시 처인구 남사면 경기동로 293,용인시
516,(주)삼원에너지,1745,GS칼텍스,Y,경기 용인시 처인구 백옥대로 980 (남동),용인시
517,SK선봉대주유소,1745,SK에너지,Y,경기 용인시 처인구 성산로 153,용인시
518,현대오일뱅크(주)용덕셀프주유소,1745,현대오일뱅크,Y,경기 용인시 처인구 백옥대로 1002(남동),용인시
519,현대오일뱅크㈜직영 백암주유소,1749,현대오일뱅크,N,경기 용인시 처인구 백암면 죽양대로 1399,용인시
520,현대오일뱅크㈜직영 에버랜드주유소,1754,현대오일뱅크,N,경기 용인시 처인구 포곡읍 에버랜드로 184,용인시
521,은화삼주유소,1756,현대오일뱅크,N,경기 용인시 처인구 이동면 백옥대로 826,용인시
522,경동알뜰주유소,1759,알뜰주유소,Y,경기 용인시 처인구 중부대로 1622 (마평동),용인시
523,원삼농협 클린주유소,1764,NH-OIL,N,경기 용인시 처인구 원삼면 죽양대로 1626번길 5,용인시
524,원삼그린주유소,1765,SK에너지,Y,경기 용인시 처인구 원삼면 보개원삼로 1852,용인시
525,(주)한결에너지 한결주유소,1765,GS칼텍스,Y,경기 용인시 처인구 중부대로 1201 (삼가동),용인시
526,우리주유소,1765,SK에너지,Y,경기 용인시 처인구 중부대로 1255,용인시
527,묵리주유소,1765,현대오일뱅크,N,경기 용인시 처인구 이동면 이원로384번길 1,용인시
528,송담주유소,1766,현대오일뱅크,N,경기 용인시 처인구 동부로 120 (운학동),용인시
529,양지하이웨이주유소,1768,GS칼텍스,N,경기 용인시 처인구 양지면 중부대로 2667,용인시
530,남사농업협동조합,1769,NH-OIL,Y,경기도 용인시 처인구 남사면 처인성로185번길 11,용인시
531,계성주유소,1769,현대오일뱅크,N,경기 용인시 처인구 양지면 남평로 283,용인시
532,에이제이에너지(주)직영양지고속주유소,1770,현대오일뱅크,Y,경기 용인시 처인구 양지면 중부대로 2247,용인시
533,알찬주유소,1774,GS칼텍스,N,경기 용인시 처인구  중부대로 1764 (마평동),용인시
534,현대오일뱅크(주)직영 양지블루주유소,1774,현대오일뱅크,N,경기 용인시 처인구 양지면 죽양대로 2210,용인시
535,(주)경원네트웍스 경원주유소,1774,GS칼텍스,N,경기 용인시 처인구 양지면 중부대로 1946,용인시
536,현대오일뱅크㈜직영 마평현대셀프주유소,1777,현대오일뱅크,Y,경기 용인시 처인구 중부대로 1560 (마평동),용인시
537,동일주유소,1778,SK에너지,N,경기 용인시 처인구 양지면 중부대로 2533,용인시
538,지에스칼텍스㈜직영 에이펙스주유소,1779,GS칼텍스,N,경기 용인시 처인구 이동면 남북대로 2617,용인시
539,진목주유소,1785,SK에너지,N,경기 용인시 처인구 남사면 천덕산로 321,용인시
540,컨트리주유소,1785,SK에너지,N,경기 용인시 처인구 남사면 경기동로 9,용인시
541,운학주유소,1786,알뜰주유소,N,경기 용인시 처인구 동부로 348 (운학동),용인시
542,㈜에버에너지(갈담주유소),1787,알뜰주유소,Y,경기 용인시 처인구 모현면 백옥대로 2177,용인시
543,현대오일뱅크㈜직영 용인IC셀프주유소,1789,현대오일뱅크,Y,경기 용인시 처인구 백옥대로 1410,용인시
544,대종주유소,1789,현대오일뱅크,Y,경기도 용인시 처인구 양지면 중부대로 1869,용인시
545,(주)진미선산업 더마니주유소,1789,현대오일뱅크,N,경기 용인시 처인구 중부대로 1753 (마평동),용인시
546,남사원주유소,1793,S-OIL,Y,경기 용인시 처인구 남사면 천덕산로 396,용인시
547,광양주유소,1794,GS칼텍스,Y,경기 용인시 처인구 백암면 죽양대로 1447,용인시
548,백봉주유소,1795,현대오일뱅크,N,경기 용인시 처인구 백암면 백암로 23,용인시
549,레이크주유소,1795,자가상표,N,경기 용인시 처인구 모현면 대지로 455,용인시
550,산정주유소,1795,자가상표,N,경기 용인시 처인구 모현면 백옥대로 2098,용인시
551,SK 협진주유소,1795,SK에너지,N,경기 용인시 처인구 송담로 47 (마평동),용인시
552,양지현대주유소,1795,현대오일뱅크,N,경기 용인시 처인구 양지면 중부대로 2608,용인시
553,해야주유소,1796,SK에너지,N,경기 용인시 처인구 원삼면 동부로 1204,용인시
554,새봄주유소,1797,현대오일뱅크,N,경기 용인시 처인구 양지면 주북로 1,용인시
555,만남주유소,1798,SK에너지,Y,경기 용인시 처인구 모현면 백옥대로 2322,용인시
556,산수주유소,1798,현대오일뱅크,N,경기 용인시 처인구 이동면 경기동로 862,용인시
557,남사IC주유소,1798,현대오일뱅크,N,경기 용인시 처인구 이동면 어진로 637,용인시
558,천우제일주유소,1798,SK에너지,N,경기 용인시 처인구 금령로 176 (마평동),용인시
559,대원주유소,1799,SK에너지,N,경기 용인시 처인구 백옥대로 1229 (유방동),용인시
560,에스엠에너지직영 둔전셀프주유소,1799,현대오일뱅크,Y,경기 용인시 처인구 포곡읍 포곡로 177,용인시
