,상호,휘발유,상표,셀프여부,주소,시
471,지지대셀프주유소,1735,SK에너지,Y,경기 의왕시 경수대로 112 (왕곡동),의왕시
472,의왕청계주유소,1739,현대오일뱅크,N,경기 의왕시 안양판교로 476 (청계동),의왕시
473,HG에너지(주)대원주유소,1747,SK에너지,Y,경기 의왕시 경수대로 215 (고천동),의왕시
474,행운주유소,1753,GS칼텍스,Y,경기 의왕시 덕영대로 171 (삼동),의왕시
475,현대오일뱅크(주)직영 의왕셀프주유소,1753,현대오일뱅크,Y,경기 의왕시 오봉로 182 (부곡동),의왕시
476,현대오일뱅크(주)직영 부곡셀프주유소,1753,현대오일뱅크,Y,경기 의왕시 철도박물관로 14,의왕시
477,씨앤에스유통(주)구도일주유소대림,1755,S-OIL,N,경기 의왕시 경수대로 300 (오전동),의왕시
478,서일석유(주)열린스타주유소,1757,GS칼텍스,Y,경기 의왕시 모락로 117,의왕시
479,평촌주유소,1757,S-OIL,Y,경기도 의왕시  갈미로 2 (내손동),의왕시
480,현대주유소,1767,SK에너지,Y,경기 의왕시 경수대로 347 (오전동),의왕시
481,(주)의왕ICD주유소,1770,GS칼텍스,Y,경기 의왕시 창말로 39 (이동),의왕시
482,현대오일뱅크(주) 판교현대주유소,1779,현대오일뱅크,N,"경기 의왕시 안양판교로 448,  (청계동)",의왕시
483,산뜻주유소,1795,S-OIL,N,경기도 의왕시 고산로 65 (고천동),의왕시
484,KH에너지(주)직영 의왕주유소(서울방향),1798,SK에너지,N,경기 의왕시 오전로 24,의왕시
485,KH에너지(주)직영 의왕주유소(의왕방향),1798,SK에너지,N,경기 의왕시 오전로 24,의왕시
486,오전주유소,1798,GS칼텍스,N,경기 의왕시 백운로 62(오전동),의왕시
487,SK청계주유소,1799,SK에너지,Y,경기 의왕시 민백길 1 (내손동),의왕시
