,상호,휘발유,상표,셀프여부,주소,시
430,훼미리주유소,1653,자가상표,Y,경기 의정부시 송산로 970 (산곡동),의정부시
431,이케이에너지㈜ 바다주유소,1653,현대오일뱅크,Y,경기 의정부시 시민로 367,의정부시
432,훼미리제2주유소,1653,자가상표,N,경기 의정부시 동일로 207 (장암동),의정부시
433,흥산에너지,1653,알뜰주유소,Y,경기 의정부시 금신로 91 (신곡동),의정부시
434,케이에이치에너지(주)신곡주유소,1653,SK에너지,N,경기 의정부시 금신로 153 (신곡동),의정부시
435,구도일주유소 의정부,1653,S-OIL,Y,경기 의정부시 시민로 213 (신곡동),의정부시
436,(주)유성주유소,1698,SK에너지,Y,경기 의정부시 송산로 913 (산곡동),의정부시
437,한신주유소,1698,GS칼텍스,Y,경기 의정부시 시민로 473 (용현동),의정부시
438,신화에너지 제일주유소,1719,자가상표,Y,경기 의정부시 호국로 1618 (금오동),의정부시
439,씨앤에스유통㈜ 장암IC주유소,1725,S-OIL,N,경기 의정부시 금신로 30 (신곡동),의정부시
440,원에너지(주) 호원주유소,1735,SK에너지,Y,경기 의정부시 평화로 10,의정부시
441,(주)해성에너지,1735,S-OIL,Y,경기 의정부시 평화로 593 (의정부동),의정부시
442,고산셀프주유소,1739,SK에너지,Y,경기 의정부시 문충로 332,의정부시
443,유풍셀프주유소,1739,현대오일뱅크,Y,경기 의정부시 용민로 293,의정부시
444,법원셀프주유소,1739,SK에너지,Y,경기 의정부시 녹양로 5 (가능동),의정부시
445,장암주유소,1741,자가상표,Y,경기 의정부시 동일로 30 (장암동),의정부시
446,미래주유소,1757,SK에너지,Y,경기 의정부시 동일로 492 (신곡동),의정부시
447,착한주유소,1759,현대오일뱅크,Y,경기 의정부시 호국로 1097,의정부시
448,(주)창우이엔지 박리다매주유소,1768,GS칼텍스,N,경기 의정부시 시민로 284,의정부시
449,지에스칼텍스㈜ 이마트의정부점,1768,GS칼텍스,Y,경기 의정부시 민락로 214,의정부시
450,삼미상사(주) 호국셀프주유소,1768,SK에너지,Y,경기 의정부시 호국로 1042 (가능동),의정부시
451,지에스칼텍스㈜의정부주유소,1792,GS칼텍스,Y,경기 의정부시 평화로 697,의정부시
452,현대오일뱅크㈜직영 민락셀프주유소,1792,현대오일뱅크,Y,경기 의정부시 충의로 91 (용현동),의정부시
453,서원에너지,1795,GS칼텍스,N,경기 의정부시 호국로 1844 (자일동),의정부시
454,은하주유소,1795,현대오일뱅크,Y,경기 의정부시 호국로 1696 (자일동),의정부시
455,축석주유소,1795,GS칼텍스,Y,경기 의정부시 호국로 1755 (자일동),의정부시
456,지에스칼텍스㈜직영 송산주유소,1797,GS칼텍스,Y,경기 의정부시 충의로 94 (용현동),의정부시
457,민락주유소,1798,SK에너지,Y,경기 의정부시 민락로 403,의정부시
