,상호,휘발유,상표,셀프여부,주소,시
321,서창산업(주)이천(하)주유소,1720,알뜰(ex),Y,경기 이천시 마장면 중부대로609번길 244-35,이천시
322,(주)영화에너지,1725,현대오일뱅크,N,경기 이천시 대월면 경충대로 1597,이천시
323,대보건설㈜이천(하남)주유소/충전소,1729,알뜰(ex),Y,경기 이천시 신둔면 서이천로853번길 346-129,이천시
324,설봉주유소,1733,S-OIL,Y,경기 이천시 경충대로 2531 (진리동),이천시
325,고담주유소,1733,알뜰주유소,Y,경기 이천시 진상미로 2168 (고담동),이천시
326,이천하이테크주유소,1734,SK에너지,Y,경기 이천시 설성면 서동대로 8219,이천시
327,명품에너지(주)마장셀프주우소,1734,SK에너지,Y,경기 이천시 마장면 중부대로 88,이천시
328,이포에너지㈜ 일품주유소,1734,현대오일뱅크,Y,경기 이천시 중부대로 644,이천시
329,이천 강가주유소/충전소,1734,알뜰주유소,Y,경기 이천시 부발읍 중부대로 1782,이천시
330,(주)GS파트너주유소,1735,GS칼텍스,Y,경기 이천시 호법면 중부대로 908-3,이천시
331,금강주유소,1735,현대오일뱅크,Y,경기 이천시 진상미로 1752,이천시
332,마장주유소,1735,SK에너지,N,경기 이천시 마장면 서이천로 564,이천시
333,동산주유소,1735,현대오일뱅크,Y,경기 이천시 장호원읍 경충대로 590,이천시
334,대보에너지㈜행운을주는주유소,1735,SK에너지,Y,경기 이천시 호법면 중부대로 915,이천시
335,(주)스카이에너지,1743,현대오일뱅크,Y,경기 이천시 경충대로 2902 (사음동),이천시
336,씨앤에프주유소,1745,S-OIL,N,경기 이천시 부발읍 경충대로 1922,이천시
337,오늘주유소 고백점,1745,현대오일뱅크,Y,경기 이천시 부발읍 중부대로 2033,이천시
338,넘버원주유소,1745,S-OIL,Y,경기 이천시 백사면 이여로 388,이천시
339,쉼터주유소,1745,S-OIL,Y,경기 이천시 부발읍 경충대로 1821,이천시
340,(주)오늘에이엠씨 오늘주유소 아미점,1745,현대오일뱅크,Y,경기 이천시 대월면 경충대로 1960,이천시
341,제이앤비코리아(주)미래주유소,1745,현대오일뱅크,Y,경기 이천시 이섭대천로 1367,이천시
342,이천고속주유소,1753,S-OIL,Y,경기 이천시 경충대로 2940 (사음동),이천시
343,수경주유소,1755,S-OIL,Y,경기 이천시 이섭대천로 1324 (증포동),이천시
344,(주)싸이먼(이천)주유소,1755,SK에너지,Y,경기 이천시 진상미로 1848,이천시
345,한길주유소,1755,SK에너지,Y,경기 이천시 증신로 42,이천시
346,(주)교촌에너지 이천지점,1755,S-OIL,Y,경기 이천시 마장면 덕평로 1008,이천시
347,씨앤에스유통(주)이천주유소,1755,S-OIL,Y,경기 이천시 부발읍 경충대로 2268,이천시
348,한길송정주유소,1755,SK에너지,Y,경기도 이천시 황무로 746(송정동),이천시
349,광신직영(랜드마크셀프),1755,S-OIL,Y,경기 이천시 모가면 사실로 878,이천시
350,씨앤에스유통(주)구도일주유소전국,1755,S-OIL,N,경기 이천시 부발읍 경충대로 2315,이천시
351,한길설성주유소,1755,SK에너지,N,경기 이천시 설성면 진상미로 644,이천시
352,신하주유소,1755,GS칼텍스,Y,경기 이천시 부발읍 경충대로 2182,이천시
353,만남주유소,1758,현대오일뱅크,Y,경기 이천시 부발읍 중부대로 1500,이천시
354,갤러리주유소,1759,S-OIL,N,경기 이천시 부발읍 중부대로 1701-24,이천시
355,신원시엠주유소,1759,S-OIL,Y,경기 이천시 부발읍 중부대로 1921,이천시
356,호림주유소,1759,현대오일뱅크,N,경기 이천시 경충대로 2855,이천시
357,장호원관광주유소,1761,S-OIL,Y,경기 이천시 장호원읍 서동대로 8318,이천시
358,현대오일뱅크㈜직영 명품현대self주유소,1764,현대오일뱅크,Y,경기 이천시 부발읍 중부대로 2014 (부발읍),이천시
359,우리주유소,1764,S-OIL,N,경기 이천시 신둔면 경충대로 3282,이천시
360,삼미상사(주)이천마장셀프주유소,1765,SK에너지,Y,경기 이천시 마장면 중부대로 560,이천시
361,마장주유소,1765,현대오일뱅크,N,경기 이천시 마장면 중부대로 685,이천시
362,오일스토리 관리주유소,1765,현대오일뱅크,N,경기 이천시 마장면 마도로 263,이천시
363,두무재주유소,1766,SK에너지,N,경기 이천시 부발읍 중부대로 2042,이천시
364,(주)서희에너지,1769,현대오일뱅크,N,경기 이천시 서이천로 393,이천시
365,서진주유소,1775,SK에너지,N,경기 이천시 황무로 745 (송정동),이천시
366,삼성주유소,1777,SK에너지,N,경기 이천시 율면 일생로 851,이천시
367,(주)도예주유소,1778,SK에너지,N,경기 이천시 경충대로 3058 (사음동),이천시
368,SK글로벌주유소,1779,SK에너지,Y,경기 이천시 대산로 311,이천시
369,무촌주유소,1785,GS칼텍스,N,경기 이천시 부발읍 황무로 1279,이천시
370,주식회사로얄주유소,1789,GS칼텍스,N,경기 이천시 애련정로 13,이천시
371,대림주유소,1789,S-OIL,N,경기 이천시 장호원읍 장여로 361,이천시
372,설성농협주유소,1789,NH-OIL,N,경기 이천시 설성면 진상미로 690 (설성면),이천시
373,현대오일뱅크㈜직영 서이천주유소,1791,현대오일뱅크,N,경기 이천시 신둔면 서이천로 811,이천시
374,현대오일뱅크 신둔주유소,1791,현대오일뱅크,N,경기 이천시 신둔면 경충대로 3126,이천시
375,SK하이원주유소,1795,SK에너지,Y,경기 이천시 부발읍 경충대로 1679,이천시
376,장호원주유소,1798,GS칼텍스,Y,경기 이천시 장호원읍 서동대로 8420,이천시
377,상영주유소,1799,GS칼텍스,Y,경기 이천시 호법면 덕평로 225,이천시
378,부발농협주유소,1799,NH-OIL,N,경기 이천시 부발읍 무촌로 173,이천시
