,상호,휘발유,상표,셀프여부,주소,시
205,파주경인주유소,1713,SK에너지,Y,경기 파주시 조리읍 통일로 124,파주시
206,이케이에너지(주)파동주유소,1713,현대오일뱅크,Y,경기 파주시 통일로 645,파주시
207,일동주유소 기정에너지,1713,GS칼텍스,N,경기 파주시 조리읍 통일로 517,파주시
208,삼미상사(주)파주역셀프주유소,1713,SK에너지,Y,경기 파주시 파주읍 통일로 1116,파주시
209,수향셀프주유소,1713,SK에너지,Y,경기 파주시 법원읍 사임당로 680,파주시
210,파주아동주유소,1713,현대오일뱅크,Y,경기 파주시 통일로 630,파주시
211,연세에너지(주),1715,GS칼텍스,Y,경기 파주시 월롱면 엘지로 185,파주시
212,용미self주유소,1715,현대오일뱅크,Y,경기 파주시 광탄면 혜음로 396,파주시
213,헤이리주유소,1715,현대오일뱅크,Y,경기 파주시 탄현면 평화로 809,파주시
214,㈜디오티디 파주마징가주유소,1715,SK에너지,Y,경기 파주시 월롱면 엘지로 105,파주시
215,(주)디오티디 파주태권브이주유소,1715,SK에너지,Y,경기 파주시 평화로 128 (금촌동),파주시
216,조인에너지셀프야동점,1715,GS칼텍스,Y,경기 파주시 창곡동길 27 (야동동),파주시
217,한성제1주유소,1718,현대오일뱅크,N,경기 파주시 탄현면 엘지로 639,파주시
218,가원주유소,1718,SK에너지,Y,경기 파주시 탄현면 엘지로 635,파주시
219,삼일주유소,1719,현대오일뱅크,N,경기 파주시 문산읍 문향로 29,파주시
220,명품주유소 기정에너지,1720,GS칼텍스,N,경기 파주시 금월로 130 (야동동 14번지),파주시
221,(주)삼호에너지 행복나라주유소 선재지점,1725,SK에너지,N,경기 파주시 파주로 63,파주시
222,한전주유소,1727,S-OIL,N,경기 파주시 문산읍 문산로 10,파주시
223,승채주유소,1728,S-OIL,N,경기도 파주시 월롱면 통일로 824,파주시
224,서경주유소,1729,SK에너지,Y,경기 파주시 중앙로 90 (금능동),파주시
225,파주셀프주유소,1734,현대오일뱅크,Y,경기 파주시 조리읍 파주로 1077,파주시
226,적성주유소,1735,현대오일뱅크,N,경기 파주시 적성면 청송로 1046,파주시
227,(주)제이에스에너지,1735,SK에너지,Y,경기 파주시 탄현면 평화로 731,파주시
228,대원주유소,1735,알뜰주유소,Y,경기 파주시 적성면 청송로 1091,파주시
229,금촌농협주유소,1735,NH-OIL,Y,경기 파주시 평화로 240 (야동동),파주시
230,조리농협주유소,1735,NH-OIL,N,경기 파주시 조리읍 통일로 441,파주시
231,㈜JS 프라임주유소,1737,SK에너지,Y,경기 파주시 교하읍 교하로 434,파주시
232,주)구송에너지,1737,GS칼텍스,N,경기 파주시 교하로 499 (동패동),파주시
233,사랑셀프주유소,1738,GS칼텍스,Y,경기 파주시 탄현면 평화로 657,파주시
234,(주)소모에너지 파주주유소,1738,GS칼텍스,N,경기 파주시 탄현면 엘지로 615,파주시
235,주내주유소,1739,SK에너지,N,경기 파주시 파주읍 술이홀로 383,파주시
236,(주)디오티디 파주댕댕이주유소,1743,GS칼텍스,Y,경기 파주시 파주로 72 (문발동),파주시
237,교하셀프주유소,1743,현대오일뱅크,Y,경기 파주시 교하읍 교하로 926,파주시
238,굿모닝주유소,1745,알뜰주유소,Y,경기 파주시 파주읍 우계로 299,파주시
239,운정드림주유소/충전소,1745,S-OIL,Y,경기 파주시 파주로 721,파주시
240,삼호에너지 파주아울렛주유소,1745,SK에너지,Y,경기 파주시 파주로 70,파주시
241,덕은셀프주유소,1745,SK에너지,Y,경기도 파주시 월롱면 엘지로 214,파주시
242,파주농협주유소 봉서지점,1745,NH-OIL,N,경기 파주시 파주읍 통일로 1541,파주시
243,현대오일뱅크㈜직영 문발셀프주유소,1747,현대오일뱅크,Y,경기도 파주시 파주로 66 (문발동),파주시
244,KH에너지(주)직영천운주유소,1747,SK에너지,N,경기 파주시 파주읍 충현로 8,파주시
245,한빛주유소,1748,SK에너지,Y,경기 파주시 문산읍 방촌로 1613,파주시
246,신성석유(주),1749,SK에너지,Y,경기 파주시 문산읍 통일로 1712,파주시
247,송촌주유소,1749,SK에너지,Y,경기 파주시 재두루미길 622 (송촌동),파주시
248,통일주유소,1750,S-OIL,N,경기 파주시 적성면 율곡로 1466,파주시
249,문성주유소,1750,SK에너지,N,경기 파주시 적성면 솥뒤로 75,파주시
250,조인에너지 Self,1755,GS칼텍스,Y,경기도 파주시 법원읍 화합로 74,파주시
251,㈜에스지에너지주유소,1757,현대오일뱅크,Y,경기 파주시 책향기로 640,파주시
