,상호,휘발유,상표,셀프여부,주소,시
70,평택복합휴게소(제천방향)주유소/충전소,1714,SK에너지,N,경기 평택시 청북읍 평택제천고속도로 6,평택시
71,평택복합휴게소(평택방향)주유소/충전소,1714,SK에너지,N,경기 평택시 청북읍 평택제천고속도로 6,평택시
72,동일석유(주) 금성셀프주유소,1718,SK에너지,Y,경기 평택시 경기대로 1078 (장당동),평택시
73,하나주유소,1718,S-OIL,Y,경기 평택시 경기대로 1280 (이충동),평택시
74,서해안주유소,1726,현대오일뱅크,N,경기 평택시 현덕면 서해로 517,평택시
75,이케이에너지(주) 평택주유소,1727,현대오일뱅크,N,경기 평택시 청북면 청원로 49,평택시
76,기산셀프주유소,1729,S-OIL,Y,경기 평택시 현덕면 서해로 471,평택시
77,㈜다원에너지 송탄다원주유소,1736,현대오일뱅크,N,경기 평택시 정암로 126-48 (이충동),평택시
78,천년지기주유소,1736,SK에너지,Y,경기 평택시 서동대로 3622,평택시
79,굿모닝주유소,1737,S-OIL,Y,경기 평택시 포승읍 서동대로 501,평택시
80,평택휴게소 주유소,1745,자가상표,Y,경기 평택시 오성면 서동대로 2043,평택시
81,스타주유소,1745,현대오일뱅크,Y,경기 평택시 안중읍 서동대로 1941,평택시
82,SK에너지(주) 삼성주유소,1747,SK에너지,N,경기 평택시 청북면 청원로 158,평택시
83,현대오일뱅크(주)직영 송탄self주유소,1747,현대오일뱅크,Y,경기 평택시 청원로 1626,평택시
84,동양산업(주)해안주유소,1747,GS칼텍스,Y,경기 평택시 포승읍 서동대로 376,평택시
85,현대오일뱅크(주)직영 포승현대주유소,1747,현대오일뱅크,N,경기 평택시 포승읍 서동대로 713,평택시
86,토진주유소,1747,S-OIL,Y,경기 평택시 청북읍 청원로 123,평택시
87,영차주유소,1749,S-OIL,N,경기 평택시 오성면 청오로 253,평택시
88,청북주유소,1754,S-OIL,N,경기 평택시 청북면 서해로 1562,평택시
89,대성산업(주) 현대주유소,1754,GS칼텍스,Y,경기 평택시 서동대로 3929 (용이동),평택시
90,대성주유소,1754,S-OIL,N,경기 평택시 서탄면 발안로 1192,평택시
91,에스씨에너지㈜직영 용이주유소,1754,알뜰주유소,Y,경기 평택시 서동대로 3853 (용이동),평택시
92,가득주유소,1755,현대오일뱅크,N,경기 평택시 안중읍 서동대로 1411,평택시
93,이포에너지(주)대성주유소,1755,현대오일뱅크,Y,경기도 평택시 경기대로 1577,평택시
94,자유에너지(주) 포승주유소,1755,현대오일뱅크,Y,경기 평택시 포승읍 서동대로 1179,평택시
95,항만주유소,1755,SK에너지,N,경기 평택시 포승읍 서동대로 524,평택시
96,금영주유소,1757,GS칼텍스,N,경기 평택시 진위면 경기대로 1786,평택시
97,SK어연공단주유소,1757,SK에너지,N,경기 평택시 청북면 청원로 390,평택시
98,대성산업(주)평택주유소,1758,GS칼텍스,Y,경기 평택시 경기대로 1232 (이충동),평택시
99,슈퍼맨주유소,1759,현대오일뱅크,N,경기 평택시 탄현로 192 (서정동),평택시
100,현대오일뱅크㈜직영 비전현대Self주유소,1759,현대오일뱅크,Y,경기 평택시 경기대로 572 (세교동),평택시
101,서경주유소,1759,GS칼텍스,Y,경기 평택시 팽성읍 사거리길 7,평택시
102,현대오일뱅크㈜직영 경원주유소,1762,현대오일뱅크,N,경기 평택시 경기대로 1602 (독곡동),평택시
103,백련주유소,1764,GS칼텍스,Y,경기 평택시 청원로 1394,평택시
104,행운셀프주유소,1764,GS칼텍스,Y,경기 평택시 송탄로 301 (서정동),평택시
105,산운에너지,1764,현대오일뱅크,N,경기 평택시 청원로 1466 (가재동),평택시
106,현대오일뱅크(주)직영 세교현대Self주유소,1764,현대오일뱅크,Y,경기 평택시 경기대로 542,평택시
107,브레인시티주유소,1764,SK에너지,Y,경기도 평택시 청원로 1374 (이충동),평택시
108,(주)태경평택공단주유소,1765,S-OIL,Y,경기 평택시 경기대로 616 (세교동),평택시
109,만세로주유소,1765,GS칼텍스,Y,경기 평택시 만세로 1555 (청룡동),평택시
110,이마트24서비스 진위산단주유소,1765,SK에너지,N,경기 평택시 진위면 삼남로 712,평택시
111,동1 self주유소,1765,현대오일뱅크,Y,경기 평택시 삼남로 94 (도일동),평택시
112,태양주유소,1765,GS칼텍스,Y,경기 평택시 오성면 서동대로 2086,평택시
113,(주)스마트오일주유소,1765,알뜰주유소,Y,경기 평택시 진위면 경기대로 1905,평택시
114,비전주유소,1765,GS칼텍스,Y,경기 평택시 만세로 1754-3 (비전동),평택시
115,덕성에너지 평택지점,1765,현대오일뱅크,N,경기 평택시 진위면 경기대로 1921,평택시
116,청룡셀프주유소,1765,현대오일뱅크,Y,경기 평택시 만세로 1595 (청룡동),평택시
117,평택주유소,1765,S-OIL,Y,경기 평택시 평택로 258 (세교동),평택시
118,정원셀프주유소,1767,현대오일뱅크,Y,경기 평택시 청원로 1640 (도일동),평택시
119,스파이더맨주유소,1768,현대오일뱅크,N,경기 평택시 진위면 남부대로 597,평택시
120,한길주유소,1768,현대오일뱅크,Y,경기 평택시 고덕면 서동대로 2531,평택시
121,(주)만남이앤지 만남주유소,1768,S-OIL,N,경기 평택시 안중읍 서동대로 1456,평택시
122,(주)소모에너지 송탄주유소,1768,GS칼텍스,N,경기 평택시  삼남로 445 (장안동),평택시
123,SK고속주유소,1768,SK에너지,N,경기 평택시 서동대로 3848 (소사동),평택시
124,그린주유소,1768,알뜰주유소,Y,경기 평택시 삼남로 529 (지산동),평택시
125,남부주유소,1768,현대오일뱅크,N,경기 평택시 청북면청오로 396,평택시
126,오성IC주유소,1768,현대오일뱅크,N,경기 평택시 오성면 서동대로 2296,평택시
127,뉴시티 팽성주유소,1769,SK에너지,N,경기 평택시 팽성읍 안정로 90,평택시
128,조일주유소,1769,현대오일뱅크,Y,경기 평택시 중앙로 185-1 (비전동),평택시
129,SK에너지㈜직영 라인45,1769,SK에너지,N,경기 평택시 팽성읍 팽성로 230,평택시
130,현대오일뱅크㈜직영 서탄주유소,1769,현대오일뱅크,N,경기 평택시 서탄면 발안로 1177,평택시
131,현대오일뱅크㈜직영 서동대로주유소,1773,현대오일뱅크,N,경기 평택시 오성면 서동대로 2067,평택시
132,현대오일뱅크㈜직영 송탄제일셀프주유소,1774,현대오일뱅크,Y,경기 평택시 송탄로 81 (장당동),평택시
133,현대오일뱅크(주)직영영원현대주유소,1774,현대오일뱅크,N,경기 평택시 서탄면 발안로 1102,평택시
134,도계주유소,1777,SK에너지,N,경기 평택시 팽성읍 팽성로 6,평택시
135,현대드림주유소,1778,현대오일뱅크,N,경기 평택시 팽성읍 안정로 200,평택시
136,(주)승일주유소,1783,S-OIL,Y,경기 평택시  송탄로 240 (서정동),평택시
137,중도석유(주)오산영업소,1783,GS칼텍스,Y,경기 평택시 진위면 남부대로 607,평택시
138,SK송탄셀프주유소,1784,SK에너지,Y,경기 평택시 송탄로 212 (서정동),평택시
139,지에스칼텍스㈜ 만호주유소,1785,GS칼텍스,Y,경기 평택시 포승읍 서동대로 771,평택시
140,세방주유소,1785,GS칼텍스,Y,경기 평택시 평택로163번길 7,평택시
141,삼미상사(주) 합정셀프주유소,1787,SK에너지,Y,경기 평택시 평택4로 28,평택시
142,지에스칼텍스㈜직영 세교주유소,1787,GS칼텍스,Y,경기 평택시 동삭로 224,평택시
143,스마트주유소,1788,S-OIL,N,경기 평택시 경기대로 1245 (이충동),평택시
144,서울석유(주)이에스주유소,1789,SK에너지,Y,경기 평택시 동삭로 363 (동삭동),평택시
145,와이에이치에너지,1789,SK에너지,N,경기도 평택시 진위면 남부대로 538,평택시
146,남양주유소,1789,S-OIL,Y,경기 평택시 포승읍 포승향남로 547,평택시
147,(주)서평택고속주유소,1789,GS칼텍스,Y,경기 평택시 포승읍 포승공단로 260,평택시
148,평안주유소,1789,S-OIL,N,경기 평택시 지산로 291 (지산동),평택시
149,SK동아에너지주유소충전소,1789,SK에너지,N,"경기 평택시 남북대로 545,  (동삭동)",평택시
150,지에스칼텍스(주) 평택항주유소,1789,GS칼텍스,Y,경기 평택시 포승읍 포승향남로 228,평택시
151,SK에너지(주)직영 평택항주유소,1789,SK에너지,N,경기 평택시 포승읍 포승공단로 240,평택시
152,SK에너지㈜직영 포승행복주유소,1789,SK에너지,N,경기 평택시 포승읍 포승공단로 68,평택시
153,금곡주유소,1789,GS칼텍스,N,경기 평택시 안중읍 서해로 1209,평택시
154,평택농협주유소,1790,NH-OIL,N,경기 평택시 만세로 1649,평택시
155,지에스칼텍스(주) 고덕국제도시주유소,1790,GS칼텍스,Y,경기 평택시 고덕면 고덕국제2로 54,평택시
156,지에스칼텍스(주)직영 동방주유소,1790,GS칼텍스,Y,경기 평택시 경기대로 1624,평택시
157,현대오일뱅크(주)직영 송화주유소,1794,현대오일뱅크,N,경기 평택시 팽성읍 팽성송화로 49,평택시
158,평택굿오일주유소,1795,GS칼텍스,N,경기 평택시 경기대로 729 (지제동),평택시
159,도일주유소,1795,S-OIL,N,경기 평택시 도일로 201 (도일동),평택시
160,㈜삼표에너지 신성주유소,1797,GS칼텍스,Y,경기 평택시 고덕면 서동대로 2796,평택시
161,동양산업(주)직영신태평주유소,1797,GS칼텍스,Y,경기 평택시 고덕면 서동대로 2633,평택시
162,평원주유소,1797,SK에너지,N,경기 평택시 만세로 1465 (청룡동),평택시
163,안일주유소,1797,GS칼텍스,Y,경기 평택시 안중읍 서동대로 1736,평택시
164,다올주유소,1798,현대오일뱅크,N,경기 평택시 안중읍 서해로 1408,평택시
165,믿음주유소,1798,S-OIL,N,경기 평택시 고덕면 청원로 673,평택시
166,안중농협송담주유소,1799,NH-OIL,N,경기 평택시 현덕면 송담1로 10,평택시
167,구도일주유소아산공원,1799,S-OIL,N,경기 평택시 현덕면 서해로 318,평택시
168,안중농협 청북주유소,1799,NH-OIL,N,경기 평택시 청북읍 신포길 41,평택시
