,상호,휘발유,상표,셀프여부,주소,시
2948,모리아셀프주유소,1684,알뜰주유소,Y,경기 포천시 내촌면 금강로 2182,포천시
2949,예루살렘셀프주유소,1684,자가상표,Y,경기도 포천시 일동면 금강로 4193 (일동면),포천시
2950,가산농협 내촌주유소,1685,NH-OIL,Y,경기 포천시 내촌면 금강로 2229,포천시
2951,(주)오일까사 포천지점,1699,S-OIL,Y,경기 포천시 내촌면 포천로 486,포천시
2952,한빛에너지주유소,1699,GS칼텍스,N,경기 포천시 내촌면 포천로 485,포천시
2953,중앙셀프주유소 포천지점,1717,GS칼텍스,Y,경기 포천시 내촌면 금강로 2383,포천시
2954,수정주유소,1719,현대오일뱅크,N,경기 포천시 내촌면 금강로 3059,포천시
2955,일동농협화현주유소,1725,NH-OIL,Y,경기 포천시 화현면 화동로 493,포천시
2956,굿오일주유소,1729,S-OIL,Y,경기 포천시 내촌면 금강로 2639,포천시
2957,일광(내촌점)주유소,1735,SK에너지,N,경기 포천시 내촌면 금강로 2733,포천시
2958,내촌 현대주유소,1735,현대오일뱅크,Y,경기 포천시 내촌면 금강로 2183,포천시
2959,장군제2주유소,1737,SK에너지,Y,경기 포천시 영북면 호국로 3428,포천시
2960,신북IC주유소,1738,SK에너지,Y,경기 포천시 신북면 호국로 2075,포천시
2961,(주)금풍주유소,1738,현대오일뱅크,Y,경기 포천시 신북면 호국로 2323,포천시
2962,포천신북주유소,1738,알뜰주유소,Y,경기 포천시 호국로 2226,포천시
2963,주식회사 동해주유소,1738,알뜰주유소,Y,경기 포천시 호국로 2659,포천시
2964,한마음주유소,1738,GS칼텍스,N,경기 포천시 신북면 호국로 2285,포천시
2965,(주)고래주유소,1738,현대오일뱅크,Y,경기 포천시 신북면 호국로 2272,포천시
2966,대성산업(주)포천주유소,1738,GS칼텍스,Y,경기 포천시 영중면 호국로 2563,포천시
2967,일동셀프5주유소,1739,알뜰주유소,Y,경기 포천시 일동면 화동로 1322,포천시
2968,장비주유소,1739,S-OIL,Y,경기 포천시 일동면 화동로 1541,포천시
2969,화현셀프7주유소,1739,현대오일뱅크,Y,경기도 포천시 금강로 3926,포천시
2970,착한에너지주유소/충전소,1749,현대오일뱅크,N,경기 포천시 가산면 부흥로 656,포천시
2971,용화주유소,1750,SK에너지,N,경기 포천시 군내면 포천로 1329,포천시
2972,대일석유㈜ 포천지점주유소,1758,GS칼텍스,Y,경기 포천시 영중면 전영로 1440,포천시
2973,행운주유소,1759,현대오일뱅크,N,경기 포천시 가산면 포천로 569,포천시
2974,(주)성천주유소,1759,SK에너지,Y,경기 포천시 일동면 금강로 4184,포천시
2975,대흥주유소,1759,SK에너지,Y,경기 포천시 일동면 화동로 967,포천시
2976,(주)태봉Self주유소,1765,SK에너지,Y,경기도 포천시 소흘읍 호국로 715 (소흘읍),포천시
2977,삼미상사(주)내촌IC셀프주유소,1767,SK에너지,Y,경기 포천시 내촌면 금강로 2022,포천시
2978,수목원주유소,1768,GS칼텍스,N,경기 포천시 소흘읍 광릉수목원로 554 (소흘읍),포천시
2979,일동농협주유사업소,1769,SK에너지,N,경기 포천시 일동면 화동로 1100,포천시
2980,내촌부자주유소,1775,GS칼텍스,Y,경기 포천시 내촌면 금강로 3189,포천시
2981,(주)삼호에너지 서파주유소,1775,SK에너지,N,경기 포천시 내촌면 금강로 3140,포천시
2982,대박셀프주유소,1775,SK에너지,Y,경기 포천시 포천로 1651,포천시
2983,백로주유소,1779,SK에너지,N,경기 포천시 영중면 호국로 2612,포천시
2984,성원주유소,1779,알뜰주유소,Y,경기 포천시 군내면 청군로 3133,포천시
2985,명성주유소,1780,SK에너지,Y,경기 포천시 가산면 가산로 236,포천시
2986,(주)신흥주유소,1785,SK에너지,N,경기 포천시 가산면 부흥로 675,포천시
2987,삼미상사㈜ 포천제일셀프주유소,1785,SK에너지,Y,경기 포천시 왕방로 60 (신읍동),포천시
2988,푸른솔주유소,1788,현대오일뱅크,N,경기 포천시 가산면 포천로 715,포천시
2989,대길주유소,1788,SK에너지,N,경기 포천시 영중면 호국로 3283,포천시
2990,해바라기주유소,1789,GS칼텍스,N,경기 포천시 내촌면 금강로 2681-21,포천시
2991,영북농협주유소,1789,NH-OIL,N,경기 포천시 영북면 호국로 3759,포천시
2992,대들보주유소,1789,현대오일뱅크,Y,경기 포천시 소흘읍 죽엽산로 173,포천시
2993,포천농협 신북주유소,1790,S-OIL,N,경기 포천시 신북면 포천로 2174,포천시
2994,가산농협주유소,1790,NH-OIL,N,경기 포천시 가산면 가산로 353,포천시
2995,포천농협주유소,1790,S-OIL,N,경기 포천시 군내면 호국로 1698,포천시
2996,프라임주유소,1795,GS칼텍스,N,경기 포천시 신북면 호국로 2008,포천시
2997,삼정주유소,1795,GS칼텍스,N,경기 포천시 소흘읍 화합로 298,포천시
2998,천보산주유소,1795,SK에너지,Y,경기 포천시 소흘읍 송우로 124,포천시
