,상호,휘발유,상표,셀프여부,주소,시
2916,서하남(판교방향)주유소,1738,S-OIL,Y,경기 하남시 수도권제1순환고속도로 19,하남시
2917,약수터주유소,1769,알뜰주유소,N,경기 하남시 하남대로 63 (상산곡동),하남시
2918,하남만남주유소/충전소,1775,알뜰(ex),N,경기 하남시 중부고속도로 117-1,하남시
2919,산곡주유소,1775,SK에너지,N,경기 하남시 하남대로 273 (상산곡동),하남시
2920,덕풍주유소,1777,S-OIL,Y,경기 하남시 하남대로 829 (덕풍동),하남시
2921,SC에너지(주)하남풀페이주유소,1777,SK에너지,Y,경기 하남시 감초로 176 (초이동),하남시
2922,동서울주유소,1780,SK에너지,Y,경기 하남시 서하남로 372,하남시
2923,하남셀프주유소,1782,GS칼텍스,Y,경기 하남시 신장로 211 (덕풍동),하남시
2924,(주)한경에너지 베스트원주유소,1782,GS칼텍스,Y,경기 하남시 하남대로 781,하남시
2925,(유)풍산주유소,1782,현대오일뱅크,Y,경기 하남시 하남대로 956 (풍산동),하남시
2926,서하남나들목주유소,1783,S-OIL,Y,경기 하남시 서하남로 29 (감북동),하남시
2927,초이주유소,1785,GS칼텍스,Y,경기 하남시 천호대로 1427,하남시
2928,신한국주유소,1785,GS칼텍스,Y,경기 하남시 동남로 516 (감북동),하남시
2929,씨앤에스유통(주)구도일주유소 풍산신도시,1785,S-OIL,Y,경기 하남시 덕풍동로 101,하남시
2930,청정하남주유소,1790,현대오일뱅크,Y,경기 하남시 하남대로 236,하남시
2931,셀프광장주유소,1795,S-OIL,Y,경기 하남시 창우로 56 (창우동),하남시
2932,유니드주유소,1795,SK에너지,Y,경기 하남시 미사대로 556,하남시
2933,꽃밭주유소,1795,S-OIL,Y,경기 하남시 미사강변대로 203 (망월동),하남시
2934,동운주유소,1795,현대오일뱅크,Y,경기 하남시 조정대로 116 (풍산동),하남시
2935,개나리주유소,1795,S-OIL,Y,경기 하남시 대성로 145 (춘궁동),하남시
2936,구산셀프주유소,1795,SK에너지,Y,경기 하남시 미사대로 316 (망월동),하남시
2937,중부주유소,1797,현대오일뱅크,N,경기 하남시 하남대로 557 (천현동),하남시
2938,천현플러스주유소,1797,SK에너지,Y,경기 하남시 대성로 239 (천현동),하남시
2939,현대오일뱅크㈜ 직영 동부셀프주유소,1799,현대오일뱅크,Y,경기 하남시 신장로 85 (신장동),하남시
