,상호,휘발유,상표,셀프여부,주소,시
2688,이포에너지(주) 우리주유소,1645,현대오일뱅크,Y,경기 화성시 남양읍 화성로 995,화성시
2689,자유에너지(주) 남양타운주유소,1645,현대오일뱅크,Y,경기 화성시 남양읍 주석로 54,화성시
2690,마도알뜰주유소,1647,알뜰주유소,Y,경기 화성시 마도면 두곡서길 58,화성시
2691,남양스타주유소,1655,S-OIL,Y,경기 화성시 남양성지로 17,화성시
2692,미소주유소,1657,현대오일뱅크,Y,경기 화성시 마도면 화성로 570,화성시
2693,하이테크에너지(주) 화성하이테크주유소,1660,SK에너지,Y,경기 화성시 남양읍 주석로 353,화성시
2694,(주)비봉I.C셀프주유소,1669,S-OIL,Y,경기 화성시 비봉면 화성로 1940,화성시
2695,쌍학주유소,1669,GS칼텍스,Y,경기 화성시 비봉면 화성로 2087,화성시
2696,신기알뜰주유소,1674,알뜰주유소,Y,경기 화성시 남양읍 화성로 1472,화성시
2697,(주)태오에너지 현명주유소,1684,알뜰주유소,Y,경기 화성시 비봉면 양노로 155,화성시
2698,(주)삼진에너지남양주유소충전소,1685,현대오일뱅크,N,경기 화성시 남양읍 화성로 1412,화성시
2699,(주)신영광셀프주유소,1685,GS칼텍스,Y,경기 화성시 남양읍 화성로 1515 (북양동),화성시
2700,태물주유소,1685,알뜰주유소,Y,경기 화성시 남양읍 남양로 651,화성시
2701,자유에너지(주) 행운주유소,1685,현대오일뱅크,Y,경기 화성시 봉담읍 효행로 268,화성시
2702,북양스타주유소,1685,S-OIL,Y,경기 화성시 남양읍 화성로 1420,화성시
2703,우리주유소,1695,GS칼텍스,N,경기 화성시 봉담읍 효행로 311,화성시
2704,에이치제이에너지주유소,1695,GS칼텍스,Y,경기 화성시 팔탄면 시청로 567,화성시
2705,남양대로주유소,1695,현대오일뱅크,Y,경기 화성시 남양읍 화성로 1235,화성시
2706,마도IC주유소,1697,SK에너지,Y,경기 화성시 마도면 화성로 667,화성시
2707,코끼리주유소,1697,SK에너지,Y,경기 화성시 마도면 화성로 909,화성시
2708,동양산업(주)마도주유소,1697,GS칼텍스,Y,경기도 화성시 마도면 화성로 873,화성시
2709,지성주유소,1697,SK에너지,Y,경기 화성시 마도면 화성로 726,화성시
2710,송산(시흥방향)주유소,1699,자가상표,N,경기 화성시 송산면 평택시흥고속도로 25,화성시
2711,송산(평택방향)주유소,1699,자가상표,N,경기 화성시 송산면 평택시흥고속도로 25,화성시
2712,화성허브주유소,1709,SK에너지,Y,경기 화성시 남양읍 화성로 1166,화성시
2713,815주유소,1713,SK에너지,N,경기 화성시 봉담읍 기배로30번길 36,화성시
2714,대원주유소,1713,알뜰주유소,Y,경기 화성시 팔탄면 서해로 1322-3,화성시
2715,동그라미주유소,1715,GS칼텍스,Y,경기 화성시 팔탄면 서해로 1380,화성시
2716,구도일주유소 신흥,1715,S-OIL,Y,경기 화성시 팔탄면 서해로 1280,화성시
2717,SK에너지(주)동화주유소,1715,SK에너지,N,경기 화성시 봉담읍 효행로 188,화성시
2718,명품주유소,1715,현대오일뱅크,N,경기 화성시 팔탄면 서해로 1266,화성시
2719,주식회사청우에너지,1715,SK에너지,Y,경기 화성시 팔탄면 서해로 1409-9,화성시
2720,원더우먼주유소,1724,알뜰주유소,Y,경기 화성시 우정읍 포승향남로 1106,화성시
2721,금탑셀프주유소,1725,SK에너지,Y,경기 화성시 비봉면 서해로 1692,화성시
2722,마도농협쌍송점주유소,1725,NH-OIL,Y,경기 화성시 마도면 마도공단로 149,화성시
2723,마도농협주유소,1725,NH-OIL,Y,경기 화성시 마도면 화성로 777,화성시
2724,SK에너지(주) 서해로셀프주유소,1728,SK에너지,Y,경기 화성시 팔탄면 서해로 962,화성시
2725,대보유통㈜화성(하)목포방향,1729,알뜰(ex),Y,경기 화성시 팔탄면 서해안고속도로 301-1,화성시
2726,대보유통㈜ 화성(상)주유소/충전소,1729,알뜰(ex),Y,경기 화성시 팔탄면 서해안고속도로 302-1,화성시
2727,대경석유㈜송산마도주유/충전소,1731,GS칼텍스,Y,경기 화성시 송산면 화성로 618,화성시
2728,토리움예운주유소,1733,현대오일뱅크,N,경기 화성시 경기동로 492 (장지동),화성시
2729,동탄그린주유소,1733,GS칼텍스,Y,경기 화성시 동탄산단5길 10-44,화성시
