년도,성별,합계,19세이하,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85세이상
2011,합계,50734284,3212315,3212315,3515101,4024454,4230332,4617122,4229561,4313633,3214513,2319307,1897565,1640831,1130345,618481,413750
2011,남자,25406934,1688523,1688523,1811906,2053846,2157764,2341732,2176857,2175707,1598548,1133757,886144,713163,433883,192497,106901
2011,여자,25327350,1523792,1523792,1703195,1970608,2072568,2275390,2052704,2137926,1615965,1185550,1011421,927668,696462,425984,306849
2012,합계,50948272,3319540,3319540,3307408,4062598,4106345,4639747,4196411,4405468,3386102,2428603,1899933,1774343,1196000,663632,446152
2012,남자,25504060,1752677,1752677,1706803,2078373,2085311,2366703,2143613,2226268,1689298,1189791,893794,779224,467062,210864,114624
2012,여자,25444212,1566863,1566863,1600605,1984225,2021034,2273044,2052798,2179200,1696804,1238812,1006139,995119,728938,452768,331528
2013,합계,51141463,3405202,3405202,3184327,4086122,3929292,4599684,4320277,4404070,3621186,2486668,1985888,1803037,1269763,708188,484110
2013,남자,25588336,1802320,1802320,1649886,2085473,2005223,2344220,2196548,2228829,1812276,1216918,943198,796139,503314,230472,124028
2013,여자,25553127,1602882,1602882,1534441,2000649,1924069,2255464,2123729,2175241,1808910,1269750,1042690,1006898,766449,477716,360082
2014,합계,51327916,3488497,3488497,3153547,3917451,3894396,4528033,4402183,4370591,3845570,2626763,2079345,1800922,1345682,766736,527922
2014,남자,25669296,1852508,1852508,1638106,2004817,1980982,2311387,2232995,2217165,1920820,1290056,994183,800094,540915,255600,136103
2014,여자,25658620,1635989,1635989,1515441,1912634,1913414,2216646,2169188,2153426,1924750,1336707,1085162,1000828,804767,511136,391819
2015,합계,51529338,3557583,3557583,3141465,3731387,3939579,4396186,4462807,4289141,4035650,2881662,2191617,1789894,1386543,838507,568540
2015,남자,25758186,1886202,1886202,1641611,1911972,2007424,2238667,2266945,2177823,2018507,1411839,1050474,801927,564174,288017,145811
2015,여자,25771152,1671381,1671381,1499854,1819415,1932155,2157519,2195862,2111318,2017143,1469823,1141143,987967,822369,550490,422729
2016,합계,51696216,3541061,3541061,3217367,3517868,4016272,4212243,4584810,4182392,4242269,3139076,2237345,1781229,1457890,909130,610058
2016,남자,25827594,1877127,1877127,1682988,1806754,2045265,2143639,2317182,2139711,2120391,1540582,1072395,806680,600607,319391,157711
2016,여자,25868622,1663934,1663934,1534379,1711114,1971007,2068604,2267628,2042681,2121878,1598494,1164950,974549,857283,589739,452347
2017,합계,51778544,3486427,3486427,3324540,3311945,4056704,4091743,4611009,4153396,4336808,3310243,2347021,1793132,1585974,968146,661833
2017,남자,25855919,1840481,1840481,1747478,1702336,2070532,2072984,2343868,2109201,2172196,1630378,1128219,820056,662122,346908,173620
2017,여자,25922625,1645946,1645946,1577062,1609609,1986172,2018759,2267141,2044195,2164612,1679865,1218802,973076,923852,621238,488213
2018,합계,51826059,3414902,3414902,3409071,3189361,4080782,3916194,4572393,4277593,4338291,3542849,2406790,1880192,1617744,1032594,713088
2018,남자,25866129,1795166,1795166,1796667,1645627,2077946,1993955,2322659,2162701,2176502,1751203,1155935,869294,680342,376285,190792
2018,여자,25959930,1619736,1619736,1612404,1543734,2002836,1922239,2249734,2114892,2161789,1791646,1250855,1010898,937402,656309,522296
2019,합계,51849861,3319645,3319645,3490711,3158230,3912794,3882192,4501038,4359591,4307786,3765035,2545616,1972502,1623542,1103019,782236
2019,남자,25864816,1736875,1736875,1846052,1633656,1997634,1970568,2290410,2199729,2166958,1858067,1227645,918569,688481,409083,213911
2019,여자,25985045,1582770,1582770,1644659,1524574,1915160,1911624,2210628,2159862,2140828,1906968,1317971,1053933,935061,693936,568325
2020,합계,51829023,3249676,3249676,3556477,3145998,3727119,3926316,4368471,4418728,4226286,3950469,2794037,2080134,1618112,1143935,859859
2020,남자,25841029,1695036,1695036,1878631,1636675,1904873,1996771,2218200,2233682,2128862,1953296,1345308,971198,693142,430519,240351
2020,여자,25987994,1554640,1554640,1677846,1509323,1822246,1929545,2150271,2185046,2097424,1997173,1448729,1108936,924970,713416,619508
2021,합계,51638809,3121322,3121322,3534601,3216061,3507374,3992831,4173961,4526822,4108389,4136749,3027963,2109712,1605372,1201825,906161
2021,남자,25746684,1624175,1624175,1867507,1675607,1797104,2030491,2119757,2278787,2087512,2046089,1462656,986553,696848,457975,256476
2021,여자,25892125,1497147,1497147,1667094,1540454,1710270,1962340,2054204,2248035,2020877,2090660,1565307,1123159,908524,743850,649685
