"연령별(1)","성별(1)",2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020
"연령별(1)","성별(1)",백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술,백내장 수술
"연령별(1)","성별(1)",수술인원 (명),수술건수 (건),입원일수 (일),급여일수 (일),진료비 (천원),급여비 (천원),수술인원 (명),수술건수 (건),입원일수 (일),급여일수 (일),진료비 (천원),급여비 (천원),수술인원 (명),수술건수 (건),입원일수 (일),급여일수 (일),진료비 (천원),급여비 (천원),수술인원 (명),수술건수 (건),입원일수 (일),급여일수 (일),진료비 (천원),급여비 (천원),수술인원 (명),수술건수 (건),입원일수 (일),급여일수 (일),진료비 (천원),급여비 (천원),수술인원 (명),수술건수 (건),입원일수 (일),급여일수 (일),진료비 (천원),급여비 (천원),수술인원 (명),수술건수 (건),입원일수 (일),급여일수 (일),진료비 (천원),급여비 (천원),수술인원 (명),수술건수 (건),입원일수 (일),급여일수 (일),진료비 (천원),급여비 (천원),수술인원 (명),수술건수 (건),입원일수 (일),급여일수 (일),진료비 (천원),급여비 (천원),수술인원 (명),수술건수 (건),입원일수 (일),급여일수 (일),진료비 (천원),급여비 (천원)
"합계","합계",308111,428158,557138,1067937,419235726,340509752,302182,420905,550527,1037330,386694825,313203204,312554,436330,553804,1157486,377338936,305033465,328576,462074,567157,1022483,416013987,336311734,346184,491926,591335,1041123,460458731,372271634,360721,518663,615637,1092803,494448131,399866228,377058,549471,645675,1111339,531789113,429900987,402371,592191,686969,1140647,606122771,490173357,459062,689919,786119,1325513,716732073,579433480,454068,702621,792205,1278223,813175595,656334214
"합계","남자",125495,166046,228130,455986,165191610,133997033,125956,167536,229975,450086,156283976,126414155,133209,177993,236178,497908,157185974,126965398,141338,190337,242243,448782,175000141,141347331,151355,206413,256239,468893,197750964,159820004,157147,216497,264665,485859,211579081,171037985,165546,230884,279493,497678,229513152,185505003,175942,247223,296486,510627,260633366,210795279,197779,283608,333297,585659,304725994,246371909,193878,284557,331937,562511,343029889,277040034
"합계","여자",182616,262112,329008,611951,254044116,206512719,176226,253369,320552,587244,230410849,186789049,179345,258337,317626,659578,220152962,178068067,187238,271737,324914,573701,241013846,194964403,194829,285513,335096,572230,262707768,212451631,203574,302166,350972,606944,282869050,228828243,211512,318587,366182,613661,302275961,244395985,226429,344968,390483,630020,345489404,279378078,261283,406311,452822,739854,412006079,333061571,260190,418064,460268,715712,470145706,379294180
"0세","합계",43,46,329,624,102250,97269,42,48,219,529,88956,84122,30,33,157,325,74243,70903,42,45,222,484,116266,110523,35,40,135,356,73311,67942,31,32,170,380,116356,111030,19,20,59,316,36092,33912,26,28,120,318,77143,74044,30,33,97,312,104980,98733,23,29,171,375,209373,200960
"0세","남자",26,27,251,437,72846,70129,22,26,101,296,37480,34601,18,19,79,188,36678,34678,22,24,127,276,65176,62413,24,28,107,289,56647,52708,18,18,100,209,62406,59353,11,11,34,232,20331,18952,9,10,65,146,44014,42607,21,24,70,222,79745,74952,10,13,90,185,98728,96414
"0세","여자",17,19,78,187,29405,27140,20,22,118,233,51475,49521,12,14,78,137,37565,36224,20,21,95,208,51089,48110,11,12,28,67,16663,15234,13,14,70,171,53950,51677,8,9,25,84,15761,14960,17,18,55,172,33129,31437,9,9,27,90,25235,23781,13,16,81,190,110645,104546
"1 - 4세","합계",131,164,573,1625,209287,188309,141,170,603,1941,238129,214644,138,177,537,1680,201670,180850,127,162,522,1647,218022,198256,117,152,496,1567,236752,213270,104,139,394,1473,203664,182735,87,103,281,916,151887,139004,108,145,403,1402,249247,235185,79,96,344,1017,312554,296168,92,104,301,962,329429,310546
"1 - 4세","남자",83,104,394,1022,140435,125927,71,85,267,899,108453,97578,68,86,256,808,98429,88224,65,81,268,838,116483,107469,67,91,276,821,134852,121247,60,76,218,850,114257,102582,50,60,167,539,93457,85885,54,81,230,812,138985,131168,54,66,262,682,251314,238486,49,55,161,514,182483,172139
"1 - 4세","여자",48,60,179,603,68852,62382,70,85,336,1042,129676,117066,70,91,281,872,103241,92626,62,81,254,809,101540,90787,50,61,220,746,101899,92023,44,63,176,623,89407,80154,37,43,114,377,58430,53119,54,64,173,590,110262,104017,25,30,82,335,61240,57682,43,49,140,448,146946,138408
"5 - 9세","합계",100,110,447,1065,154059,129420,121,141,488,1541,201506,169739,98,114,366,918,136169,113564,107,124,381,1085,152453,128253,96,109,332,909,174150,146952,95,111,310,909,167379,142076,81,94,251,796,168402,143479,76,93,223,694,160293,150283,66,75,190,704,146950,136567,96,103,339,935,317809,294850
"5 - 9세","남자",58,63,276,605,87492,73442,68,81,288,978,122258,103002,51,56,185,501,71608,59329,63,77,253,699,95311,80645,58,67,209,551,103914,86213,55,63,184,469,98974,82158,54,63,173,506,109389,93665,45,53,113,383,84158,78452,40,47,120,404,90415,84124,61,67,241,593,226195,208546
"5 - 9세","여자",42,47,171,460,66567,55978,53,60,200,563,79248,66736,47,58,181,417,64561,54234,44,47,128,386,57142,47608,38,42,123,358,70236,60740,40,48,126,440,68405,59918,27,31,78,290,59013,49815,31,40,110,311,76135,71831,26,28,70,300,56535,52444,35,36,98,342,91614,86304
"10 - 14세","합계",111,128,619,1393,212225,176817,91,100,418,968,150617,122434,88,105,378,939,153388,126283,89,104,348,877,173613,142591,73,86,274,802,156205,127625,63,71,175,614,140470,115113,55,63,182,539,125297,103312,58,64,253,562,196564,184581,54,61,145,458,123916,116521,72,78,227,673,204244,191318
"10 - 14세","남자",66,74,418,842,132705,111324,52,56,273,598,94515,76681,61,68,283,641,107826,88117,61,67,219,615,116318,96378,48,54,168,496,101327,82190,38,40,96,387,85067,69730,35,41,134,331,85689,70605,36,40,182,395,145842,137401,36,42,96,293,80817,76276,50,54,144,447,139711,130734
"10 - 14세","여자",45,54,201,551,79520,65494,39,44,145,370,56103,45753,27,37,95,298,45562,38166,28,37,129,262,57296,46213,25,32,106,306,54878,45435,25,31,79,227,55403,45383,20,22,48,208,39607,32707,22,24,71,167,50722,47180,18,19,49,165,43099,40246,22,24,83,226,64533,60584
"15 - 19세","합계",230,272,850,2144,362294,295818,239,293,813,2200,369905,300575,221,278,731,1988,370396,299722,243,286,676,1877,409961,335738,232,276,715,1766,434586,353242,192,235,524,1451,377981,308525,170,216,479,1304,374129,309437,172,222,448,1453,403916,337666,161,200,417,1059,374465,309926,138,160,326,807,338587,283461
"15 - 19세","남자",156,182,605,1506,253668,207078,158,190,551,1387,251606,204736,151,191,500,1363,253961,204678,167,193,461,1261,286667,234649,166,193,519,1307,314772,253754,126,153,342,919,245713,198898,112,137,325,821,262702,218186,116,149,316,1062,294089,245703,106,124,237,700,228208,189900,94,110,222,526,218328,183083
"15 - 19세","여자",74,90,245,638,108626,88740,81,103,262,813,118300,95839,70,87,231,625,116435,95044,76,93,215,616,123294,101089,66,83,196,459,119813,99488,66,82,182,532,132268,109627,58,79,154,483,111426,91252,56,73,132,391,109827,91964,55,76,180,359,146257,120027,44,50,104,281,120259,100378
"20 - 24세","합계",284,354,903,2524,433987,350996,318,385,1181,2803,513670,416894,352,426,1130,2733,523154,423535,381,473,1206,3088,663409,538537,356,459,1028,2787,686071,558380,376,467,936,2428,673182,545001,357,462,952,2359,686023,556868,334,418,978,2299,751320,607000,327,412,746,1876,664581,536221,317,392,915,2284,882389,712108
"20 - 24세","남자",188,229,623,1658,286664,232328,204,237,795,1840,327036,263516,232,279,811,1892,348323,282153,246,300,826,1998,448894,363832,218,272,669,1868,425155,347316,240,296,599,1579,428785,344852,238,314,629,1558,463702,375932,215,264,567,1376,448920,362181,229,283,550,1411,477325,384097,200,238,580,1500,556374,446118
"20 - 24세","여자",96,125,280,866,147323,118668,114,148,386,963,186634,153378,120,147,319,841,174831,141382,135,173,380,1090,214515,174705,138,187,359,919,260916,211063,136,171,337,849,244397,200149,119,148,323,801,222321,180936,119,154,411,923,302400,244819,98,129,196,465,187256,152124,117,154,335,784,326015,265991
"25 - 29세","합계",424,506,1369,3382,666709,540874,405,485,1584,3467,669143,548254,390,467,1131,3631,574540,464790,381,454,1307,2911,803836,675508,396,475,1061,2593,721114,587232,403,495,1012,2648,737523,595766,398,493,972,2476,773772,625542,444,552,1119,2723,950349,766377,449,557,1073,2898,955557,774668,438,544,1051,2413,1055035,850902
"25 - 29세","남자",264,303,785,1944,386308,312374,269,316,978,2213,432110,354092,250,284,796,2717,378491,306746,248,296,762,1674,445127,365578,245,279,597,1423,396647,319230,253,305,610,1660,448516,358650,244,293,560,1360,426533,342753,281,342,727,1765,584824,468409,288,353,693,1865,615183,495551,286,344,656,1441,655655,528365
"25 - 29세","여자",160,203,584,1438,280400,228500,136,169,606,1254,237033,194162,140,183,335,914,196049,158045,133,158,545,1237,358710,309931,151,196,464,1170,324467,268003,150,190,402,988,289007,237116,154,200,412,1116,347239,282789,163,210,392,958,365525,297969,161,204,380,1033,340374,279117,152,200,395,972,399380,322536
"30 - 34세","합계",749,907,2112,5159,1106910,900399,785,939,2104,5148,1093703,886618,798,979,2282,7212,1152033,935718,769,943,2055,4824,1206091,980494,739,915,1772,4117,1247930,1012649,700,843,1879,4543,1244036,1008290,687,820,1575,3784,1212413,980308,628,764,1516,3328,1261311,1020424,705,871,1595,3978,1471635,1187516,573,714,1224,2845,1316055,1065714
"30 - 34세","남자",503,596,1244,3077,681221,550324,513,596,1356,3165,690229,558078,540,645,1562,5445,761450,616668,516,618,1292,3011,774933,628653,477,586,1092,2511,771509,626585,451,538,1265,2927,816254,661418,454,523,987,2297,767994,620998,406,495,984,2179,814657,659125,449,538,1015,2519,936713,756447,361,437,771,1810,819592,664660
"30 - 34세","여자",246,311,868,2082,425689,350075,272,343,748,1983,403474,328540,258,334,720,1767,390583,319050,253,325,763,1813,431158,351841,262,329,680,1606,476421,386064,249,305,614,1616,427781,346872,233,297,588,1487,444419,359310,222,269,532,1149,446654,361299,256,333,580,1459,534922,431069,212,277,453,1035,496462,401054
"35 - 39세","합계",1750,2118,3874,9135,2338631,1908613,1624,1934,3854,8500,2102981,1706211,1556,1863,3488,7997,1961259,1591854,1460,1751,3278,6961,2023262,1644793,1551,1890,3184,7141,2310935,1877730,1473,1839,3137,6967,2400106,1951812,1504,1912,3261,6987,2459746,1993900,1580,1961,3187,6600,2723627,2204762,1608,1981,3275,7063,3022907,2456181,1517,1911,3154,6979,3340532,2715834
"35 - 39세","남자",1243,1446,2644,6230,1600135,1304035,1139,1301,2544,5552,1391009,1121041,1087,1245,2351,5397,1312845,1063974,1018,1184,2208,4582,1364327,1109797,1046,1221,2021,4515,1444179,1167021,996,1186,2117,4511,1581334,1283644,1004,1231,2166,4397,1570361,1270500,1076,1300,1983,4009,1710154,1383739,1084,1266,2229,4694,1983945,1617303,974,1176,2024,4380,2077354,1680409
"35 - 39세","여자",507,672,1230,2905,738496,604578,485,633,1310,2948,711972,585170,469,618,1137,2600,648414,527881,442,567,1070,2379,658935,534997,505,669,1163,2626,866756,710709,477,653,1020,2456,818772,668168,500,681,1095,2590,889385,723400,504,661,1204,2591,1013473,821023,524,715,1046,2369,1038962,838879,543,735,1130,2599,1263178,1035425
"40 - 44세","합계",4228,5115,8613,18866,5491539,4484928,4227,5129,8924,18680,5304840,4317210,4122,4976,8322,19302,4967687,4015536,4159,5071,8111,16517,5348719,4326810,4204,5320,8048,16492,5994252,4859596,3922,4973,7385,15630,5756014,4677938,3931,5231,7594,14971,6059320,4902497,3752,5014,7181,13735,6220817,5058119,3891,5292,7276,14725,6763279,5471366,4000,5656,7717,14695,7973508,6456302
"40 - 44세","남자",3045,3524,5856,12586,3736666,3042099,3027,3509,5952,12207,3560058,2885775,2937,3393,5670,11721,3360913,2714638,2959,3449,5563,11219,3633761,2935710,2868,3430,5336,10786,3920521,3175924,2604,3122,4795,10283,3680530,2992595,2537,3162,4778,9521,3738962,3020875,2375,2942,4362,8365,3780853,3071367,2367,2993,4248,8982,3951920,3191611,2373,3082,4477,8559,4601073,3726865
"40 - 44세","여자",1183,1591,2757,6280,1754873,1442828,1200,1620,2972,6473,1744782,1431435,1185,1583,2652,7581,1606774,1300898,1200,1622,2548,5298,1714958,1391100,1336,1890,2712,5706,2073731,1683672,1318,1851,2590,5347,2075485,1685343,1394,2069,2816,5450,2320358,1881622,1377,2072,2819,5370,2439964,1986752,1524,2299,3028,5743,2811359,2279755,1627,2574,3240,6136,3372435,2729437
"45 - 49세","합계",7954,9727,15739,33781,10235946,8334670,8163,10077,16694,33965,10113094,8227137,8654,10822,16494,36575,10454829,8486117,9153,11566,16686,33800,11505411,9314236,9796,12918,17816,33578,13494420,10918396,10323,14183,19210,36028,15201401,12332073,11564,16841,21438,37130,17520474,14159731,12673,19008,23195,38451,20455867,16537587,14149,22138,26267,44775,24047606,19412380,15942,26116,29857,47638,29704646,23957895
"45 - 49세","남자",5539,6443,10494,22652,6798984,5537273,5519,6478,10800,21984,6483976,5273138,5787,6822,10488,22980,6626896,5385240,6040,7199,10386,21581,7161147,5800380,6208,7611,10867,20881,8080894,6540291,6264,7963,11323,21832,8713113,7063833,6425,8457,11372,21313,9236240,7464007,6687,8956,11590,20827,10231566,8288317,7032,9862,12499,22912,11546098,9327335,7413,10917,13144,23012,13460052,10871945
"45 - 49세","여자",2415,3284,5245,11129,3436962,2797396,2644,3599,5894,11981,3629118,2953999,2867,4000,6006,13595,3827933,3100877,3113,4367,6300,12219,4344264,3513857,3588,5307,6949,12697,5413526,4378106,4059,6220,7887,14196,6488288,5268240,5139,8384,10066,15817,8284234,6695724,5986,10052,11605,17624,10224301,8249270,7117,12276,13768,21863,12501508,10085045,8529,15199,16713,24626,16244594,13085950
"50 - 54세","합계",15227,19061,29641,61553,19695991,16005426,15870,20083,31317,65273,19777433,16034025,16288,20756,31560,77412,19603635,15854553,16880,21852,31101,60666,21532465,17417294,17948,24109,32244,60888,24708009,19975062,18449,25833,33142,61676,26472661,21409163,20795,30773,37951,64123,31221869,25232553,25361,39246,46253,74091,40917223,33035598,30291,48963,56350,91581,51321269,41400499,37144,62853,70540,105569,69555797,56059605
"50 - 54세","남자",9392,11056,17466,36752,11488767,9351552,9623,11426,18664,38735,11410724,9261396,9898,11889,18746,44296,11376928,9214629,10073,12240,17618,34031,12038944,9749488,10355,12919,18083,35179,13611215,11021631,10189,13023,17471,33847,13791848,11167494,10660,14236,18672,34078,15070933,12207120,11929,16495,20787,36565,18290279,14796825,13410,19515,24308,43202,22180468,17931413,15315,23458,27911,46502,28253814,22831802
"50 - 54세","여자",5835,8005,12175,24801,8207225,6653874,6247,8657,12653,26538,8366709,6772629,6390,8867,12814,33116,8226706,6639924,6807,9612,13483,26635,9493521,7667805,7593,11190,14161,25709,11096795,8953431,8260,12810,15671,27829,12680813,10241670,10135,16537,19279,30045,16150936,13025433,13432,22751,25466,37526,22626944,18238773,16881,29448,32042,48379,29140801,23469086,21829,39395,42629,59067,41301983,33227803
"55 - 59세","합계",21783,28720,42106,87724,29232253,23690805,22500,29745,43487,90377,28655631,23183691,24522,32564,46031,106293,29837463,24108703,27204,36313,48929,95591,35103443,28343943,29704,40587,52369,99346,40724932,32938054,32447,45397,57743,107701,45984675,37184874,35937,52021,64385,113953,53228702,42997175,40417,60528,72521,121142,64092742,51704316,46967,73425,84502,141193,77720940,62697198,53690,88301,98962,153233,98862102,79587905
"55 - 59세","남자",11040,13664,21220,43913,14092407,11425059,11639,14460,22396,46694,14187175,11503400,12911,16190,24394,56456,15215220,12328698,14282,17994,25105,50293,17695852,14302522,15283,19586,26575,51748,20267711,16443817,16402,21352,28357,54970,22321951,18095347,17640,23668,30843,57378,25222099,20427089,18832,25877,33028,58843,28958708,23421184,20784,29878,36046,65104,33494734,27078996,22043,33274,39138,66205,40022984,32296206
"55 - 59세","여자",10743,15056,20886,43811,15139846,12265746,10861,15285,21091,43683,14468456,11680291,11611,16374,21637,49837,14622243,11780005,12922,18319,23824,45298,17407592,14041421,14421,21001,25794,47598,20457221,16494237,16045,24045,29386,52731,23662724,19089527,18297,28353,33542,56575,28006602,22570085,21585,34651,39493,62299,35134035,28283132,26183,43547,48456,76089,44226206,35618203,31647,55027,59824,87028,58839118,47291699
"60 - 64세","합계",34075,47018,63400,130697,46792131,37861654,33502,46367,62190,122587,43102762,34795079,34034,47135,62113,139079,41795976,33673550,36351,50684,64565,120180,47126697,38000584,41229,57890,71577,132624,56302677,45427040,45010,64270,78240,145014,63193376,50991633,48305,69716,83715,150661,69851522,56381047,54429,79932,94678,160507,84674196,68360997,65446,98857,113878,194487,105081567,84795665,72342,114174,128769,205079,131640621,106078189
"60 - 64세","남자",14582,19021,27195,57325,19177651,15512983,14556,19215,26984,54932,18064319,14579567,14910,19703,27105,61989,17809844,14361704,16586,22152,29295,54592,20876148,16835402,18760,25151,32239,60772,24910819,20127495,20463,27882,34854,65636,27915661,22552530,22245,30544,37675,69286,31305263,25317947,24382,33917,41377,72535,36801476,29765466,28352,40442,47860,84718,44383544,35897542,30393,45050,52461,87801,54254106,43814356
