,방향,시력,경로
0,up,0.1,../static/image/eyetest\0.1\up.jpg
1,up,0.15,../static/image/eyetest\0.15\up.jpg
2,down,0.2,../static/image/eyetest\0.2\down.jpg
3,down,0.3,../static/image/eyetest\0.3\down.jpg
4,up,0.4,../static/image/eyetest\0.4\up.jpg
5,up,0.5,../static/image/eyetest\0.5\up.jpg
6,left,0.6,../static/image/eyetest\0.6\left.jpg
7,down,0.7,../static/image/eyetest\0.7\down.jpg
8,left,0.8,../static/image/eyetest\0.8\left.jpg
9,right,0.9,../static/image/eyetest\0.9\right.jpg
10,up,1.0,../static/image/eyetest\1.0\up.jpg
11,left,1.2,../static/image/eyetest\1.2\left.jpg
12,left,1.5,../static/image/eyetest\1.5\left.jpg
13,down,2.0,../static/image/eyetest\2.0\down.jpg
