년도,시력,눈,성별,합계,19세이하,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85세이상
2011,소계,좌,남자,6117787,8912,119895,538196,809839,776755,686637,735724,820436,542879,471320,176091,274739,98895,45860,11609
2011,소계,좌,여자,4952782,13154,172911,421785,352154,293600,552265,593848,840755,519564,500735,157146,319420,127932,68506,19007
2011,소계,좌,합계,11070569,22066,292806,959981,1161993,1070355,1238902,1329572,1661191,1062443,972055,333237,594159,226827,114366,30616
2011,0.1 이하,좌,남자,66838,91,829,4187,6061,5483,4755,5903,7553,5627,6070,3299,8013,4551,3095,1321
2011,0.1 이하,좌,여자,85118,126,2302,4715,3315,2091,4060,5189,9486,7153,10039,4887,13329,8142,6508,3776
2011,0.1 이하,좌,합계,151956,217,3131,8902,9376,7574,8815,11092,17039,12780,16109,8186,21342,12693,9603,5097
2011,0.2-0.4,우,남자,311445,644,5529,20489,23469,16107,16933,25020,32258,26375,36715,20720,46847,22830,13218,4291
2011,0.2-0.4,우,여자,500556,979,12799,27649,19815,12773,26000,34867,59185,46509,67291,32492,84096,41939,26119,8043
2011,0.2-0.4,우,합계,812001,1623,18328,48138,43284,28880,42933,59887,91443,72884,104006,53212,130943,64769,39337,12334
2011,0.5-0.7,우,남자,921498,1394,12931,53342,69528,55101,59262,87844,125490,107902,127396,58934,102926,38813,16908,3727
2011,0.5-0.7,우,여자,1118212,1998,25065,56306,44250,33240,73656,102532,185161,144426,177307,64024,132440,49944,23356,4507
2011,0.5-0.7,우,합계,2039710,3392,37996,109648,113778,88341,132918,190376,310651,252328,304703,122958,235366,88757,40264,8234
2011,0.8-1.0,우,남자,2356656,3055,38158,181209,272684,256888,252688,306192,370688,256729,215938,71960,93567,26050,9375,1475
2011,0.8-1.0,우,여자,2008190,5179,69828,172666,143227,118004,235867,271546,396548,239674,199817,47147,75788,22410,9200,1289
2011,0.8-1.0,우,합계,4364846,8234,107986,353875,415911,374892,488555,577738,767236,496403,415755,119107,169355,48460,18575,2764
2011,1.1-1.5,우,남자,2319432,3543,57981,263251,415653,420716,335277,296390,271111,138575,77783,17965,16516,3472,1070,129
2011,1.1-1.5,우,여자,1173651,4674,60467,154537,136575,122536,205114,173663,182837,77136,40143,5915,7304,1952,729,69
2011,1.1-1.5,우,합계,3493083,8217,118448,417788,552228,543252,540391,470053,453948,215711,117926,23880,23820,5424,1799,198
2011,1.6-2.0,우,남자,99196,163,4254,14767,20701,20676,15108,10550,7802,3249,1411,247,218,39,11,-
2011,1.6-2.0,우,여자,31170,146,2200,5122,4334,4319,6028,3998,3351,1039,432,76,85,29,6,5
2011,1.6-2.0,우,합계,130366,309,6454,19889,25035,24995,21136,14548,11153,4288,1843,323,303,68,17,5
2011,기타,우,남자,42659,7,162,776,1531,1757,2602,3945,5565,4368,6041,2964,6738,3300,2190,713
2011,기타,우,여자,33328,11,142,403,524,523,1340,1863,3906,3298,5390,2484,6098,3409,2560,1377
2011,기타,우,합계,75987,18,304,1179,2055,2280,3942,5808,9471,7666,11431,5448,12836,6709,4750,2090
2011,0.2-0.4,좌,남자,312168,621,5183,18909,22539,15571,16303,24452,32728,27263,37394,21248,48134,23605,13740,4478
2011,0.2-0.4,좌,여자,497552,938,12024,26457,18765,12085,25134,34232,58204,45669,67269,32658,85280,43410,27084,8343
2011,0.2-0.4,좌,합계,809720,1559,17207,45366,41304,27656,41437,58684,90932,72932,104663,53906,133414,67015,40824,12821
2011,0.5-0.7,좌,남자,928650,1373,12831,52310,68514,54130,59064,88277,126476,108973,129662,60068,105624,39856,17676,3816
2011,0.5-0.7,좌,여자,1121833,2071,25037,55909,43709,32048,72517,101526,186356,145187,178189,64875,135304,50574,23965,4566
2011,0.5-0.7,좌,합계,2050483,3444,37868,108219,112223,86178,131581,189803,312832,254160,307851,124943,240928,90430,41641,8382
2011,0.8-1.0,좌,남자,2356250,3092,37786,181102,272255,257450,253899,306270,370396,256047,215792,72270,93465,25762,9199,1465
2011,0.8-1.0,좌,여자,2004000,5075,69505,171012,142268,117215,234834,270790,395944,240474,201865,47685,75210,22175,8731,1217
2011,0.8-1.0,좌,합계,4360250,8167,107291,352114,414523,374665,488733,577060,766340,496521,417657,119955,168675,47937,17930,2682
2011,1.1-1.5,좌,남자,2323867,3568,58936,265832,417915,420485,334452,297013,271592,139101,77582,17399,15748,3242,903,99
2011,1.1-1.5,좌,여자,1188737,4785,61701,157654,138754,124758,207322,176099,184681,78112,39996,5653,6845,1676,643,58
2011,1.1-1.5,좌,합계,3512604,8353,120637,423486,556669,545243,541774,473112,456273,217213,117578,23052,22593,4918,1546,157
2011,1.6-2.0,좌,남자,108226,164,4241,15441,21853,22701,16984,12162,9063,3570,1582,231,191,34,8,1
2011,1.6-2.0,좌,여자,36893,151,2253,5788,5014,5090,7635,5020,4051,1214,487,77,77,24,6,6
2011,1.6-2.0,좌,합계,145119,315,6494,21229,26867,27791,24619,17182,13114,4784,2069,308,268,58,14,7
2011,기타,좌,남자,21788,3,89,415,702,935,1180,1647,2628,2298,3238,1576,3564,1845,1239,429
2011,기타,좌,여자,18649,8,89,250,329,313,763,992,2033,1755,2890,1311,3375,1931,1569,1041
2011,기타,좌,합계,40437,11,178,665,1031,1248,1943,2639,4661,4053,6128,2887,6939,3776,2808,1470
2011,소계,우,남자,6117787,8912,119895,538196,809839,776755,686637,735724,820436,542879,471320,176091,274739,98895,45860,11609
2011,소계,우,여자,4952782,13154,172911,421785,352154,293600,552265,593848,840755,519564,500735,157146,319420,127932,68506,19007
2011,소계,우,합계,11070569,22066,292806,959981,1161993,1070355,1238902,1329572,1661191,1062443,972055,333237,594159,226827,114366,30616
2011,0.1 이하,우,남자,66901,106,880,4362,6273,5510,4767,5783,7522,5681,6036,3301,7927,4391,3088,1274
2011,0.1 이하,우,여자,87675,167,2410,5102,3429,2205,4260,5379,9767,7482,10355,5008,13609,8249,6536,3717
2011,0.1 이하,우,합계,154576,273,3290,9464,9702,7715,9027,11162,17289,13163,16391,8309,21536,12640,9624,4991
2012,소계,좌,남자,6275429,11872,127694,480202,791262,751128,711721,750813,893619,610469,508624,167842,298793,107936,51729,11725
2012,소계,좌,여자,5139872,13971,162155,381093,390409,331836,562606,610252,865542,541479,544193,154507,349198,136999,76689,18943
2012,소계,좌,합계,11415301,25843,289849,861295,1181671,1082964,1274327,1361065,1759161,1151948,1052817,322349,647991,244935,128418,30668
2012,0.1 이하,좌,남자,53161,85,711,2294,3362,3072,3340,4197,5818,4547,5780,2901,8234,4495,3125,1200
2012,0.1 이하,좌,여자,81032,133,1955,3813,3242,2069,3765,5029,8678,6787,9665,4424,13645,7953,6522,3352
2012,0.1 이하,좌,합계,134193,218,2666,6107,6604,5141,7105,9226,14496,11334,15445,7325,21879,12448,9647,4552
2012,0.2-0.4,우,남자,317856,913,5708,17735,23465,15702,17462,25243,34927,28935,37280,18785,48416,24393,14718,4174
2012,0.2-0.4,우,여자,507135,1138,11936,24599,21305,13893,27263,36149,59197,45809,68546,29820,87908,43625,27991,7956
2012,0.2-0.4,우,합계,824991,2051,17644,42334,44770,29595,44725,61392,94124,74744,105826,48605,136324,68018,42709,12130
2012,0.5-0.7,우,남자,962041,1874,13712,48105,69872,53794,62796,90610,136477,117749,134876,55151,111582,42315,19231,3897
2012,0.5-0.7,우,여자,1161803,2400,23298,51200,48695,36551,75951,106589,188166,147855,187706,62284,144768,53919,27375,5046
2012,0.5-0.7,우,합계,2123844,4274,37010,99305,118567,90345,138747,197199,324643,265604,322582,117435,256350,96234,46606,8943
2012,0.8-1.0,우,남자,2437960,4245,40091,159736,265146,247196,262497,313704,404624,289929,234812,69911,104174,29228,11055,1612
2012,0.8-1.0,우,여자,2093493,5545,64882,152798,157373,133101,240690,279005,409238,251504,223934,49224,87304,25819,11475,1601
2012,0.8-1.0,우,합계,4531453,9790,104973,312534,422519,380297,503187,592709,813862,541433,458746,119135,191478,55047,22530,3213
2012,1.1-1.5,우,남자,2376119,4559,63469,240268,410367,411509,349212,304278,298967,161764,88640,18127,19414,4063,1318,164
2012,1.1-1.5,우,여자,1233027,4616,58072,143921,154666,141344,207802,177789,193049,85101,48087,6382,8901,2358,844,95
2012,1.1-1.5,우,합계,3609146,9175,121541,384189,565033,552853,557014,482067,492016,246865,136727,24509,28315,6421,2162,259
2012,1.6-2.0,우,남자,89611,178,3797,11416,17525,18402,14325,10052,8136,3593,1630,255,238,49,14,1
2012,1.6-2.0,우,여자,29784,98,1709,4162,4572,4434,5849,3878,3264,1087,499,75,104,30,19,4
2012,1.6-2.0,우,합계,119395,276,5506,15578,22097,22836,20174,13930,11400,4680,2129,330,342,79,33,5
