"연령별(1)","성별(1)",2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"연령별(1)","성별(1)",좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,좌안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력,우안 시력
"연령별(1)","성별(1)",소계,0.1 이하,0.2-0.4,0.5-0.7,0.8-1.0,1.1-1.5,1.6-2.0,기타,소계,0.1 이하,0.2-0.4,0.5-0.7,0.8-1.0,1.1-1.5,1.6-2.0,기타,소계,0.1 이하,0.2-0.4,0.5-0.7,0.8-1.0,1.1-1.5,1.6-2.0,기타,소계,0.1 이하,0.2-0.4,0.5-0.7,0.8-1.0,1.1-1.5,1.6-2.0,기타,소계,0.1 이하,0.2-0.4,0.5-0.7,0.8-1.0,1.1-1.5,1.6-2.0,기타,소계,0.1 이하,0.2-0.4,0.5-0.7,0.8-1.0,1.1-1.5,1.6-2.0,기타,소계,0.1 이하,0.2-0.4,0.5-0.7,0.8-1.0,1.1-1.5,1.6-2.0,기타,소계,0.1 이하,0.2-0.4,0.5-0.7,0.8-1.0,1.1-1.5,1.6-2.0,기타,소계,0.1 이하,0.2-0.4,0.5-0.7,0.8-1.0,1.1-1.5,1.6-2.0,기타,소계,0.1 이하,0.2-0.4,0.5-0.7,0.8-1.0,1.1-1.5,1.6-2.0,기타,소계,0.1 이하,0.2-0.4,0.5-0.7,0.8-1.0,1.1-1.5,1.6-2.0,기타,소계,0.1 이하,0.2-0.4,0.5-0.7,0.8-1.0,1.1-1.5,1.6-2.0,기타,소계,0.1 이하,0.2-0.4,0.5-0.7,0.8-1.0,1.1-1.5,1.6-2.0,기타,소계,0.1 이하,0.2-0.4,0.5-0.7,0.8-1.0,1.1-1.5,1.6-2.0,기타,소계,0.1 이하,0.2-0.4,0.5-0.7,0.8-1.0,1.1-1.5,1.6-2.0,기타,소계,0.1 이하,0.2-0.4,0.5-0.7,0.8-1.0,1.1-1.5,1.6-2.0,기타,소계,0.1 이하,0.2-0.4,0.5-0.7,0.8-1.0,1.1-1.5,1.6-2.0,기타,소계,0.1 이하,0.2-0.4,0.5-0.7,0.8-1.0,1.1-1.5,1.6-2.0,기타,소계,0.1 이하,0.2-0.4,0.5-0.7,0.8-1.0,1.1-1.5,1.6-2.0,기타,소계,0.1 이하,0.2-0.4,0.5-0.7,0.8-1.0,1.1-1.5,1.6-2.0,기타
"계","합계",11070569,151956,809720,2050483,4360250,3512604,145119,40437,11070569,154576,812001,2039710,4364846,3493083,130366,75987,11415301,134193,822200,2135806,4511504,3637984,136381,37233,11377978,136696,824991,2123844,4531453,3609146,119395,32453,11377411,128621,811261,2142569,4504855,3624060,129169,36876,11381295,132450,818317,2141222,4537142,3598555,113016,40593,12301581,133348,845393,2304121,4906634,3937482,132040,42563,12301581,137906,856088,2304111,4934732,3910983,115374,42387,14025411,146599,940047,2636683,5622591,4483857,147348,48286,14025411,151692,952408,2633252,5651838,4459447,128538,48236,14548392,148079,948905,2753935,5894638,4609323,144390,49122,14548392,152642,961137,2745615,5937871,4575818,126629,48680,14805207,145800,951604,2827157,6054959,4642413,133808,49466,14805207,151740,966773,2814221,6099580,4606251,117961,48681,15076899,144555,952019,2898888,6208764,4696718,127047,48908,15076899,149482,965838,2881103,6259017,4661151,111860,48448,16094992,158409,1019727,3126368,6689838,4921026,133948,45676,16094992,165210,1039182,3098621,6752090,4876722,117705,45462,14457022,134735,894598,2815973,6093059,4363742,115919,38996,14457022,141001,903292,2790146,6140038,4341026,102896,38623
"계","남자",6117787,66838,312168,928650,2356250,2323867,108226,21788,6117787,66901,311445,921498,2356656,2319432,99196,42659,6275429,53161,318157,968826,2430920,2383833,99735,20797,6254568,52774,317856,962041,2437960,2376119,89611,18207,6257249,50180,314518,968932,2421749,2386507,94956,20407,6258804,50569,316022,967936,2436408,2381353,84967,21549,6716277,51904,327218,1040985,2622213,2555163,95426,23368,6716277,52383,330107,1038131,2636550,2550576,85580,22950,7554209,57190,360622,1178295,2967266,2859908,104696,26232,7554209,58031,363188,1174699,2977606,2860913,93883,25889,7778575,57173,360774,1220717,3083534,2926499,102819,27059,7778575,57331,363914,1213389,3103257,2921583,92521,26580,7875410,56829,363795,1249731,3149210,2934166,94404,27275,7875410,57440,366373,1241722,3168648,2928794,85871,26562,8106914,57765,371438,1302455,3269091,2988144,90905,27116,8106914,57713,374015,1290241,3290565,2985754,82129,26497,8393630,62208,393983,1380138,3421837,3017260,92250,25954,8393630,62656,398564,1362149,3451360,3009815,83575,25511,7598837,54318,353881,1262618,3146769,2679161,79640,22450,7598837,54703,354134,1246833,3169332,2679318,72743,21774
"계","여자",4952782,85118,497552,1121833,2004000,1188737,36893,18649,4952782,87675,500556,1118212,2008190,1173651,31170,33328,5139872,81032,504043,1166980,2080584,1254151,36646,16436,5123410,83922,507135,1161803,2093493,1233027,29784,14246,5120162,78441,496743,1173637,2083106,1237553,34213,16469,5122491,81881,502295,1173286,2100734,1217202,28049,19044,5585304,81444,518175,1263136,2284421,1382319,36614,19195,5585304,85523,525981,1265980,2298182,1360407,29794,19437,6471202,89409,579425,1458388,2655325,1623949,42652,22054,6471202,93661,589220,1458553,2674232,1598534,34655,22347,6769817,90906,588131,1533218,2811104,1682824,41571,22063,6769817,95311,597223,1532226,2834614,1654235,34108,22100,6929797,88971,587809,1577426,2905749,1708247,39404,22191,6929797,94300,600400,1572499,2930932,1677457,32090,22119,6969985,86790,580581,1596433,2939673,1708574,36142,21792,6969985,91769,591823,1590862,2968452,1675397,29731,21951,7701362,96201,625744,1746230,3268001,1903766,41698,19722,7701362,102554,640618,1736472,3300730,1866907,34130,19951,6858185,80417,540717,1553355,2946290,1684581,36279,16546,6858185,86298,549158,1543313,2970706,1661708,30153,16849
"19세 이하","합계",22066,217,1559,3444,8167,8353,315,11,22066,273,1623,3392,8234,8217,309,18,25843,218,1959,4187,9812,9328,326,13,25829,256,2051,4274,9790,9175,276,7,30392,371,2373,5015,11664,10582,373,14,30395,419,2492,5077,11460,10596,339,12,28855,342,2327,4704,10946,10181,342,13,28855,415,2493,4710,10877,10045,304,11,27898,346,2188,4615,10480,9956,298,15,27898,418,2345,4586,10521,9703,309,16,27698,274,2000,4359,10861,9844,347,13,27698,375,2158,4440,10662,9727,322,14,25498,256,1733,3890,10118,9252,238,11,25498,295,1847,4030,9945,9127,238,16,21548,206,1468,3362,8523,7758,226,5,21548,278,1684,3348,8411,7614,202,11,16160,136,1029,2467,6597,5761,164,6,16160,172,1067,2527,6543,5677,166,8,13020,136,821,2066,5224,4619,149,5,13020,150,901,2080,5252,4504,130,3
"19세 이하","남자",8912,91,621,1373,3092,3568,164,3,8912,106,644,1394,3055,3543,163,7,11872,85,871,1826,4272,4607,201,10,11861,87,913,1874,4245,4559,178,5,15616,172,1126,2360,5729,5969,250,10,15618,187,1177,2490,5526,5992,236,10,15918,154,1161,2433,5798,6137,227,8,15918,175,1218,2458,5822,6021,216,8,16029,156,1156,2429,5792,6275,213,8,16029,201,1216,2388,5832,6154,227,11,16161,133,1075,2287,6116,6280,261,9,16161,165,1174,2397,5978,6190,248,9,15500,121,946,2147,5932,6173,175,6,15500,134,1000,2251,5850,6087,169,9,13109,90,816,1868,5076,5095,163,1,13109,143,904,1928,4955,5021,149,9,10648,69,623,1538,4242,4045,128,3,10648,95,654,1555,4242,3967,131,4,8186,69,464,1276,3238,3026,111,2,8186,79,520,1264,3267,2958,96,2
"19세 이하","여자",13154,126,938,2071,5075,4785,151,8,13154,167,979,1998,5179,4674,146,11,13971,133,1088,2361,5540,4721,125,3,13968,169,1138,2400,5545,4616,98,2,14776,199,1247,2655,5935,4613,123,4,14777,232,1315,2587,5934,4604,103,2,12937,188,1166,2271,5148,4044,115,5,12937,240,1275,2252,5055,4024,88,3,11869,190,1032,2186,4688,3681,85,7,11869,217,1129,2198,4689,3549,82,5,11537,141,925,2072,4745,3564,86,4,11537,210,984,2043,4684,3537,74,5,9998,135,787,1743,4186,3079,63,5,9998,161,847,1779,4095,3040,69,7,8439,116,652,1494,3447,2663,63,4,8439,135,780,1420,3456,2593,53,2,5512,67,406,929,2355,1716,36,3,5512,77,413,972,2301,1710,35,4,4834,67,357,790,1986,1593,38,3,4834,71,381,816,1985,1546,34,1
"20 ~ 24세","합계",292806,3131,17207,37868,107291,120637,6494,178,292806,3290,18328,37996,107986,118448,6454,304,289849,2666,16485,36368,105171,123274,5718,167,289683,2888,17644,37010,104973,121541,5506,121,310514,2828,17815,40486,112071,131003,6149,162,310544,3076,19255,40505,112517,129129,5889,173,320157,2664,18088,41035,115244,136859,6033,234,320157,3086,19533,41472,115059,135082,5704,221,331153,2841,18713,42909,120331,140046,6113,200,331153,3327,20422,43446,119966,137873,5909,210,348864,2953,19484,45378,129409,145184,6226,230,348864,3461,21226,46014,128901,143097,5954,211,340926,2729,18404,44953,128321,140862,5441,216,340926,3335,20312,44877,128316,138817,5049,220,337873,2788,18076,44343,128394,139129,4937,206,337873,3389,19807,44759,128668,136413,4636,201,544312,5466,30873,74451,215490,210699,7001,332,544312,6951,34170,74121,214159,207891,6656,364,522037,5707,31298,73457,210479,194552,6260,284,522037,7367,34417,72372,208436,193280,5835,330
